,Datetime,Tweet Id,Text,Username
0,2022-02-23 17:10:00+00:00,1496532807635537920,"Biden must hold China accountable for their Phase One commitments. This admin must take immediate action and stand up for the agricultural producers that feed and clothe our nation. It’s time to put the United States first and stand up to our adversaries.
https://t.co/TN34o4tD9b",AugustPfluger
1,2022-02-23 01:10:00+00:00,1496291215758675968,"Only FOUR days left of early voting, don't miss your chance to skip the lines. I ask for your vote because, together, we will save America together!
  ✔🇺🇲📍Find your voting location and more at https://t.co/pjnowPTFHw https://t.co/ZT9N0WOYxV",AugustPfluger
2,2022-02-22 20:42:00+00:00,1496223771446820867,"I voted early, have you? Don't miss your chance to skip the lines...VOTE EARLY! Let's get this country back on track!📍✔🇺🇸 Find your voting location https://t.co/Hs7gWi5Lx7 https://t.co/bZSuNoTDds",AugustPfluger
3,2022-02-22 16:12:00+00:00,1496155823877152775,It was a privilege to meet supporters in Lampasas and Killeen! And thank you to Dr. Kelly Bar for the tour of Kidz Therapize. Incredible to see the services and differences being made in children's lives here in #TX11! https://t.co/n8aVa2bxqF,AugustPfluger
4,2022-02-22 14:28:59+00:00,1496129898372644876,"I'm proud to be endorsed by @nrlc! If you agree, RT and follow! I've worked tirelessly to stand up for the sanctity of life. Our country deserves better and I will keep fighting to protect the unborn. https://t.co/L8XjAwc7Px",AugustPfluger
5,2022-02-22 00:25:00+00:00,1495917503377141760,"#TX11 stands with Trevor Reed and the Reed family. We will not tolerate the Putin Regime holding an American citizen as a political pawn. Putin must release Trevor Reed immediately. #FreeTrevorReed
https://t.co/RHfw47Ev2Q",AugustPfluger
6,2022-02-21 15:23:00+00:00,1495781104913113093,"On #PresidentsDay, we honor our nation's Presidents - remembering their accomplishments that shaped our nation and their legacies. https://t.co/qTR6Dix4UL",AugustPfluger
7,2022-02-21 02:31:08+00:00,1495586857266159618,"God bless Texas!

📸📍Near the McCulloch/Concho County line https://t.co/ct0O6uiB97",AugustPfluger
8,2022-02-20 20:19:00+00:00,1495493207794274313,"WATCH NOW: I'm fighting to protect our energy producers and American energy security - putting Midland over Moscow... and America first!
https://t.co/SNC2UVwkc3",AugustPfluger
9,2022-02-19 14:15:00+00:00,1495039216060968963,"The polls are open today and it would be an honor to have your vote! As your Congressman, I’ve stood up for oil and natural gas, defended our farmers and ranchers in the face of Biden’s harmful tax-and-spend agenda and fought for West Texas small businesses. https://t.co/6mXMriAuUP",AugustPfluger
10,2022-02-18 21:15:56+00:00,1494782758966726667,"Don't leave behind the hardworking men and women in the Permian Basin, Mr. President. https://t.co/vwLPu9UUQo",AugustPfluger
11,2022-02-18 21:13:00+00:00,1494782021390016512,"Rather than agreeing with the strategy that STANDS STRONG on America’s abundant resources, lower emissions, affordable energy and true economic opportunity... the Biden Administration is prioritizing foreign adversaries. 

https://t.co/LGSYhGX3gB",AugustPfluger
12,2022-02-18 17:13:37+00:00,1494721780635906053,MIDLAND OVER MOSCOW. 🇺🇲 https://t.co/llNXePz0NB,AugustPfluger
13,2022-02-18 17:12:00+00:00,1494721371670261760,"We need to take the hard work of our Permian energy producers and use it to strengthen our FREE MARKET-LOVING partners. We must compete around the world. If we don’t put our products into Eastern Europe or Southeast Asia, Russia and China will.

https://t.co/gnIEffGInU",AugustPfluger
14,2022-02-18 01:00:01+00:00,1494476763094683648,"Facebook is at it again, trying to censor me for shining the spotlight on the Clinton campaign spying on President Trump. Americans deserve answers and accountability from the media, big tech and #cancelculture Democrats. #FakeNews https://t.co/x5hy0ELaes",AugustPfluger
15,2022-02-18 00:10:00+00:00,1494464176814764042,"AOC came all the way to Texas to say she would ""make sure we unionize the hell out of this state."" Well, AOC, not on my watch! I'm fighting every day for our shared conservative Texas values. 

https://t.co/Vz3foEHiMj",AugustPfluger
16,2022-02-17 17:23:00+00:00,1494361752070287363,"Proudly endorsed by @nrlc!

The right to life is the foundation upon which all other rights are built - that's why the tragedy of abortion is the greatest human rights issue of our day. I'm proud to fight for the unborn and protect the sanctity of life. https://t.co/HM7KISFjS2",AugustPfluger
17,2022-02-16 23:27:00+00:00,1494090967686828038,I'm proud to hold an A Rating from the @NRA! I will always fight to protect and fiercely defend our Second Amendment rights. https://t.co/RMv4IK8E5f,AugustPfluger
18,2022-02-16 16:14:00+00:00,1493981999769563140,"WATCH NOW! I joined @SanAngeloLIVE to discuss the Russian crisis in Ukraine, energy pipelines and the Permian Basin, and national security focusing on Goodfellow Air Force Base.  

https://t.co/Z6y3KJtiBh",AugustPfluger
19,2022-02-16 14:42:33+00:00,1493958985543831556,Beto Democrats are wrong on the issues and willing to lie to camouflage it. Help me stop Beto... DONATE NOW! https://t.co/PGHVfr2s9E https://t.co/RT8KrS3Gm7,AugustPfluger
20,2022-02-16 14:42:16+00:00,1493958913330405379,"To his Far-Left, radical and extreme gun-owner-hating base, he says, “Hell, yes. We’re going to take your AR-15, your AK-47!” To those of us who respect our gun-owning heritage, he does the flim-flam gun scam: “I’m not interested in taking anything from anyone.” https://t.co/7zxypiBmx6",AugustPfluger
