,Datetime,Tweet Id,Text,Username
0,2020-02-15 01:09:53+00:00,1228486554693271553,"I stand with @JeffLandry. 
The Louisiana socialists and their hack-leftist media partners can stop pretending to support the #ThinBlueLine. 
We’re cops. You wouldn’t understand—safe there with your avocado toast, behind your keyboard and your Che Guevara shirt.",CaptClayHiggins
1,2020-01-01 00:52:43+00:00,1212174782147518464,https://t.co/OGrpj2Jepc,CaptClayHiggins
2,2019-12-20 18:23:10+00:00,1208090481391001601,Woke up this morning and @realDonaldTrump is still the President #KAG #MAGA,CaptClayHiggins
3,2019-12-20 01:28:29+00:00,1207835125356138496,Absolutely a vile display of glee on the way to abuse power  #impeachmenthoax https://t.co/xbTNtzk1BX,CaptClayHiggins
4,2019-12-18 23:09:50+00:00,1207437848741371905,“We don’t face this horror because the Democrats have all of a sudden become constitutionalists. We are not being devoured from within because of some surreal assertion of the socialists’ newfound love for the very flag that they trod upon.” https://t.co/H3amoHFRkg,CaptClayHiggins
5,2019-12-18 19:41:58+00:00,1207385534986932229,"""I'm concerned that if we don't impeach this president, he will get re-elected"" &lt;----- that's what this sham #impeachment is all about, folks",CaptClayHiggins
6,2019-12-18 19:34:00+00:00,1207383529136541697,"...our republican shall survive this threat from within. American patriots shall prevail.""",CaptClayHiggins
7,2019-12-18 19:33:59+00:00,1207383528192778241,"""They fear our faith, they fear our strength, they fear our unity, they fear our vote, and they fear our president. We will never surrender our nation to career establishment DC politicians and bureaucrats...",CaptClayHiggins
8,2019-12-18 19:25:20+00:00,1207381351105732610,"We have a choice, and Democrats are choosing to attempt to remove a political opponent from office because they don't like that he won. They are weaponizing #impeachment. American patriots will not forget this in 2020. https://t.co/OgN4tON7DM",CaptClayHiggins
9,2019-12-18 19:08:56+00:00,1207377221285007360,"""We don't face this horror because Democrats have all of a sudden become constitutionalists...we face this horror because Democrats fear the will of we the people."" #impeachment",CaptClayHiggins
10,2019-12-18 19:05:44+00:00,1207376418310676485,Looks like we #triggered the Left's queen. Patriots can donate here: https://t.co/ZNcGpmfucU #impeachment https://t.co/vjipOI0kay,CaptClayHiggins
11,2019-12-18 18:55:15+00:00,1207373780328370178,"""America is being severely injured by this betrayal, by this unjust and weaponized #impeachment, brought upon us by the same socialists who threaten unborn life in the womb, the 1st amendment rights of conservatives, and the 2nd amendment protections of every American patriot...""",CaptClayHiggins
12,2019-10-09 17:01:19+00:00,1181977955045724160,"Conservative. Constitutionalist. Combat Veteran. I support @stewartcatheyjr for State Senate, District 33. #lalege",CaptClayHiggins
13,2018-06-28 20:19:55+00:00,1012430415402070016,@chadjustin98 Your life gained purpose by being brave enough to ask that question. Thousands of people are reading the answer every day.,CaptClayHiggins
14,2018-06-25 17:29:16+00:00,1011300306058207233,@LAGOP Thank you for your Endorsement!,CaptClayHiggins
15,2018-06-25 05:43:27+00:00,1011122682333679617,#lalege Follow Captain Clay Higgins here. #MAGA,CaptClayHiggins
