,Datetime,Tweet Id,Text,Username
0,2022-02-23 21:09:39+00:00,1496593117021147148,Total chaos on our southern border https://t.co/gA5sZJtFyG,HawleyMO
1,2022-02-23 19:16:59+00:00,1496564763723186176,And then Joe Biden wonders why tanks are rolling into Ukraine and no one takes him seriously,HawleyMO
2,2022-02-23 19:10:04+00:00,1496563024265625603,"Gee, maybe handing Putin his energy pipeline while shutting down American energy wasn’t such a great decision after all. Imagine https://t.co/RqdRSoalG4",HawleyMO
3,2022-02-23 16:32:09+00:00,1496523282358714374,Joe Biden better get focused. #China wants to gobble up Taiwan and then project its power worldwide - all in an effort to take down the United States. And Biden isn’t ready. Not even close https://t.co/Y489ThyWJ2,HawleyMO
4,2022-02-23 14:22:51+00:00,1496490744567246851,"Amazingly, Russia has invaded #Ukraine and Joe Biden STILL won’t sanction Putin’s energy pipeline, #NordStream2. Biden remains more focused on shutting down the American energy sector, driving American gas prices higher &amp; higher. Exactly backwards https://t.co/zACfNUVLg4",HawleyMO
5,2022-02-22 21:52:46+00:00,1496241581728444420,It’s not enough for Joe Biden to sanction the Russian energy sector. He must open American pipelines and restore OUR energy production. This is an opportunity to make America stronger - and that should be the overriding priority of both our foreign and domestic policy,HawleyMO
6,2022-02-18 16:36:34+00:00,1494712457486548992,Sen. Hawley wants DOJ employees with Clinton ties kept clear of Durham's Russiagate probe https://t.co/1qCXamkuSh,HawleyMO
7,2022-02-18 16:32:25+00:00,1494711413016862722,Enjoyed talking with lots of MO reporters again this last week. Thanks @GrayTelevision @KristinKasperDC @ksdknews @CaseyNolen @KRCG13 @RaquelMartinTV @newspressnow @NPNowKozol @HeartlanderNews @kytv @jgarrityky3 @kfvsnews @KFVSRoger @GreggPalermo @FOX2now @KOMUnews @KMOV,HawleyMO
8,2022-02-17 16:24:13+00:00,1494346958592520192,"MO farmer sent me Biden Admin’s latest farm producer survey. It asks such important questions for farming as whether farmers identify as transgender, the gender they were at birth, their sexual orientation. For Joe Biden, even farming is about advancing his woke agenda https://t.co/2zFnDqHZAe",HawleyMO
9,2022-02-17 14:47:45+00:00,1494322682774441986,Hawley asks AG Garland to make sure Jake Sullivan wife recuses https://t.co/Eg8Zlf4IFm,HawleyMO
10,2022-02-17 02:15:41+00:00,1494133417784532992,Sen. Josh Hawley Rejects Biden Nominee Nina Morrison Straight To Her Face https://t.co/wPKI8ErtFv,HawleyMO
11,2022-02-17 01:37:27+00:00,1494123799712866304,Trudeau’s authoritarianism is a harbinger of where the woke Left wants to take America - they detest free speech and free exchange of ideas and anyone who dares disagree. They are the enemies of the open society. And they are already running the Biden White House https://t.co/3rNh0A7X5R,HawleyMO
12,2022-02-17 00:44:07+00:00,1494110374920167430,The 2016 Clinton campaign was as crooked as they come. Someone should go to jail for this - and Hillary is a good place to start https://t.co/50M6zHojwf,HawleyMO
13,2022-02-17 00:16:07+00:00,1494103328933953537,About to join @jesseprimetime to talk Hillary Clinton and the Durham investigation - tune in!,HawleyMO
14,2022-02-16 22:38:30+00:00,1494078762467610627,"Another day, another pro-criminal judge nominated by Joe Biden. If this is the kind of judge Biden nominates to #SCOTUS, expect a battle 

https://t.co/Kf0fz7gCix",HawleyMO
15,2022-02-16 20:36:16+00:00,1494048001190465537,Special Counsel Durham says the Clinton campaign spied on the White House and more - it was a criminal enterprise. I want the Biden Administration’s commitment they will cooperate with the investigation as it enters a critical phase https://t.co/Yd0j1N8e8u,HawleyMO
16,2022-02-16 14:27:28+00:00,1493955190151696386,Not a good sign for a White House that treated parents as “domestic terrorists” https://t.co/0EjNGNQzke,HawleyMO
17,2022-02-15 22:02:12+00:00,1493707238988464131,"Sen. Hawley demands answers on FBI, AG Garland school board memo: 'Silence must end'

https://t.co/v1UE7r0skO",HawleyMO
18,2022-02-15 16:17:37+00:00,1493620523246436356,Imagine that https://t.co/uFqJ8iNLUM,HawleyMO
19,2022-02-15 15:13:28+00:00,1493604379575963654,"Surprise, surprise: “Biden Had Firm at Center of Trump Hacking Scandal on Campaign Payroll” https://t.co/LYdM3aH5cH",HawleyMO
20,2022-02-14 23:33:29+00:00,1493367826584850434,Can’t resist one more pic. Happy #ValentinesDay2022 https://t.co/a6MS0hB19h,HawleyMO
21,2022-02-14 22:25:43+00:00,1493350772519710720,"I thought Merrick Garland told Congress he drafted the memo himself, independently. Did he lie?

https://t.co/0jPHAINagv",HawleyMO
22,2022-02-14 22:14:15+00:00,1493347883894120453,"Thank you, Joe Biden https://t.co/sVbgyOS4Jz",HawleyMO
23,2022-02-14 19:25:29+00:00,1493305414158630916,"With my two Valentines today - the love of my life, my beautiful Erin; and the light of my days, my baby Abigail https://t.co/P1ry4iXdhU",HawleyMO
24,2022-02-14 02:07:01+00:00,1493044076316405763,This is right  https://t.co/KKnpcHYAyP,HawleyMO
25,2022-02-13 00:39:55+00:00,1492659767508148225,"Now we know. The 2016 Clinton campaign was a criminal enterprise. Paying tech executives to infiltrate Trump servers &amp; the White House. Time for someone to go to jail 
https://t.co/JmCWI8RrwW",HawleyMO
26,2022-02-12 18:05:56+00:00,1492560618737524736,Erin and I enjoying the best part of MO State Lincoln Days - getting to visit https://t.co/Gp1IDWKd2r,HawleyMO
27,2022-02-12 16:46:30+00:00,1492540627191537664,"For almost a year I’ve been asked who I intend to vote for in #MOSEN primary this August. Well, I’ve made up my mind. I’ll be supporting ⁦⁦@VickyHartzlerMO⁩. Vicky has the integrity, the heart, and the toughness to represent MO. I can’t wait to work with her https://t.co/yIk4h2baxw",HawleyMO
28,2022-02-12 03:40:17+00:00,1492342769544794113,"At Missouri State Lincoln Days tonight listening to the keynote speaker, my favorite person in the world, my beautiful wife Erin https://t.co/gD6O33vzDb",HawleyMO
29,2022-02-11 17:32:24+00:00,1492189789835169799,Joe Biden denying the sworn testimony of his commanders in Afghanistan. The Senate must stop looking the other way and hold public hearings to get the truth https://t.co/75yVKgbrYe,HawleyMO
30,2022-02-11 13:49:34+00:00,1492133712129105922,"Joe Biden may laugh about inflation, but for working families paying on average $270 more per month, it’s not remotely funny https://t.co/FvKEndG0TN",HawleyMO
31,2022-02-11 03:29:56+00:00,1491977777763004417,"Joe Biden tonight DENYING the facts laid out in a 2000 page Army report on the collapse of Afghanistan - and the White House’s total lack of preparation. It is time Senate Democrats stopped the whitewash and held hearings. In public. Now. 

https://t.co/ibVzPMjmxw",HawleyMO
32,2022-02-10 14:10:16+00:00,1491776536034357248,"Shocking inflation numbers: 7.5% over the past year, the highest since 1982 https://t.co/94w1KJWbWD",HawleyMO
33,2022-02-10 03:09:44+00:00,1491610306996584449,About to join @IngrahamAngle #FoxNews - tune in!,HawleyMO
34,2022-02-10 03:03:15+00:00,1491608676918038539,"More lies from a fabulist who buys private security with other people’s money while defunding the police for working people. All while crime soars. But go ahead, run on that agenda. Cori Bush’s policies are today’s Democrat Party https://t.co/ekfcAhLZwA",HawleyMO
35,2022-02-09 19:27:10+00:00,1491493897427632139,The Biden agenda: masks forever! https://t.co/VZQGWxuhvb,HawleyMO
36,2022-02-09 15:20:05+00:00,1491431715566661633,"Democrats continue their disastrous  campaign to defund the police even as violent crime skyrockets. This is the most pro-crime, pro-criminal administration in American history https://t.co/CCcr2j9RC7",HawleyMO
37,2022-02-09 15:01:15+00:00,1491426978292973577,Ban stock trading by members of Congress now - ⁦@RepHartzler⁩ and I have a bill to do it https://t.co/chIzIkI3y0,HawleyMO
38,2022-02-08 22:21:52+00:00,1491175472759476226,"To the Left, any viewpoint they dislike is “insurrection.” The truth is, the Left’s assault on the basic values of an open society - free speech, freedom of assembly, due process - is the biggest threat to our democracy today https://t.co/x3zVVs0j08",HawleyMO
39,2022-02-08 19:09:44+00:00,1491127123859640320,👇 https://t.co/3E0z8gMzJo,HawleyMO
40,2022-02-08 14:59:14+00:00,1491064081150738435,"The Democrats’ willful coverup of what happened in Afghanistan is indefensible. There must be full, OPEN hearings before the Armed Services Committee with Austin, Blinken, and the generals. No more hiding. We can start by asking questions on this latest report",HawleyMO
41,2022-02-08 14:59:13+00:00,1491064079586570247,"A secret Army report shows Joe Biden &amp; the White House utterly unprepared for and derelict in the withdrawal from Afghanistan - but Senate Democrats still refuse to hold oversight hearings. Only “closed door” briefings, away from the public. It’s pathetic https://t.co/09znfFIWng",HawleyMO
42,2022-02-08 13:03:26+00:00,1491034941337251841,Proud to introduce landmark legislation to end forced labor in corporate supply chains. Thank you to @SenGillibrand for her support https://t.co/57Em9ubX7H,HawleyMO
43,2022-02-08 00:56:36+00:00,1490852026540257281,Of course. Germany has played Joe Biden for a fool https://t.co/XqyIHM45Go,HawleyMO
44,2022-02-07 22:42:56+00:00,1490818389459222532,"An embarrassing performance from Joe Biden. Germany has neglected European defense for years, leaving the US and other allies to pick up the tab. And now Biden is helping the Germans put more $$ in Putin’s pockets with Nord Stream 2 https://t.co/afzS3IY31z",HawleyMO
45,2022-02-07 21:12:49+00:00,1490795710442348548,I sincerely hope this is a misreport - it is unfathomable if not https://t.co/pBULUxdbo4,HawleyMO
46,2022-02-07 15:44:10+00:00,1490713000654876677,"Expanding NATO is a mistake - and so is sending thousands more American troops to Europe. The biggest threat to Americans’ security is #China. Joe Biden should start acting like it 

https://t.co/wFkse07iXB",HawleyMO
47,2022-02-06 19:20:23+00:00,1490405026942042117,Worth reading https://t.co/nifsmUTpno,HawleyMO
48,2022-02-05 21:18:16+00:00,1490072304503693315,Talked with lots of MO reporters again this week. Thanks @GreggPalermo @FOX2now @CaseyNolen @ksdknews @newspressnow @NPNowAnderson @KRCG13 @KMOV @RaquelMartinTV @Missourinet @kfvsnews @NicoleNeumanTV,HawleyMO
49,2022-02-04 01:41:34+00:00,1489413792303915009,Thanks @MSHPTrooperGHQ for your outstanding work - we are grateful for you https://t.co/J0PMpJWGxb,HawleyMO
50,2022-02-03 22:49:04+00:00,1489370378711543814,What we are seeing is an intellectually and morally bankrupt Administration that hides from scrutiny and refuses accountability as it blunders from one crisis to another https://t.co/HlyGAfxQEE,HawleyMO
51,2022-02-03 21:30:51+00:00,1489350698336722946,You mean this White House accuses people who question its decisions of spouting Russian disinformation? No way! https://t.co/tAcAjYGwTf,HawleyMO
52,2022-02-02 20:50:50+00:00,1488978236579192833,"If Russia invades Ukraine, the Biden Administration can blame one person above all: Joe Biden. He’s given Putin his own slush fund in Nord Stream 2 and failed to aid Ukraine when he could have. No amount of name calling will hide his abject failures

https://t.co/SvIcfK9ULB",HawleyMO
53,2022-02-02 20:46:07+00:00,1488977052267126786,"The Biden Administration wants to talk about the Afghanistan debacle only behind closed doors, to avoid tough questions &amp; public scrutiny. Democracy dies in darkness, as someone once said 

https://t.co/6dG5C43BCy",HawleyMO
54,2022-02-02 20:12:31+00:00,1488968593710718982,The winter storm pounding our state is severe and it’s far from over - I want to thank all MoDOT personnel and first responders for the tremendous work they’ve already done. My team is closely monitoring the storm’s progress &amp; we stand ready to provide any assistance we can,HawleyMO
55,2022-02-02 17:51:18+00:00,1488933058652823553,"This from an Administration that has coddled Russia from Day One and now brought Europe to the brink of war - giving the Russians Nord Stream 2, refusing Ukraine military aid last year, and conducting a disastrous evacuation of Afghanistan that emboldened our enemies worldwide https://t.co/mckEf5hH8S",HawleyMO
56,2022-02-02 17:26:23+00:00,1488926785848946692,"The same people who led us into two failed wars in 2 decades, enabled the rise of #China &amp; botched evacuation of Afghanistan are furious that I am against putting more Americans in danger in Europe when our signal threat is China. It’s time for change 
https://t.co/YwUXAQQJVG",HawleyMO
57,2022-02-02 14:49:36+00:00,1488887332182937601,Sending more American troops to Europe is a mistake. We need to send the opposite signal - that the crisis in Ukraine shows Europeans must do more in their own defense https://t.co/SYyzhBhnnV,HawleyMO
58,2022-02-02 02:08:27+00:00,1488695783138418688,"Tomorrow the architects of this failed withdrawal will testify to the Senate - but only behind closed doors. They won’t answer questions in public. Just like the President - stonewalling, hiding, misleading the American people",HawleyMO
59,2022-02-02 02:06:33+00:00,1488695304249651200,"New leaked docs show the Biden Administration in total disarray as Afghanistan collapses, with thousands of Americans trapped, and NOT ONE person responsible has yet resigned. Not one. https://t.co/HbVaWQpCDs",HawleyMO
60,2022-02-01 23:37:43+00:00,1488657849454637061,"Hawley seeks answers on ‘unacceptable’ TSA policy of allowing illegal immigrants to use warrants as ID

https://t.co/hIfPhAIcRU",HawleyMO
61,2022-02-01 22:26:05+00:00,1488639821681672194,Joe Biden nominates one soft-on-crime judge after another https://t.co/wG3no1NaLp,HawleyMO
62,2022-02-01 18:30:22+00:00,1488580502584012810,What is happening at the southern border? https://t.co/PCVcDfRf1V,HawleyMO
63,2022-02-01 15:33:36+00:00,1488536017527361554,"And why isn’t the FBI and Homeland Security willing to answer questions in public - these closed door hearings are blatant efforts to avoid public accountability and scrutiny - you know, that thing we call democracy https://t.co/sSXpFkSlFJ",HawleyMO
64,2022-02-01 15:30:56+00:00,1488535346447069190,Why is this difficult? Why can’t the FBI acknowledge Islamic terrorism when they see it. And why are they even now defending their original asinine comments saying the attack was “not related to” the Jewish community,HawleyMO
65,2022-02-01 15:30:56+00:00,1488535345385906180,"In a closed door hearing this morning on the Islamic terrorist attack against the Jewish synagogue in Texas, FBI assistant director repeatedly refused to acknowledge the FBI was wrong jn failing to call the attack what it was - terrorism directed against Jewish Americans",HawleyMO
66,2022-02-01 13:42:26+00:00,1488508040194277382,"The Biden Administration laughs at the effect of inflation on workers, laughs at Americans left behind in Afghanistan, and now laughs at the worst crime wave in decades. This is the most arrogant, out of touch President in living memory https://t.co/DLGkvSh9Ep",HawleyMO
67,2022-01-29 14:42:50+00:00,1487436075886907394,"Watch this video: Border Patrol agents demand to know why the Biden Administration keeps releasing criminals into the US

https://t.co/lzf4MqmA9c",HawleyMO
68,2022-01-28 18:36:45+00:00,1487132557699436546,"If he wants to unite the country, Biden should nominate Janice Rogers Brown. Committed constitutionalist who is also an African-American woman. Sadly, Biden personally filibustered her historic nomination to DC Circuit twice when he was in Senate. Now is the time to make amends",HawleyMO
69,2022-01-28 18:03:59+00:00,1487124310342918148,"Turns out the Pennsylvania mail-in balloting law from 2020 was unconstitutional, according to a statewide court today - as I said when I objected to certifying PA’s electoral votes https://t.co/PZssJUip0y",HawleyMO
70,2022-01-28 15:43:39+00:00,1487088993799921669,"Josh Hawley: I hope Biden will nominate a pro-Constitution jurist

https://t.co/qsD8IkGI68",HawleyMO
71,2022-01-28 15:33:23+00:00,1487086407843733509,"Six law enforcement officers have been shot across the country in less than 48 hours. Violent crime is skyrocketing. So will Joe Biden’s Supreme Court nominee be pro-rule of law, or another pro-criminal activist? 

https://t.co/xEZCoh163D",HawleyMO
72,2022-01-28 02:09:42+00:00,1486884155547955205,I feel like I’ve heard this somewhere before https://t.co/MNgfkpyJKw,HawleyMO
73,2022-01-28 00:50:17+00:00,1486864171866148864,"For Joe Biden, it’s all about power - he led the mob against Clarence Thomas when it suited him, now he’s changed his tune. But Supreme Court nominations shouldn’t be about self interest. They should be about the Constitution https://t.co/zv4PyPMyUe",HawleyMO
74,2022-01-28 00:17:45+00:00,1486855982542163970,About to join @JesseBWatters @jesseprimetime - tune in!,HawleyMO
75,2022-01-27 22:04:58+00:00,1486822567516291072,"The Biden Administration has finally found something it believes law enforcement is good for - coordinating the travel for illegal immigrants &amp; criminals 

https://t.co/8jAOl5WwI0",HawleyMO
76,2022-01-27 03:11:09+00:00,1486537233146466307,"This Supreme Court vacancy is Joe Biden’s moment of truth. He can nominate a hard left activist, like all his judicial nominees to date, or he can nominate a pro-Constitution, pro-America justice. Republicans have to be ready to stand for the Constitution https://t.co/vPOq2mncAn",HawleyMO
77,2022-01-27 02:47:04+00:00,1486531172133785601,"Another stark reminder of the courageous work our men and women in blue do every day. To them, thank you. Erin and I are praying for these officers and their families https://t.co/kB12yzgCqW",HawleyMO
78,2022-01-27 02:04:25+00:00,1486520438536744960,About to join @seanhannity on #FoxNews - tune in!,HawleyMO
79,2022-01-26 21:48:35+00:00,1486456055861329920,"Big Tech is Big Government’s speech police. The government-corporate alliance is real, and must be broken apart https://t.co/jjjccFQFaT",HawleyMO
80,2022-01-26 20:45:05+00:00,1486440075714084873,Joe Biden has admitted tens of THOUSANDS of refugees and other immigrants without interviews or standard vetting. The contempt of his administration for Americans’ safety is stunning https://t.co/sX2KooCGD4,HawleyMO
81,2022-01-26 18:11:23+00:00,1486401395830009859,"If he chooses to nominate a left wing activist who will bless his campaign against parents, his abuse of the FBI, his refusal to enforce our immigration laws, and his lawless vaccine mandates, expect a major battle in the Senate",HawleyMO
82,2022-01-26 18:05:17+00:00,1486399859129212937,Moment of truth for Joe Biden. Will this deeply unpopular &amp; divisive president finally reject the radical elements of his party and nominate someone who loves America and believes in the Constitution? Or will he continue to tear apart this country w/ a woke activist? https://t.co/FCKDBZUine,HawleyMO
83,2022-01-26 14:40:09+00:00,1486348236529057795,"Slave labor depresses American wages &amp; distorts our markets. Sex trafficking destroys American families. The United States is a nation of liberators, and now we must lead the fight to end global slavery. Joe Biden has done nothing. Conservatives must lead https://t.co/D9B7Qwldsr",HawleyMO
