,Datetime,Tweet Id,Text,Username
0,2022-02-23 18:30:00+00:00,1496552942433972229,"It's #NationalPublicSchoolsWeek and @NewRochelleED is working to reimagine and center their vision, mission statement and core beliefs. Provide your input here ⤵️https://t.co/GcoYvPOGJb",JamaalBowmanNY
1,2022-02-23 17:16:32+00:00,1496534451836358663,The fierce and legislative legend herself endorsed our movement. It will be an honor to continue fighting with her in ensuring that the people closest to the pain are closest to the power! https://t.co/dyBZbGx5Vt,JamaalBowmanNY
2,2022-02-23 15:56:00+00:00,1496514184900538368,"Proud that our campaign has the continued support of @NYWFP!

Looking forward to continuing our work and fighting for working families in NY-16. https://t.co/evvi3wi5SV",JamaalBowmanNY
3,2022-02-23 15:20:15+00:00,1496505190555471873,"We’re sliding back into a time where Black people were terrorized for reading. 

This is modern fascism. And our response cannot be passive.

Run for school board seats, teach anti-hate and anti-racism. Show multi-faith and racial solidarity. We can’t afford to sit this one out. https://t.co/e8IIQkS65Z",JamaalBowmanNY
4,2022-02-22 17:33:22+00:00,1496176299362164737,I'm honored to have @SenGillibrand's endorsement. This past year we've worked together to bring resources to our community in New York’s 16th and we’ll keep working to deliver even more. Let’s go! https://t.co/MmieAAx32F,JamaalBowmanNY
5,2022-02-22 15:27:36+00:00,1496144652570877961,@jemelehill Word!,JamaalBowmanNY
6,2022-02-22 01:09:36+00:00,1495928730212093952,"So much heavy in the world right now. Please take the time for self care and joy wherever you can find it. 

Tonight we celebrated Black history with a NY-16 trivia night! Thank you @DCEKenJenkins, @Terry4CL11 and everyone for joining us! 

Al Culler of Coop City won the night! https://t.co/8YKbXPbNo3",JamaalBowmanNY
7,2022-02-21 22:36:35+00:00,1495890221455626241,Let’s do this ❤️🦾 https://t.co/FCMJt0t3OG,JamaalBowmanNY
8,2022-02-21 22:16:57+00:00,1495885279638564865,Absolutely devastating. https://t.co/qI008AT4i7,JamaalBowmanNY
9,2022-02-21 15:19:06+00:00,1495780125048291331,This is incredible. Thank you @BWEditorInChief https://t.co/Xt7S5YHbHZ,JamaalBowmanNY
10,2022-02-21 05:22:26+00:00,1495629968323268609,"“Democracy falters not when we disagree about things but when we lose interest in trying to make sense of the other person’s point of view and in trying to persuade that person of the merits of our own.”

Thank you Dr. @HenryLouisGates",JamaalBowmanNY
11,2022-02-20 13:02:04+00:00,1495383249350180870,"“A people’s democracy is existentially dependent on an educated citizenry.”

Thank you @GeorgeTakei 

As an educator and former middle school principal now in congress, I could not agree more.",JamaalBowmanNY
12,2022-02-19 20:56:16+00:00,1495140201034833925,"Teachers deserve better and students deserve an excellent education, no matter their background or income. 

Share your favorite teacher appreciation story under this post! https://t.co/Ip8WWjxvnZ",JamaalBowmanNY
13,2022-02-19 17:23:15+00:00,1495086589764161546,"Today we remember the over 100,000 Japanese Americans who were placed in horrific interment camps from 1942-1946. We can never forget them. 

Today is a day to reflect and recommit to safeguarding the civil rights of all people.",JamaalBowmanNY
14,2022-02-19 00:29:59+00:00,1494831594577739788,@Patsy_selenaa The honor is mine and all of ours. We are really really blessed to have you.,JamaalBowmanNY
15,2022-02-19 00:17:50+00:00,1494828536468758529,"Very proud of @Patsy_selenaa for being brave enough to share her story and allowing it to influence her incredible work. Our team is the best! 
https://t.co/td7hi8qCSt",JamaalBowmanNY
16,2022-02-18 15:17:50+00:00,1494692641593868293,@maggie162 Yes Maggie! Emotional literacy is so desperately needed in our schools. Especially at this time. It’s a key missing ingredient in our society.,JamaalBowmanNY
17,2022-02-18 14:58:30+00:00,1494687777694310404,"Every elementary school should have a drama program. It’s so important to help kids find their voice, their creativity and express themselves. 

Most importantly, it’s fun!",JamaalBowmanNY
18,2022-02-18 00:55:20+00:00,1494475586005348355,"@AriFleischer Education doesn’t happen without love, acceptance and truth. I have a doctorate in education and was principal of a school that I founded for ten years. Allow me to educate you.",JamaalBowmanNY
19,2022-02-18 00:43:37+00:00,1494472638537912321,"Joined community members for the Lakeland School Board Meeting tonight and met with neighbors who are committed to keeping our schools centers of love, acceptance and the truth. https://t.co/y8BEs2b7gB",JamaalBowmanNY
20,2022-02-17 18:27:11+00:00,1494377904599445510,"I am ready and excited to represent Yorktown, and Putnam County where this incident took place. We will fight for racial justice and to end bigotry and hate together. https://t.co/33zRVARjfi",JamaalBowmanNY
21,2022-02-17 16:53:38+00:00,1494354361203441667,@notziora https://t.co/HYwe0k1voV,JamaalBowmanNY
22,2022-02-17 15:59:29+00:00,1494340736979931139,"Wish I could be at the Democratic Convention today but I am chairing a hearing on the Subcommittee on Energy in the Science, Space and Tech Committee. We’re exploring the role of green hydrogen in getting us to 100% sustainable energy.

Here is to a greener future! https://t.co/QlCCYIDBKb",JamaalBowmanNY
23,2022-02-17 02:08:00+00:00,1494131484591988737,"#TeamBowman just hit 10,000 calls for the year! Our volunteers have called over 10k voters to connect folks with resources and to hear what issues matter most in our community ❤️

Join us for the last Wed &amp; Sun phonebanks of the month by signing up here: https://t.co/NWPGowRc7l https://t.co/7r9lEuOvHP",JamaalBowmanNY
24,2022-02-17 01:01:19+00:00,1494114702791778307,Honored to have Senator @chuckschumer’s endorsement and support as we continue to bring more resources to our communities. We’re addressing the most pressing issues with holistic and bold action. And we’re just getting started! https://t.co/aA5oej1X73,JamaalBowmanNY
25,2022-02-17 00:53:00+00:00,1494112610278682626,"We can't allow Black women to be hindered in their effort to serve this country. 

I support Lisa Cook's nomination to the Federal Reserve and any Black woman fighting to serve in her highest capacity despite obstacles Republicans create.",JamaalBowmanNY
26,2022-02-16 23:47:16+00:00,1494096069738774542,Black history is American history and should be taught everyday like it is at PS 160. That's why Senator @CoryBooker &amp; I introduced our African American History Act to ensure the next generation knows the truth. https://t.co/oo1Zl51kmI,JamaalBowmanNY
27,2022-02-16 17:32:00+00:00,1494001629170855937,Inherent biases permeate our society and lead up to injustices like this. We must uproot and reimagine the system as we know it. https://t.co/pf5yZJgXDt,JamaalBowmanNY
28,2022-02-16 16:44:29+00:00,1493989671965237251,I'm proud to receive an endorsement from @chuckschumer. We’ve worked hard to deliver for NY16 and beyond. Getting our district the resources it needs while building a better future takes deep partnership and collaboration. I look forward to continuing that work with him. https://t.co/TtaqJbQewU,JamaalBowmanNY
29,2022-02-16 00:08:00+00:00,1493738898047963139,"Petitioning starts in TWO WEEKS and we need your help to make sure I’m on the ballot! Join us for Petitioning 101 on Sunday, February 27th at 5pm to learn about our petitioning plan and sign up for a shift!

Sign up here ⬇️
https://t.co/SFobtgQmEx",JamaalBowmanNY
30,2022-02-15 23:41:14+00:00,1493732164462120963,"Thinking of the AAPI community, especially those close to Christina and her family. 

We must be loud and unequivocal in fighting against hate and racism in all forms every single time. 

Sending love during this difficult time. 

https://t.co/q02Bh3nbVn",JamaalBowmanNY
31,2022-02-15 22:37:32+00:00,1493716132108378119,"From Putnam County to the Bronx, our district knows it's time to end gun violence. I worked to bring violence prevention resources to NY16 last year and I'm committed to creating more holistic solutions for public safety with everyone. https://t.co/CVftW2eqwJ",JamaalBowmanNY
32,2022-02-14 21:32:17+00:00,1493337321885904897,"I'm humbled to receive an endorsement from @CWADistrict1.

You all are a testament to why I advocate for working families and a better tomorrow. Honored to have you in this fight with me! https://t.co/XjyyYzzpu2",JamaalBowmanNY
33,2022-02-14 09:45:38+00:00,1493159489356410883,@yuhline @nytimes This has to stop!,JamaalBowmanNY
34,2022-02-14 03:05:49+00:00,1493058873527259137,Congrats LA!,JamaalBowmanNY
35,2022-02-14 01:36:31+00:00,1493036399238524931,Wow!,JamaalBowmanNY
36,2022-02-14 01:33:43+00:00,1493035696151568384,Wow! That’s why Cincy is special.,JamaalBowmanNY
37,2022-02-14 01:24:03+00:00,1493033263316848643,Hip Hop!!!,JamaalBowmanNY
38,2022-02-14 01:17:47+00:00,1493031683238805506,Kendrick!!!,JamaalBowmanNY
39,2022-02-14 01:15:17+00:00,1493031057435897860,Mary!!!,JamaalBowmanNY
40,2022-02-14 01:03:55+00:00,1493028195674775558,@MadelineCuddy @JessWoolfordBX Thank you so much! 🙏🏿❤️,JamaalBowmanNY
41,2022-02-14 00:39:21+00:00,1493022011689517060,Nooooooo OBJ!,JamaalBowmanNY
42,2022-02-14 00:33:13+00:00,1493020467447353349,Nice play!,JamaalBowmanNY
43,2022-02-14 00:22:52+00:00,1493017866140065794,Sean Mcvay and Mathew Stanford making a statement so far.,JamaalBowmanNY
