,Datetime,Tweet Id,Text,Username
0,2022-02-23 01:39:00+00:00,1496298515672281091,"Our greatest strength is our unity. In Munich, we affirmed that our NATO alliance and relationship with the transatlantic community are strong and united.",KamalaHarris
1,2022-02-22 22:57:00+00:00,1496257747607867396,"On my visit to Munich, we strengthened and affirmed relationships with our allies and partners worldwide as we demonstrated our unity in the face of Russian aggression.",KamalaHarris
2,2022-02-18 21:37:01+00:00,1494788064920711168,"More than 42 million people in our country do not have access to high-speed internet. 

That’s why our Bipartisan Infrastructure Law will expand internet access, lower prices for internet service, and help close the digital divide.",KamalaHarris
3,2022-02-17 00:22:00+00:00,1494104810471280641,"The Affordable Connectivity Program means that more entrepreneurs can build digital businesses, and more children can do their homework at home.

If you believe you are eligible to receive affordable broadband support, visit https://t.co/viMAVwZGRV.",KamalaHarris
4,2022-02-16 18:45:02+00:00,1494020008770523145,"More than 10 million American households have signed up for the Affordable Connectivity Program, which lowers high-speed internet costs for working people. 

Visit https://t.co/viMAVwZGRV to see if you are eligible. 
https://t.co/eo4NhgeCz9",KamalaHarris
5,2022-02-15 22:32:00+00:00,1493714741251948545,"In the 21st century, high-speed internet is a necessity. 

That’s why, since day one, the President and I have fought to make it easier for everyone to access and afford high-speed internet. Now, the Bipartisan Infrastructure Law will help make it happen.",KamalaHarris
6,2022-02-13 21:40:00+00:00,1492976879598551046,"We’re not just getting rid of lead pipes. We’re creating jobs.

Through the Bipartisan Infrastructure Law, we will invest in job training, upgrade our workforce's skills, partner with our labor unions, and establish apprenticeships—all to create jobs replacing lead pipes.",KamalaHarris
7,2022-02-13 15:58:00+00:00,1492890812388200452,"Lead exposure affects multiple generations within one household.

Grandparents shouldn’t have to worry about their grandbabies drinking water poisoned by lead, especially during their formative development years. That's why we're working towards removing lead pipes nationwide.",KamalaHarris
8,2022-02-12 18:37:00+00:00,1492568437515821061,"For far too long, homeowners or renters have had to suffer the burden of investing their own money to fix lead service lines on their property. 

The investments in the Bipartisan Infrastructure Law will begin to change this by replacing lead pipes nationwide.",KamalaHarris
9,2022-02-12 15:30:14+00:00,1492521434740137986,We must eliminate lead pipes. https://t.co/gCbTGYrtuf,KamalaHarris
10,2022-02-10 15:14:02+00:00,1491792583391014920,"We have made historic strides to strengthen the judicial bench, with over 70% of our nominees being women.

Soon, the President will nominate the first Black woman—who will be eminently qualified—to sit on the Supreme Court. 

It's about time.",KamalaHarris
11,2022-02-10 01:53:00+00:00,1491590996504756233,"The Executive Order on Project Labor Agreements will ensure federal construction projects are built on time—improving construction work around the country and job quality for nearly 200,000 workers.

We’re fulfilling our promise to build a more skilled and productive workforce.",KamalaHarris
12,2022-02-09 22:28:00+00:00,1491539406808879104,"When the President and I took office, we understood the challenges facing our nation and planned to get America back on track.

While there's more work to be done, businesses and schools are back open, and America is getting back to work.",KamalaHarris
13,2022-02-08 22:35:00+00:00,1491178781041647619,"From putting food on the table to helping families cover daily expenses, the Child Tax Credit has delivered real relief for so many working families and children—and we want to make sure you receive it if you’re eligible. 

Visit https://t.co/RE29m36gqV to learn more.",KamalaHarris
14,2022-02-08 20:50:19+00:00,1491152437138231298,"To find out if you are eligible for the Child Tax Credit and the Earned Income Tax Credit, visit https://t.co/RE29m2OF2l. https://t.co/lPX2lx0n24",KamalaHarris
15,2022-02-07 20:44:00+00:00,1490788458742394882,Our Lead Pipe and Paint Action Plan in the Bipartisan Infrastructure Law will start removing and replacing lead pipes across America so our kids will be safe from lead poisoning.,KamalaHarris
16,2022-02-06 19:56:00+00:00,1490413992401158144,"With free-at-home COVID-19 tests available to households across the country who sign up, you and your family will be able to test from your home. 

Visit https://t.co/Peq1SEiXEt and order yours today.",KamalaHarris
17,2022-02-06 16:00:09+00:00,1490354635353296897,"Americans are back at work at a record-setting pace. Our economy created 467,000 jobs in January, and 6.6 million jobs have been created since we took office.

While there’s more work to be done, we are focused on rebuilding an economy that will lift up all Americans.",KamalaHarris
18,2022-02-06 01:42:00+00:00,1490138676545961994,"The latest jobs report shows America’s economy created 6.6 million jobs within the last year, exceeding expectations. 

We are making historic strides to build our country back better than before.",KamalaHarris
19,2022-02-05 18:25:01+00:00,1490028703941898241,"Over the past two years, so many have lost loved ones.

Our faith has been tested. But it is that same faith—our faith in God, our faith in humanity, and our faith in what is possible—it is that same faith that has seen us through and helped us to see the light in one another.",KamalaHarris
20,2022-02-05 17:37:01+00:00,1490016627131363330,"The Cancer Moonshot will work to reduce the death rate from cancer by at least 50% over the next 25 years and improve the experience of people and families living with and surviving cancer. 

These goals are not abstract. They will transform and save lives.",KamalaHarris
21,2022-02-05 16:49:00+00:00,1490004543203155972,"Since @JoeBiden and I took office, the economy has grown at the fastest rate in nearly 40 years.

There’s more work to do, but America is on its way back.",KamalaHarris
22,2022-02-05 02:19:00+00:00,1489785600181952515,"Now is the time for all of us to get to work to elect Democrats up and down the ballot. We have the power to make a difference for our country today and in the future.

Donate to help elect Democrats who'll fight for working families up and down the ballot.https://t.co/TvXRbP9nSN",KamalaHarris
23,2022-02-04 17:18:19+00:00,1489649533067870212,"I stood witness as my mother, a scientist, worked to end breast cancer. 

My mother’s discoveries helped save women’s lives. And I am so proud of the work she did to bring our nation and our world closer to the goal of ending breast cancer as we know it. https://t.co/ESgWSA8Gp8",KamalaHarris
24,2022-02-04 01:12:00+00:00,1489406351243628546,"If you are unvaccinated and test positive for COVID-19, you are 17 times more likely to be hospitalized.

Get vaccinated if you haven’t already done so, and urge your family members, friends, and neighbors to get vaccinated.",KamalaHarris
25,2022-02-03 23:15:02+00:00,1489376913713938433,"Over the past 20 years, more people are surviving and enduring cancer after being diagnosed than ever before, and the death rate has fallen by about 25%.

Our Cancer Moonshot initiative lays out ambitious and achievable goals for our nation to end cancer as we know it.",KamalaHarris
26,2022-02-03 21:15:05+00:00,1489346727530348544,"There’s more work to be done, but, so far, our economy has added more than 6 million jobs. 

Together, we are helping Americans get back to work.",KamalaHarris
27,2022-02-03 01:33:00+00:00,1489049248566067208,"We still have a lot of work ahead of us, but we are focused on getting Americans back to work and rebuilding the middle class.

The economy has added more than 6 million jobs this past year, and the unemployment rate dropped to 3.9%.",KamalaHarris
28,2022-02-02 20:52:01+00:00,1488978537046552581,"It’s unacceptable that in 2022 our children are still drinking water from toxic lead pipes. 

Thanks to the investments of the Bipartisan Infrastructure Law, generations of Americans will forever benefit from the work of removing lead pipes across the country.",KamalaHarris
29,2022-02-02 17:00:53+00:00,1488920370749005826,We will work together to ensure that all Americans who are eligible to vote have access to the ballot. https://t.co/UbOLY80RGL,KamalaHarris
30,2022-02-02 15:00:22+00:00,1488890041237655558,"Over these last two years, many of our nation’s governors have been presented with the greatest challenges, but did not relent.

They are leaders who do not throw up their hands, but they roll up their sleeves for their state.",KamalaHarris
31,2022-02-02 00:02:00+00:00,1488663959527960582,"Happy Lunar New Year! Sending warm wishes for a happy, healthy, and prosperous Year of the Tiger to all those celebrating in the United States and around the world.",KamalaHarris
32,2022-02-01 22:05:15+00:00,1488634577228865542,"Black history is American history. 

As Black History Month begins, we honor those who built America from its foundation and still work every day to make this country stronger and more free. We must remember our history, not just this month but every month. https://t.co/y2VX11mhE7",KamalaHarris
33,2022-01-31 20:36:00+00:00,1488249730975031300,"Getting rid of lead pipes in our communities is about public health. It’s about keeping our kids safe in schools. It’s about strengthening apprenticeship programs and creating jobs. 

We’re working to strengthen our infrastructure and replace lead pipes across the country.",KamalaHarris
34,2022-01-30 01:18:00+00:00,1487595921579941892,"New small business applications have increased by 30% since before the pandemic. 

While there’s more work to be done, we’re rebuilding our economy to lift up all Americans.",KamalaHarris
35,2022-01-29 17:19:01+00:00,1487475379287863296,"The bottom line is that eliminating lead exposure in our nation must be among our highest priorities.

Why? Because millions of people in America are exposed to lead every day.

Our Lead Pipe and Paint Action Plan will remove and replace all lead pipes over the next ten years.",KamalaHarris
