,Datetime,Tweet Id,Text,Username
0,2022-02-21 16:14:03+00:00,1495793951521087489,Period. @domesticworkers make all other work possible. https://t.co/sazol9MH82,NikemaWilliams
1,2022-02-21 14:48:36+00:00,1495772447336972289,We were fortunate to have 80 years of #GoodTrouble with Congressman Lewis. Today would have been his 82nd Birthday. Let’s commit ourselves to continuing his legacy and finding a way to get in the way. #JohnLewisVotingRightsAct #VotingRights #FreedomToVote #ForThePeople https://t.co/UoaT9eecKh,NikemaWilliams
2,2022-02-21 01:44:04+00:00,1495575014460084224,She said it not me….but where’s the lie? #OneAtlanta https://t.co/W7qyEYvOuh,NikemaWilliams
3,2022-02-18 18:53:02+00:00,1494746798979792897,@CISAConleyHills @TheConleyHills @cisatlanta I can’t wait to read the letters from the future leaders of our country! I need to schedule a visit to give them an answer to their letters!,NikemaWilliams
4,2022-02-14 05:31:21+00:00,1493095497845948417,"The same folks mad because “only one white person was in the halftime show” are the same folks hell bent on not having a Black woman on the #SCOTUS because “race shouldn’t matter”. 

Just own your racism. #SuperBowl #HalfTimeShow",NikemaWilliams
5,2022-02-11 22:02:40+00:00,1492257806510141449,@Beezyology Daily.,NikemaWilliams
6,2022-02-09 21:29:13+00:00,1491524611820957698,@andrewaydin Whoa…..,NikemaWilliams
7,2022-02-09 21:22:46+00:00,1491522990948982791,"Reasons to give up my summer and campaign in GA Heat….#FairMaps 

https://t.co/xRnbwZca6B",NikemaWilliams
8,2022-02-06 21:55:17+00:00,1490444008493137923,"@NW_Horadam Yeah, considering this is GDOT and they cc’d the State Senator in my old seat, they probably meant to cc the actual State Representative. Either way, they messed up. But at least their fail got my eyes on this!",NikemaWilliams
9,2022-02-05 00:01:08+00:00,1489750904739975170,@JessLivMo I could answer this if only I knew what what a Bad Bunny was 🥴,NikemaWilliams
10,2022-02-04 23:55:39+00:00,1489749523043868673,Defending Democracy. #FairMaps https://t.co/OLx0OlAUeF,NikemaWilliams
11,2022-02-04 00:48:50+00:00,1489400520817135621,"On this day in 1956, my Auntie, Autherine became the 1st Black student admitted to the  @UofAlabama. Her case, led by attorneys Thurgood Marshall &amp; Author Shores w/the @NAACP was pivotal in desegregating schools in the South. The work continues! #BlackHistoryMonth https://t.co/8YW5fbBIzs",NikemaWilliams
12,2022-02-04 00:41:34+00:00,1489398689885999106,@civilrightsorg I had the opportunity to spend some time with Auntie Autherine recently. The fight continues! https://t.co/f6EPjssNyw,NikemaWilliams
13,2022-02-02 15:51:15+00:00,1488902843658608640,Beyond #BlackHistoryMonth @TheBlackCaucus is Turning Pain into Policy. #OurPowerOurMessage https://t.co/Ky5GhKyh3K,NikemaWilliams
14,2022-02-01 16:42:58+00:00,1488553470898712584,My colleague @RepStricklandWA made it plain. #TrustBlackWomen https://t.co/Go4RiIp0Q8,NikemaWilliams
15,2022-01-31 03:24:38+00:00,1487990175657566211,@JakeAuch Only a Birthday Boy is allowed to cut a cake that way. I’m screaming internally 🥴,NikemaWilliams
16,2022-01-30 05:20:00+00:00,1487656821326327812,Receipts. https://t.co/BHb5rtIo9b,NikemaWilliams
17,2022-01-30 01:42:14+00:00,1487602018822807552,All of this.👇🏾👇🏾👇🏾 https://t.co/fYemOcQuG7,NikemaWilliams
18,2022-01-29 07:57:59+00:00,1487334191729631233,"@JoyAnnReid When you find out, share!",NikemaWilliams
19,2022-01-28 14:16:26+00:00,1487067046378676225,👇🏾👇🏾👇🏾 https://t.co/5gryzDFloC,NikemaWilliams
20,2022-01-28 03:10:00+00:00,1486899331579928578,@AlbanyHCASC Kudos from a @hcasc alum!,NikemaWilliams
21,2022-01-25 05:15:51+00:00,1485843837805379586,@DrJasonJohnson Wait what??? Fabuloso is the TRUTH!,NikemaWilliams
22,2022-01-25 00:35:58+00:00,1485773403273539584,@JakeAuch Adorbs!!,NikemaWilliams
23,2022-01-24 06:09:11+00:00,1485494874870886402,"@annas_tea_ @jadeyogunnaike @MichaelDTubbs 😂 by the way, Leslie’s child took my water again tonight. 😑",NikemaWilliams
24,2022-01-24 06:05:08+00:00,1485493851552993280,@BeeForGeorgia @NellOnWheels @GTWBB @uncwbb @GeorgiaTech @CabreraAngel They’re growing on me!,NikemaWilliams
25,2022-01-23 18:26:04+00:00,1485317925712109573,"Cheering on @NellOnWheels and the  @GTWBB as they take on @uncwbb! Let’s Go @GeorgiaTech!  

Carter missed you @CabreraAngel! https://t.co/mkkBDn035k",NikemaWilliams
26,2022-01-22 21:00:06+00:00,1484994302208098306,@BeeForGeorgia One of favorite pics fighting with some of my favorite people!,NikemaWilliams
27,2022-01-22 20:58:32+00:00,1484993910262878209,"@MichaelDTubbs I never thought I’d have to sneak and eat in my own house! Last night I had a glass of ice water, I turn away and the boy has moved MY GLASS to the other side of the room talking bout, “Mommy, I’m thirsty.”",NikemaWilliams
28,2022-01-22 01:37:52+00:00,1484701819188256773,You got that right @DCBatman! The government should not make money off of students trying to get an education! Be like Batman and join us to #CancelStudentDebt! https://t.co/7XjjSWPQia,NikemaWilliams
29,2022-01-22 01:34:07+00:00,1484700874148655105,"Even Harley Quinn knows that it’s time to #CancelStudentDebt.

Yep that’s @dcharleyquinn! https://t.co/isx3NvbK9v",NikemaWilliams
30,2022-01-21 06:30:58+00:00,1484413189974597633,"@barnelvo @All435Reps That is your belief, not mine. That’s the beauty of this country, we don’t have to believe the same thing.",NikemaWilliams
31,2022-01-21 00:35:43+00:00,1484323788288237575,"@barnelvo @All435Reps Perhaps you don’t believe in the power of prayer and that’s your choice, but I do.",NikemaWilliams
32,2022-01-20 22:54:38+00:00,1484298352556658689,Get better soon @RepHankJohnson. Let us know if you need anything dropped off! https://t.co/IfOyYBNF6I,NikemaWilliams
33,2022-01-20 22:02:40+00:00,1484285272003162117,"Sending love and prayers to my Divine Nine Sisters of Delta Sigma Theta as they grieve the transition of their National President, Cheryl Hickmon. https://t.co/mxJZgUaMY0",NikemaWilliams
34,2022-01-20 21:25:59+00:00,1484276043217354760,"Atlanta, Georgia changed my life! https://t.co/YHGYlIS65N",NikemaWilliams
35,2022-01-20 18:27:15+00:00,1484231062188437510,@smalls58 😘,NikemaWilliams
36,2022-01-20 18:12:47+00:00,1484227423071834113,"This is my friend, @colmonelridge. He’s the Chair of the Kentucky Democratic Party. I feel you Colmon!

👇🏾👇🏾👇🏾👇🏾 https://t.co/lKn8yhdZbi",NikemaWilliams
37,2022-01-20 14:25:05+00:00,1484170117483274247,"@MsLaToshaBrown This fight ain’t over!! Thank you for being on the front lines, daily! ✊🏾✊🏾✊🏾",NikemaWilliams
