,Datetime,Tweet Id,Text,Username
0,2022-02-23 19:00:37+00:00,1496560647986950159,"We must continue the work to address years of inequality that have left our Black brothers and sisters in such poor economic standing. To learn more about the economic conditions of Black Americans nationally and statewide, access the report here: https://t.co/UHDhaiQaJl",RepAlGreen
1,2022-02-23 18:43:06+00:00,1496556239429550085,"Black Americans have historically faced higher poverty rates, including child poverty rates, than White Americans. In 2019, the Black poverty rate in Texas was 18.4% compared to the White poverty rate of 7.9%.",RepAlGreen
2,2022-02-23 18:33:03+00:00,1496553708418744322,"However, socioeconomic barriers preventing Black Americans from accessing the same professional, financial, and childcare opportunities that are available to other racial and ethnic groups still persist.",RepAlGreen
3,2022-02-23 18:27:02+00:00,1496552193192771586,"Over the last 50 years, the number of Black students with an education has significantly increased. Since 1972, the drop out rate for Black high school students has ebbed to a historic low of 6%. And since 1990, the rate of Black adults with college degrees has more than doubled. https://t.co/fMB3uMdvkf",RepAlGreen
4,2022-02-23 18:14:51+00:00,1496549127852802054,"In recognition of Black History Month @TheBlackCaucus and @JECDems have released a report detailing the challenges facing black families and workers across the United States, as well as the progress that has been made.",RepAlGreen
5,2022-02-23 02:02:57+00:00,1496304541217738756,"Today I had the pleasure of touring William P. Hobby Airport, the only 5-star airport in North America. Thank you to the @HobbyAirport team for allowing me the opportunity to learn more about the Houston Airport System &amp; how it will benefit from the Bipartisan Infrastructure Law. https://t.co/lhzZ20o8CI",RepAlGreen
6,2022-02-19 19:14:28+00:00,1495114581026426881,"Thank you to @JudgeKPGeorge and all our partnering organizations not only for making today’s event possible, but for what you are doing to improve the lives of others. https://t.co/xxT0dPHxgz",RepAlGreen
7,2022-02-19 02:38:10+00:00,1494863853473218565,Don’t forget to stop by tomorrow!!! https://t.co/aNhXJMUU9Q,RepAlGreen
8,2022-02-19 02:20:54+00:00,1494859508572733445,"Crime: first- and second-degree manslaughter.
Sentence: 2 years in prison, $1,000 fine.
Defendant: white female officer.
Victim: black male.
Black Lives Matter!
Black Lives Matter!!
𝗕𝗹𝗮𝗰𝗸 𝗟𝗶𝘃𝗲𝘀 𝗠𝗮𝘁𝘁𝗲𝗿!!!",RepAlGreen
9,2022-02-18 19:25:30+00:00,1494754969035100168,The racially disparate police response to a fight between 2 teens in NJ is as clear as black &amp; white. It shows how skin color presumes guilt &amp; the need for a Cabinet-level Dept. of Reconciliation. Our nation won’t heal until it reconciles the biases that oppress many POC daily.,RepAlGreen
10,2022-02-18 17:11:45+00:00,1494721309384794113,"COVID-19 vaccines and testing will also be available. Stop by &amp; mask up, get vaxxed, and get boosted! 💉 https://t.co/z9Q5jzQZ2N",RepAlGreen
11,2022-02-16 16:18:50+00:00,1493983215215853568,"Under the leadership of Chairwoman @RepMaxineWaters, @FSCDems will hold a hearing today to discuss issues currently facing minority &amp; community development financial institutions. JOIN US LIVE AT 11AM CT / 12 PM ET: https://t.co/hfPVJGx4TZ https://t.co/2uppHMx2Fz",RepAlGreen
12,2022-02-15 00:21:46+00:00,1493379975021576193,"This historic legislation also includes $2 billion to make energy efficient and climate resilient upgrades to federally assisted housing. Friends, there is no time to waste. It’s time to #PassBuildBackBetter",RepAlGreen
13,2022-02-15 00:21:20+00:00,1493379865092968448,"The #BuildBackBetterAct helps close the racial wealth disparity that prevents Americans from achieving their dreams of homeownership and allocates $1 billion to Native American communities, who face the highest rates of homelessness in the country.",RepAlGreen
14,2022-02-15 00:19:45+00:00,1493379466403405825,Affordable housing should not be accessible by a select few. That is why the Build Back Better Act would make the largest affordable housing investment in our nation’s history with over $150 billion.🏡🏘,RepAlGreen
