,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:54:56+00:00,1496589414901891083,"The decision to get a vaccine is a personal one that should be made between an individual and their medical provider, not imposed on them by the government. It is time to bring this CRA to a vote and end federal vaccine mandates.",RepArmstrongND
1,2022-02-23 20:54:56+00:00,1496589413362642948,"The sweeping vaccine mandate on America’s healthcare professionals is overreaching and does nothing to improve the quality of care in our communities, especially in rural areas like North Dakota.
https://t.co/JAjUse7Vhu",RepArmstrongND
2,2022-02-22 20:42:56+00:00,1496224008970375168,Agriculture is important to North Dakota's economy and way of life. I am proud to cosponsor a resolution recognizing #FFAWeek and the importance of supporting the next generation of agriculture leaders. https://t.co/xMF6tv7jjb,RepArmstrongND
3,2022-02-21 18:31:52+00:00,1495828636410261507,Happy Presidents’ Day! https://t.co/x2KWUjleld,RepArmstrongND
4,2022-02-18 20:35:47+00:00,1494772656222187525,"@FERC’s new policy doubles down on putting our country’s interests last, and will make it even harder to build critical infrastructure needed to provide reliable and affordable energy for North Dakotans and all Americans.",RepArmstrongND
5,2022-02-18 20:35:47+00:00,1494772655001677834,"The Biden administration has been waging a war on American energy from the very beginning. They have consistently worked to cripple domestic production while simultaneously begging foreign governments to increase supplies.

https://t.co/cJc8Vpig2T",RepArmstrongND
6,2022-02-18 15:02:59+00:00,1494688905312022528,My friend @Dickinsonpd Lt. Kylan Klauzer teaches Ethics in Criminal Justice at @dickinsonstate. I appreciate him inviting me to speak with his class and I thank the students for a great discussion. https://t.co/Fc3587vRZ2,RepArmstrongND
7,2022-02-17 17:08:28+00:00,1494358094033399818,https://t.co/S7okmq1uXo,RepArmstrongND
8,2022-02-17 17:08:27+00:00,1494358092087439360,"Congratulations to Griffin House of Bismarck on his admission to the @NavalAcademy. His academic and extracurricular records, along with his years of community service, have earned him this honor. I am confident he will represent North Dakota and our country well. https://t.co/aLsnW1zPzi",RepArmstrongND
9,2022-02-16 21:45:49+00:00,1494065504260132870,https://t.co/VfmqOewwSI,RepArmstrongND
10,2022-02-16 21:45:48+00:00,1494065502146150406,"I am excited to announce that Campbell Dorsey from Grand Forks has been accepted to the @AF_Academy. Her dedication to her studies, extracurriculars, and community has earned her this honor. I am confident she will represent North Dakota and our country well. https://t.co/eVDyVs6dBy",RepArmstrongND
11,2022-02-15 22:12:11+00:00,1493709751712198666,Stopped by a meeting of the Western Dakota Estate Planning Council in Bismarck today. Thank you for having me speak with your group about the work I am doing in DC for North Dakota. https://t.co/NWjk1UI5nQ,RepArmstrongND
12,2022-02-15 05:15:38+00:00,1493453929455276032,"Seriously, I know there is a lot going on in the world right now but the hat is a pretty big clue. https://t.co/JJZxdIg7Sr",RepArmstrongND
13,2022-02-14 18:36:06+00:00,1493292984514793479,Congratulations to @NDSU and @NDSUFoundation on this great achievement. https://t.co/aexhlsfUZW,RepArmstrongND
14,2022-02-14 01:18:08+00:00,1493031772178821133,50 Cent has been adjusted for inflation.,RepArmstrongND
15,2022-02-11 15:44:08+00:00,1492162543896469504,"""when evidence demonstrates it is appropriate for medical use. This legislation will help in the fight against opioid overdoses and allow researchers the flexibility needed to study these substances.""",RepArmstrongND
16,2022-02-11 15:44:07+00:00,1492162542143168512,"""I am a cosponsor of the Halt All Lethal Trafficking of Fentanyl Act (HALT), which will permanently schedule fentanyl and FRS, simplify registration processes for certain research with Schedule I substances and provide for exemption of individual FRS from Schedule I ...""",RepArmstrongND
17,2022-02-11 15:44:07+00:00,1492162540645896194,"""Currently, fentanyl and FRS are temporarily Schedule I, but that expires Feb. 18, 2022, which is just a week away. If this order ends without action, it will be more difficult for law enforcement to combat the flow of these drugs.""

https://t.co/JBCbdTKlyR",RepArmstrongND
18,2022-02-11 01:04:16+00:00,1491941120296853505,Serious question. If you slash their tires and empty the gas tanks how are you going to move the trucks? https://t.co/izFeldb5Bl,RepArmstrongND
19,2022-02-10 17:34:27+00:00,1491827921358626821,We have to do everything we can to stop the flow of fentanyl that is ravaging families and communities across the country. I appreciate @RepBryanSteil for his leadership in calling for the permanent scheduling of fentanyl related substances. https://t.co/S5sJM0HkKA,RepArmstrongND
20,2022-02-09 21:49:37+00:00,1491529745141481472,I appreciate the Dean of @NDSUEngineering Dr. Mike Kessler stopping by my office today. Thank you to him for sharing some of the great programs @NDSU is pursuing to provide quality education for North Dakota's students. https://t.co/U37RAnwRIM,RepArmstrongND
21,2022-02-08 21:20:58+00:00,1491160149049946118,"Today I spoke in support of the Postal Service Reform Act. This bipartisan bill begins reforms needed for @USPS to achieve financial stability, maintain self-sufficiency, and provide reliable services North Dakotans depend on. https://t.co/FiPfXfVgfD",RepArmstrongND
22,2022-02-08 16:04:51+00:00,1491080593546760193,"There needs to be a congressional investigation and hearings on these revelations so the American people can get answers. The program must stop until then.

The USCP cannot take advantage of the situation to conduct surveillance on our constituents.

https://t.co/Lbt58kPqIR",RepArmstrongND
23,2022-02-07 19:53:05+00:00,1490775643423977480,Good.  https://t.co/bGucVsZ0ej,RepArmstrongND
24,2022-02-07 18:15:07+00:00,1490750992131969038,"Congratulations to @HogeGolf from Fargo for winning the AT&amp;T Pebble Beach Pro-Am this Sunday. North Dakota will be cheering him on at @TheMasters in April.

https://t.co/FOgP95Vt8J",RepArmstrongND
25,2022-02-04 18:14:09+00:00,1489663585131315202,"The majority of Americans agree that Congress needs to act &amp; hold China accountable. This can be done in a smart, bipartisan way that doesn’t harm American competitiveness. The Democrats’ nearly 3,000-page partisan bill does not do that.

Full Statement👇
https://t.co/VOEeWkmrPt",RepArmstrongND
26,2022-02-04 13:50:00+00:00,1489597106583048198,"Many North Dakotans have a friend or loved one who has been diagnosed with cancer or they themselves have battled the disease. On #WorldCancerDay, we commit to raising awareness of cancer prevention, detection, and treatment. https://t.co/cz4HX73IOG",RepArmstrongND
27,2022-02-03 21:01:00+00:00,1489343183746002945,February is Black History Month. During #BlackHistoryMonth we celebrate and honor the achievements of Black Americans. https://t.co/w7eoAxmNO3,RepArmstrongND
28,2022-02-03 17:01:03+00:00,1489282799291056135,https://t.co/ijhKbLj7oH,RepArmstrongND
29,2022-02-02 20:22:59+00:00,1488971228832489475,"Lawyer: “I’m sorry Your Honor but I’m going to have to ask for a recess before cross examination. I need to go out in the hallway and cry.”
Client: “I’m sorry Judge but I’m really going to need a new lawyer.” https://t.co/B6uh6zewaL",RepArmstrongND
30,2022-02-02 13:00:00+00:00,1488859751010029569,"Thank you to the North Dakota Association of County Engineers for having me join the County Roads Conference in Dickinson last week. It was a great conversation on many topics, including the need for permitting reform at the federal level.

https://t.co/eS0Z6gWESr",RepArmstrongND
31,2022-02-02 00:14:55+00:00,1488667207588618244,"Our national debt just surpassed $30 trillion. 

We cannot continue recklessly spending away the futures of young Americans.

https://t.co/g58w9b5sOI",RepArmstrongND
32,2022-02-01 22:52:54+00:00,1488646571352862724,Heard from @NPGA1 today about issues affecting producers across our state. I am honored to represent North Dakota's farmers in Congress. https://t.co/O7WlFo62dV,RepArmstrongND
33,2022-01-29 02:03:29+00:00,1487244980997562372,I am going to miss Wayne so much. I love you sir. Godspeed my friend.,RepArmstrongND
34,2022-01-29 02:03:29+00:00,1487244979760254976,"He taught me how to turn legal knowledge into smart policy. I would not be where I am today without Wayne’s friendship. I know for an absolute fact that I am not alone in that statement. But above all else, Wayne was a loving husband and a proud father.",RepArmstrongND
35,2022-01-29 02:03:28+00:00,1487244976463429633,"Tonight, my friend Wayne passed on. I am devastated. My heart hurts for Beth, Andrew, and the entire Stenehjem family. Wayne loved North Dakota as much as anyone I have ever met. He was smart, compassionate, and had the most down-to-earth approach to public service. https://t.co/Wp7Atyj5ms",RepArmstrongND
36,2022-01-27 17:14:23+00:00,1486749440853561359,Today we remember the six million Jews and millions of others who were killed during the Holocaust. We must pledge to never forget and never let it happen again. #HolocaustRemembranceDay https://t.co/AGMhU33dB7,RepArmstrongND
37,2022-01-26 16:26:21+00:00,1486374964018257925,Secret surveillance of Americans without probable cause is never ok. This should not be a partisan issue. It is offensive and outrageous. @TuckerCarlson https://t.co/TUtbZjqsyK,RepArmstrongND
38,2022-01-25 21:13:51+00:00,1486084925933731841,"This is dangerously close, if not already over the line, to spying on members of Congress, their staff, their constituents, and their supporters.

The American people deserve answers on who authorized this and why it’s happening.

https://t.co/HVtCTDJjTX",RepArmstrongND
39,2022-01-24 20:45:34+00:00,1485715420023857163,"Last week, I discussed Joe Biden's first year as president, my commitment to always defend the unborn, the Biden administration's failed energy policies, and more.

Continue reading my newsletter to learn about my week working for North Dakota.

https://t.co/zl6MAo7yqW",RepArmstrongND
40,2022-01-24 18:24:56+00:00,1485680031527542784,"I joined Plain Talk with @robport to discuss Joe Biden's first year as president and the issues affecting our country.

Listen below. 👇

https://t.co/A7e5v9Ecue",RepArmstrongND
41,2022-01-24 16:07:55+00:00,1485645548090765313,"Ensuring Americans have access to our public lands is an important part of multiple-use management, which includes outdoor recreation, resource development, and grazing.

Our bill identifies long-distance bike trails, making them easier to find while enjoying the outdoors. https://t.co/tD5QoXiqKx",RepArmstrongND
42,2022-01-21 14:56:04+00:00,1484540304300597249,I am proud to stand up for the unborn and defend against attacks on the inherent right to life. https://t.co/gVAIMEA50B,RepArmstrongND
43,2022-01-20 21:58:47+00:00,1484284294625476610,"Democrats are making my constituents show an ID to visit their elected representative’s office, but they don’t want them to show an ID to vote.

Federal control of elections would be a disaster for North Dakotans.",RepArmstrongND
44,2022-01-20 21:05:48+00:00,1484270963986468867,I will continue to work with my Republican colleagues in both chambers to hold the administration accountable and deliver real results for North Dakotans.,RepArmstrongND
45,2022-01-20 21:05:48+00:00,1484270962774315008,"President Biden ran for office as a dealmaker and uniter, but he has proven to be a divisive president. His radical agenda includes a federal takeover of elections, massive spending increases, ignoring the security needs at our southern border, and disregard for rural Americans.",RepArmstrongND
46,2022-01-20 21:05:48+00:00,1484270961604145159,Biden’s plans to sideline vital energy infrastructure and bring us into climate polices that further restrict our farmers and ranchers will only serve to push our economy down and cause consumer costs to rise.,RepArmstrongND
47,2022-01-20 21:05:48+00:00,1484270960433844225,"From the very beginning he has pushed policies that are direct attacks on agriculture and energy producing states like North Dakota.

He canceled the Keystone XL Pipeline, pushed unrealistic climate goals, and jeopardized American energy independence.",RepArmstrongND
48,2022-01-20 21:05:47+00:00,1484270959204909066,"Joe Biden’s first year as president has been marked by crisis after crisis.

The myriad of crises including the economic crisis, supply chain crisis, border crisis, and energy crisis have been made worse by his administration’s failed policies.",RepArmstrongND
49,2022-01-19 20:07:19+00:00,1483893857406304257,"From day one, the Biden administration's energy policies have failed Americans.

Misguided ideas like releasing oil from our strategic petroleum reserve have done nothing to lower energy prices and have real consequences that cost taxpayers. https://t.co/BNDhyg1Z9o",RepArmstrongND
50,2022-01-19 15:20:30+00:00,1483821676622192642,I am proud to have earned an A+ on @SBAList's pro-life scorecard. I will always stand for life and uphold the rights of the unborn. #WhyWeMarch https://t.co/66P9Lk1zLB,RepArmstrongND
51,2022-01-18 23:37:16+00:00,1483584305867730945,"Last week, I welcomed the Supreme Court's ruling that blocks the Biden administration's COVID-19 vaccine mandate, voted against a federal takeover of elections, and more.

Read my newsletter to learn about my week working for North Dakota.

https://t.co/bTY5UCudgv",RepArmstrongND
52,2022-01-17 14:55:49+00:00,1483090689604960263,"Today we honor the life and legacy of Dr. Martin Luther King, Jr., and reflect on his mission to bring equality and justice for all. #MLKDay https://t.co/l0UESeIv9v",RepArmstrongND
53,2022-01-16 18:25:50+00:00,1482781155778826243,"I was honored to receive the Family Award from @FaithandFreedom this week. On #ReligiousFreedomDay, we celebrate the right Americans have to freely exercise their faith and we commit to always defending that right. https://t.co/wO9J4JGVmu",RepArmstrongND
54,2022-01-13 20:57:52+00:00,1481732249037029381,"SCOTUS’s decision to block Biden’s unconstitutional vaccine mandate is a win for the Constitution, a win for the rule of law, and a win for all North Dakotans.",RepArmstrongND
55,2022-01-13 18:54:16+00:00,1481701147547209728,"and impose a one-size-fits-all-plan overseen by Washington bureaucrats. North Dakotans should run our own elections, not the federal government. The Democrats' overreach only serves to consolidate power in politicians' hands and further erode confidence in our electoral process.",RepArmstrongND
56,2022-01-13 18:54:16+00:00,1481701146335002626,"Democrats in Congress are making a blatant attempt to nationalize our elections and take power away from the states. Their proposal would limit states like North Dakota from implementing commonsense voter I.D. laws, funnel taxpayer dollars to political campaigns",RepArmstrongND
57,2022-01-12 16:33:29+00:00,1481303329875578884,"Another CPI report confirms what the American people are painfully aware of. Consumers are paying more for everything from groceries to energy because of the Biden admin's reckless spending and policies.

https://t.co/t9hm5iJTV7",RepArmstrongND
58,2022-01-11 18:10:51+00:00,1480965444043423748,"The Biden admin’s inability to secure our southern border threatens the safety of our communities and the law enforcement officers protecting them.

It is time to get our border under control and stop the flow of fentanyl and other illicit drugs into our country. https://t.co/g1RrurOHZB",RepArmstrongND
59,2022-01-10 20:56:37+00:00,1480644774482911233,"Chet Pollert is an excellent leader and advocate for North Dakota. I hope he enjoys his well earned retirement and is able to spend more time traveling the country on his motorcycle with his family.

https://t.co/A6Ywvk5Ldt",RepArmstrongND
60,2022-01-09 17:35:30+00:00,1480231771325276170,Our country’s law enforcement officers work hard every day to protect our communities. We are grateful for their service. #LawEnforcementAppreciationDay https://t.co/Aw0ITorgnk,RepArmstrongND
61,2022-01-07 20:51:43+00:00,1479556377131556868,Game on! https://t.co/MTjkn1XCy8,RepArmstrongND
62,2022-01-07 19:59:45+00:00,1479543297630683138,I’ll be cheering for @NDSUfootball tomorrow as they take on the Montana State Bobcats. @RepRosendale and I made a bet that the loser will host the winner at a hunt. I have no doubt he will be hosting me in Montana because the Bison are going to win their 17th championship. 🤘 https://t.co/UnuOW09cHb,RepArmstrongND
63,2022-01-06 19:50:29+00:00,1479178577568481286,"This is good news for North Dakota and Minnesota. Coal Creek Station provides reliable baseload power and employs hundreds of people in our state. I am glad it will continue to do so.

https://t.co/rQa6Nb9UzW",RepArmstrongND
64,2022-01-05 19:44:17+00:00,1478814630772453376,It is an honor to represent North Dakota in the U.S. House. My office and I worked with thousands of North Dakotans in 2021 and I look forward to communicating with and helping many more in 2022. https://t.co/jhzMNAuBIU,RepArmstrongND
65,2022-01-03 21:07:52+00:00,1478110888511127554,"I joined this effort to stop the Biden administration's vaccine mandate. The decision to get a vaccine should be made by individual Americans in consultation with their doctors, not by politicians.

https://t.co/qAyVjggRQy",RepArmstrongND
66,2022-01-01 14:57:55+00:00,1477293012636028930,Happy New Year! #2022NewYear https://t.co/LOeks7xAsU,RepArmstrongND
67,2021-12-25 14:11:54+00:00,1474744716944199689,"From the Armstrong family to yours, Merry Christmas. https://t.co/IKE0Bl1ooN",RepArmstrongND
68,2021-12-23 18:30:16+00:00,1474084961649143811,"I am saddened to hear about George’s passing. He was a fantastic legislator and a good friend. My heart hurts for Kathy and the rest of his family. Godspeed my friend.

https://t.co/AuWsS0RNC6",RepArmstrongND
69,2021-12-22 21:19:59+00:00,1473765283898744838,Everyone released still has to comply with the terms of their release. This is smart criminal justice. Returning them to prison serves no public safety interest. It makes no sense to reincarcerate people and break up families.,RepArmstrongND
70,2021-12-22 21:19:59+00:00,1473765282359525377,"This is a smart decision by @TheJusticeDept. Under the CARES Act, certain federal inmates were allowed to transition to home confinement due to the pandemic. They are non-violent offenders, many of whom have now been released for more than a year. 
https://t.co/uiinb7MX9x",RepArmstrongND
71,2021-12-20 19:47:16+00:00,1473017175627735056,"States like North Dakota are best equipped to implement policies that keep our air and water clean, not the federal government. I am hopeful the U.S. Supreme Court will agree.",RepArmstrongND
72,2021-12-20 19:47:15+00:00,1473017172293267467,"The Clean Power Plan would be expensive for consumers, hostile to America’s energy producers, and undermine reliable baseload power.

https://t.co/jaOtqOJXYP",RepArmstrongND
73,2021-12-19 14:55:25+00:00,1472581340960800770,"Wayne Stenehjem has dedicated decades of his life to serving North Dakotans. His work on improving safety, states’ rights, and his many years as North Dakota’s top law enforcement officer have been invaluable. I am proud to call him my friend and I wish him the best. https://t.co/uolqdgKsoc",RepArmstrongND
74,2021-12-18 12:58:00+00:00,1472189402738798595,"Today is National Wreaths Across America Day, where wreaths are placed around the nation to honor the men and women who have served in our armed forces. We must never forget that their sacrifices help ensure we are able to gather with our loved ones around the holiday season. https://t.co/k8vHNx3aQ3",RepArmstrongND
75,2021-12-17 14:28:03+00:00,1471849676894842886,"Today is Joe’s last day interning in my DC office. 

I appreciate everything he has done to help me represent North Dakotans, and I wish him well on his future endeavors. https://t.co/uwzSTgElX8",RepArmstrongND
76,2021-12-16 19:24:26+00:00,1471561878073753609,"I am glad to see this legislation become law to honor the 13 servicemembers who gave their lives in Afghanistan this August.

We must never forget them and every one of our American heroes who has made the ultimate sacrifice. https://t.co/PXWg2KYMK6",RepArmstrongND
77,2021-12-15 19:53:48+00:00,1471206879124676608,I hope he enjoys some well-deserved downtime. He has most definitely earned it.,RepArmstrongND
78,2021-12-15 19:53:47+00:00,1471206877275037705,"Rich Wardner has been my teacher, coach, and leader in the North Dakota State Senate. He has been my mentor, colleague, and friend. ND is a better place because of his steadfast leadership. Dickinson would not be where it is today without his service.

https://t.co/7mk1aPlp75",RepArmstrongND
79,2021-12-15 16:00:17+00:00,1471148115315105798,"I voted against raising the debt limit by $2.5 trillion, which pushes our national debt over $30 trillion.

The cycle of spending money we don’t have and saddling future generations of Americans with debt is unsustainable. It has to stop.",RepArmstrongND
80,2021-12-15 12:58:00+00:00,1471102239255273474,"On this day in 1791, the Bill of Rights became part of the U.S. Constitution. Please join me in celebrating the freedoms and liberties we enjoy in our country. https://t.co/Pp5CVwv70q",RepArmstrongND
81,2021-12-13 19:22:50+00:00,1470474309214867467,"Congratulations, Brigadier General Erickson! https://t.co/eY1pQxEFqo",RepArmstrongND
82,2021-12-13 12:58:00+00:00,1470377463339372547,Happy 385th birthday to the @NationalGuard! We are forever grateful to our guardsmen for their service and sacrifice on behalf of our nation. https://t.co/C0ugf5RRiC,RepArmstrongND
83,2021-12-10 15:06:30+00:00,1469322639894274061,"Rising costs are hitting every American in a real, painful way.

Yet, Democrats continue to recklessly push through trillions in spending that will worsen this crisis. https://t.co/V6LH00DvIj",RepArmstrongND
84,2021-12-10 14:51:03+00:00,1469318750243545099,"Joined my friend @RepDougCollins this week on his new podcast. We talked about everything from criminal justice reform to the best hunting spots in North Dakota.

Listen below!

https://t.co/T3IagjkVAV",RepArmstrongND
85,2021-12-09 14:08:05+00:00,1468945550410231812,@RepDougCollins Thanks for having me @RepDougCollins!,RepArmstrongND
86,2021-12-08 22:38:53+00:00,1468711709376491533,Thank you to the @FMWFChamber for having @SenJohnHoeven and me join its members today for a discussion about issues affecting North Dakota's farmers and ranchers. It is my honor to advocate for them while they work hard to feed and fuel the world. https://t.co/VNeoGDbrfq,RepArmstrongND
87,2021-12-08 18:05:31+00:00,1468642913139798016,I am proud to cosponsor the HALT Fentanyl Act with @boblatta &amp; @RepMGriffith. This bill will permanently schedule fentanyl analogs and provide additional tools to help solve this crisis affecting all Americans. https://t.co/VMUKO9kS1Q,RepArmstrongND
88,2021-12-07 12:58:00+00:00,1468203136187727872,"On December 7th, 1941, 2,403 Americans were killed and 1,178 were wounded in the surprise attack on Pearl Harbor. We must never forget their commitments to and sacrifices for the freedoms and liberties we enjoy in our country. https://t.co/Nsf87Rz5Sv",RepArmstrongND
89,2021-12-06 19:34:37+00:00,1467940559847366670,"Happy #NationalMinersDay to every miner in North Dakota. With the cold temperatures across our state today, we are especially grateful to our coal miners who are working hard to heat and power our homes. https://t.co/jpxmXFcOSR",RepArmstrongND
90,2021-12-05 18:14:51+00:00,1467558098034257920,"Senator Bob Dole was a patriot who dedicated his life to serving our country. 

America is better off because of his service on the battlefield and his lifelong commitment to the ideals of our nation.

https://t.co/x7j1BUOK9T",RepArmstrongND
91,2021-12-04 05:43:27+00:00,1467006614003765248,Congratulations Rod. https://t.co/9FaGyllEXp,RepArmstrongND
92,2021-12-01 18:47:14+00:00,1466116696628940815,.@SenJohnHoeven and I welcomed @NDNationalGuard leaders to Washington this week. I am honored to represent the brave North Dakotans who serve our country in the armed forces. https://t.co/WOgreIzKSy,RepArmstrongND
93,2021-12-01 15:31:44+00:00,1466067498122493957,"We must empower energy producers in North Dakota and around the country to provide baseload power to millions of Americans, not burden them with more regulations and red tape that do nothing to make our air and water cleaner.",RepArmstrongND
94,2021-12-01 15:31:44+00:00,1466067496826515456,"The supply chain crisis brought on by the Biden administration’s failed policies is causing shortages across the economy, including resources needed to meet our energy demands.

https://t.co/LhPHvQ0X44",RepArmstrongND
95,2021-11-30 21:35:45+00:00,1465796719556411392,Today I welcomed Mayor Brandon Bochenski and the team from @GrandForksCity to DC. I appreciated the great discussion about the many projects taking place in Grand Forks. https://t.co/EvjuCKX63k,RepArmstrongND
96,2021-11-28 22:25:03+00:00,1465084348143738886,"Tonight marks the beginning of #Hanukkah2021. To everyone celebrating, may your holiday be filled with peace and light. https://t.co/yuK2hvvsn6",RepArmstrongND
97,2021-11-27 15:22:28+00:00,1464615614367027204,"Whether you are in West Fargo, Cavalier, Beulah, or any community in North Dakota, make sure to support our small businesses today on #SmallBusinessSaturday.

https://t.co/nSDNHQgSwC",RepArmstrongND
98,2021-11-26 14:23:47+00:00,1464238456872345607,"From 2010 to 2020, North Dakota had the 4th highest growth rate in the nation by percentage, growing by 15.8%. We are proud to support jobs and opportunities in the oil patch and in communities across our state.

https://t.co/m6gRCga1Oj",RepArmstrongND
99,2021-11-26 00:46:40+00:00,1464032825447964672,Get well soon Chairman Azure. https://t.co/T5cUQs2PzI,RepArmstrongND
100,2021-11-25 15:19:39+00:00,1463890131799228421,Happy Thanksgiving to all North Dakotans. I hope you and your loved ones can spend some time together today and I wish you safe travels. https://t.co/YZ881vWrHz,RepArmstrongND
