,Datetime,Tweet Id,Text,Username
0,2022-02-23 19:58:04+00:00,1496575104402300932,"I strongly condemn the racist and antisemitic graffiti spray painted across homes and cars in Folsom. 

#CA07 is a community of diversity and inclusion, not hate and vandalism.

https://t.co/7OoZFhAHS6",RepBera
1,2022-02-23 19:18:39+00:00,1496565184021807111,"As an internal medicine physician and the former chief medical officer for Sacramento County, I believe it's time we declare an end to the #COVID19 pandemic.

We must learn how to manage COVID and live with it as we have with other respiratory pathogens.

https://t.co/c9LsZSRkTH",RepBera
2,2022-02-22 15:40:08+00:00,1496147807069261834,"3.7 million American children are now in poverty since the expanded #ChildTaxCredit expired at the end of 2021.

We must invest in our families by renewing this historic tax cut.

https://t.co/wfoZfg7MGY",RepBera
3,2022-02-18 20:10:41+00:00,1494766337838751750,"Speaking live with @world_affairs and @RaySuarezNews on pressing global security challenges, including Russia’s increased aggression towards Ukraine and how we can combat China’s growing economic coercion. https://t.co/tjEIMzIvhc",RepBera
4,2022-02-18 15:07:41+00:00,1494690086063161346,"Manufacturing jobs are the backbone of the American economy and infrastructure.

In 2019, California added just 600 manufacturing jobs. In 2021, California added over 32,600.

We are building back better.",RepBera
5,2022-02-17 20:58:21+00:00,1494415949520322566,"Great to meet w/ @CityofCHeights leaders to discuss the $15 million in relief I helped secure for the city in the #AmericanRescuePlan.

Because of this funding, Citrus Heights has hired 22 police officers, increased homeless programs, and extended grants for our small businesses. https://t.co/LMPySUUPl4",RepBera
6,2022-02-17 19:22:52+00:00,1494391917601247232,My message to the people of #Burma at today’s @HouseForeign hearing: The United States stands united in support of you and your aspirations for your democracy. https://t.co/d51whAbH85,RepBera
7,2022-02-17 15:22:34+00:00,1494331446604926990,"I’m chairing a @HouseForeign hearing to examine U.S. policy towards Burma and how Congress can continue to support the democratic aspirations of the Burmese people one year after the military coup.

WATCH:
https://t.co/XqeqOYXAW9",RepBera
8,2022-02-16 19:51:19+00:00,1494036691723735045,"NEWS: today we learned that retail sales increased by 3.8%, far exceeding expectations. 📈

Jobs and economic growth are making a strong comeback thanks to the historic actions taken by @POTUS and Congressional Democrats.

https://t.co/AofXkBovPi",RepBera
9,2022-02-16 16:34:33+00:00,1493987173800030209,"#CA07 residents may be eligible to receive up to a $30/month discount on their internet bill thanks to the Bipartisan Infrastructure Law.

💻Be sure to check your eligibility and enroll today: https://t.co/VciOvkNgrJ",RepBera
10,2022-02-15 20:51:19+00:00,1493689400793964545,"I applaud @SecBlinken for his decision to open an Embassy in the #SolomonIslands.

This news is a positive step forward in ensuring an expanded U.S. diplomatic and economic presence in the Pacific Islands, a measure @RepEdCase and I called for in the BLUE Pacific Act. https://t.co/6kO94yj3g6",RepBera
11,2022-02-15 19:08:22+00:00,1493663492116729863,"⚡️🚘Thanks to the Bipartisan Infrastructure Law, over $56.7 million is coming to California this year alone to help expand EV charging stations throughout #SacramentoCounty and the state.

https://t.co/mdXV0Dgepc",RepBera
12,2022-02-14 22:05:30+00:00,1493345681578283014,"Today, we remember the 17 students and staff who were killed in the Parkland shooting four years ago.

No family should have to fear dropping off their kids at school. It is long past time for common sense measures to #EndGunViolence.",RepBera
13,2022-02-14 19:48:24+00:00,1493311180311564288,"As we enter the third year of the pandemic, it’s time we acknowledge that COVID is here to stay. We must learn how to manage and live with it as we have with other respiratory pathogens.

We need to get our lives back. And we can.

My op-ed in @sacbee_news:https://t.co/8rc8zl9Mhe",RepBera
14,2022-02-11 21:36:52+00:00,1492251312670613505,"Congratulations to the Biden team for its thoughtful strategy to pursue a free, open, and prosperous Indo-Pacific. 

I look forward to working with the Administration to resource and implement this vision, and further restore American leadership in this vital region of the world. https://t.co/30SMPm1L59",RepBera
15,2022-02-11 19:25:55+00:00,1492218359877976066,"Child care is too expensive for families in #CA07 and in California, costing parents over $17k annually.

The #BuildBackBetter Act would expand child care to 2.2 million children in CA and ensure families pay no more than 7% of their income on child care.

https://t.co/04c3h6657L",RepBera
16,2022-02-10 19:43:44+00:00,1491860456176242698,"BIG NEWS! Thanks to the Bipartisan Infrastructure Law, #California will receive $56.7 million in 2022 to install EV charging stations along our roads and highways.🚘

⚡️#ElectrifyingAmerica will help us combat the growing climate crisis and create good-paying jobs at home. https://t.co/5KQY9XwjgD",RepBera
17,2022-02-09 19:13:42+00:00,1491490509969412097,"#SacramentoCounty residents and small businesses rely on the USPS to deliver life-saving medications, election ballots, bills, and much more.

I voted for the #PostalServiceReformAct to ensure the @USPS works better and more efficiently for #CA07.

https://t.co/QcQJXZTTgt",RepBera
18,2022-02-09 16:33:02+00:00,1491450074903498753,"I was proud to vote for the #AmericanRescuePlan, which will soon provide hazard pay to essential workers in #SacramentoCounty who kept our communities going during #COVID19, including our firefighters, police officers, nurses, and transportation workers.

https://t.co/XuWmYRTMIL",RepBera
19,2022-02-04 21:59:47+00:00,1489720364884189189,"Also included in the #COMPETESAct is my bipartisan and bicameral legislation that elevates Oceania in U.S. foreign policy - a region we share deep cultural, historical, and people-to-people ties with.

https://t.co/6XvKlvjta8",RepBera
20,2022-02-04 21:54:50+00:00,1489719121537384451,"It’s critical that we develop dynamic partnerships with our friends and allies in the Indo-Pacific.

My bipartisan ""Taiwan Fellowship Act"" develops tomorrow’s Taiwan experts in the U.S. government and better informs our foreign policy towards the region.

https://t.co/5gtu35Sgaa",RepBera
21,2022-02-04 21:38:16+00:00,1489714950293626885,"Beijing continues its relentless campaign to isolate #Taiwan from the world stage.

My “The Taiwan Peace and Stability Act"" strengthens our support for Taiwan and enhances deterrence over Beijing’s growing military provocations around Taiwan.

https://t.co/HqQ6EMDIb6",RepBera
22,2022-02-04 21:31:39+00:00,1489713287176634368,"Included is my bipartisan ""Countering China Economic Coercion Act.""

This bill creates an interagency task force to ensure the U.S. is better prepared to address China's harmful economic coercion that is regularly used against countries and companies.

https://t.co/ahH4Awlmrt",RepBera
23,2022-02-04 21:25:40+00:00,1489711780356145153,"Included in the #AmericaCOMPETES Act are several bills that I authored that will advance U.S. global leadership and competitiveness, while responding to pressing challenges we face abroad.",RepBera
24,2022-02-04 21:23:08+00:00,1489711140540194822,"The #AmericaCOMPETES Act strengthens American manufacturing and innovation here at home that will:

✅grow our economy
✅cut costs for Americans
✅fight inflation",RepBera
25,2022-02-04 21:19:47+00:00,1489710298680467469,"But we cannot stop here. 

As we emerge on the other side of this pandemic, we must take bold action to ease the global supply chain issues and global inflation that are causing rising costs on hard-working American families.",RepBera
26,2022-02-04 21:17:59+00:00,1489709847037812738,".@POTUS and Congressional Democrats have started us on the right path towards building back better with the passage of the #AmericanRescuePlan &amp; Bipartisan Infrastructure Law.

Thanks to these historic actions, our country has witnessed the greatest year of job growth in history.",RepBera
27,2022-02-04 21:14:45+00:00,1489709031044358172,"It is time for the U.S. to take the reins on global competition and innovation.

For too long, American workers and businesses have felt the burden of international competition that has only been worsened by the ongoing #COVID19 pandemic.",RepBera
28,2022-02-04 21:11:38+00:00,1489708248215310344,"The #AmericaCOMPETES Act will help fix our supply chain, turbocharge American scientific and technological leadership, and strengthen our global competitiveness.

I was proud to vote YES today to pass this important bill out of the House.✅ https://t.co/nYWDSTQrsA",RepBera
29,2022-02-04 15:37:54+00:00,1489624259592966148,"Great news this morning on the economy: 467,000 jobs were added in January, smashing expectations.

I'll keep pushing for sound policies that continue our historic economic recovery and job growth, while bringing down costs for hardworking #CA07 families.

https://t.co/qiiCMQMStV",RepBera
30,2022-02-04 14:16:53+00:00,1489603874856001542,"I'm with my @NewDemCoalition colleagues to urge the swift passage of the #AmericaCOMPETES Act, historic legislation that grows our economy and bolsters our global competitiveness.

Watch live 👇 https://t.co/cG0x9HAlZw",RepBera
31,2022-02-03 22:15:44+00:00,1489361991286329345,"I joined @FoxNews to discuss my recent trip to Brussels and Kyiv amid growing Russian aggression.

The United States stands firmly with the people of #Ukraine, and in support of Ukraine’s sovereignty and independence.

https://t.co/tOTaT8D5N7",RepBera
