,Datetime,Tweet Id,Text,Username
0,2022-02-23 00:03:02+00:00,1496274364446167042,$11.5 million from the USDA Rural Development is coming for several area projects. I will continue to be a strong advocate for investment in rural communities across NEPA as we work to grow our local economies and strengthen infrastructure. https://t.co/3epZoAMpYK,RepCartwright
1,2022-02-18 15:00:01+00:00,1494688158339973121,"I was deeply saddened to hear that TV anchor Keith Martin passed on earlier this week. He selflessly served his country and community, and we are all better for it. Marion’s and my thoughts and prayers are with his family and loved ones at this time. https://t.co/f6F7p1zSS8",RepCartwright
2,2022-02-17 16:30:00+00:00,1494348414049341442,The @HSLegFund has released their Humane Scorecard for 2021 – and I have received a perfect score of 100%. I will always continue to stand up for the humane treatment of animals and advocate for common-sense policies to protect animals from cruelty and abuse. #HumaneScorecard https://t.co/YXFrRHr8py,RepCartwright
3,2022-02-16 15:00:02+00:00,1493963387465879555,"Scranton-Lackawanna Head Start is receiving another $4.6 million! I applaud their dedication to enhancing the quality of life for families in NEPA. As a senior member of the Appropriations Committee, I will continue to fight for federal investments like this to come back to NEPA. https://t.co/TdMe0dGvhM",RepCartwright
4,2022-02-15 18:01:01+00:00,1493646542686896131,"With filing season in full swing, the IRS has reminded taxpayers about several key items to keep in mind when filing your federal income tax returns this year. Learn more here: https://t.co/m57lElWYgS",RepCartwright
5,2022-02-14 19:00:00+00:00,1493299001113792514,Nearly $245 million in funding is coming to PA this year for reclaiming AML sites. This funding from the Infrastructure Act brings us one step closer to cleaning up legacy pollution in our communities and paving the way for further economic development. https://t.co/mOPohxfo2t,RepCartwright
6,2022-02-12 22:00:00+00:00,1492619524348145664,The Postal Service Reform Act is a common-sense solution to ensure the USPS remains able to deliver the high-quality service Americans deserve. I was proud to vote yes on the Postal Service Reform Act when it came before the House on Tuesday. https://t.co/0rD29IraO9,RepCartwright
7,2022-02-11 22:00:00+00:00,1492257136918806536,"The USAF Heritage of America Concert Band will be performing in concert at 2 p.m. this Sunday, February 13th, at the Scranton Cultural Center. The concert is free and open to the public, but tickets are required. Learn more at https://t.co/inisZfeVsh",RepCartwright
8,2022-02-10 23:00:01+00:00,1491909852972519425,"The new Project PIVOT initiative was created by local partners along with funding from the federal CARES Act, which I was proud to fight for in Congress. I’m glad to see that funding serving our local workforce in NEPA.  https://t.co/qBcsXvOxkp",RepCartwright
9,2022-02-09 21:00:02+00:00,1491517266801967107,My office has received dozens of calls about issues people are having with postal service operations. I've been meeting with USPS regional managers to relay your concerns and will continue to fight for improvements in our area. File a USPS complaint at https://t.co/3kgoMDTw0Y https://t.co/fZIdeMVQhC,RepCartwright
10,2022-02-08 23:06:49+00:00,1491186787519467520,The Wayne County Commissioners are working to improve broadband service and best implement funds from the Infrastructure Investment and Jobs Act. Fill out their survey today to help improve local internet service! https://t.co/hSCPSYHX14,RepCartwright
11,2022-02-08 19:10:00+00:00,1491127188984242179,"During #SaferInternetDay, we must be clear-eyed about what social media companies are teaching our children.

I'm joining @RepSusanWild in calling on @YouTube to remove ""How To Tie a Noose"" videos, which could be the difference between life and death for kids considering suicide. https://t.co/KOxLQ0ZbgS",RepCartwright
12,2022-02-08 01:30:00+00:00,1490860431648309251,PA is ranked 2nd in the country for bridges in bad shape. The Infrastructure Investment and Jobs Act that I voted for will bring $1.64 billion in support back to the Commonwealth for the long overdue bridge repairs. https://t.co/gy6G7KBAAZ,RepCartwright
13,2022-02-06 21:00:00+00:00,1490430095298809857,"FREE COVID-19 vaccine clinic on February 8 from 2:45-4:30 p.m. at John F. Kennedy Elementary School in Scranton. To register, visit https://t.co/fT11xtLmMR",RepCartwright
14,2022-02-04 19:31:20+00:00,1489683007158034433,"Today I voted for the #AmericaCOMPETES Act to strengthen American manufacturing, fix our supply chains and keep America competitive against China. By investing in manufacturing here at home, we can fight rising prices, accelerate our economic recovery and create good paying jobs. https://t.co/zfIqXBdiGY",RepCartwright
15,2022-02-01 22:37:47+00:00,1488642766129319940,"As we celebrate #BlackHistoryMonth, we are reminded of America’s founding promise: we are all created equal. Let us recommit to the fight for equity, opportunity and dignity that all Black Americans deserve and celebrate the progress that has led us to this moment. https://t.co/I4N9q5Gi8v",RepCartwright
16,2022-01-31 19:27:01+00:00,1488232371254177793,"On this day in 1940, Ida May Fuller received the very first #SocialSecurity check. 82 years later, Social Security needs some improvements. I’m fighting to boost benefits and protect Social Security for years to come. #Secure2100 https://t.co/c778JoW9kD",RepCartwright
17,2022-01-30 23:54:11+00:00,1487937215535939584,"50 years ago, 26 unarmed civilians were shot by British soldiers during a protest against internment without trial in Northern Ireland. I was honored to join the Lackawanna County @hiberniandigest and @laohnational to recognize this somber occasion. https://t.co/yD9iUgXtAg",RepCartwright
18,2022-01-27 21:33:46+00:00,1486814714843832333,Never forget. #HolocaustRemembranceDay https://t.co/4rH3aa2e74,RepCartwright
19,2022-01-26 19:00:00+00:00,1486413631839428609,"Pennsylvania’s nurses may be eligible for up to $7,500 in student loan assistance through the PA Student Loan Relief for Nurses Program (SLRN). Download your application today at https://t.co/swlYQwf15L.",RepCartwright
20,2022-01-21 18:21:14+00:00,1484591936287690757,$11.9 million in Provider Relief Fund (PRF) payments are coming back to health care providers in NEPA! Learn more here: https://t.co/fm1cSqAivp,RepCartwright
21,2022-01-19 20:59:44+00:00,1483907049155141639,Get 4 free COVID-19 tests mailed directly to your house. Visit https://t.co/IR4JnZkkjZ today to order!,RepCartwright
22,2022-01-17 17:10:06+00:00,1483124482629849092,"Every year on this day, we come together to celebrate the work of Dr. King and reenergize ourselves for the continued fight against social injustice and inequality in our country. https://t.co/DY66vQdJGJ",RepCartwright
