,Datetime,Tweet Id,Text,Username
0,2022-02-23 18:17:56+00:00,1496549904348549123,"I’m proud to be a cosponsor on several bills that invest in our public schools, including the EDUCATORS for America Act, Rebuild America’s Schools Act, and the ESP Family Leave Act.",RepCasten
1,2022-02-23 18:17:56+00:00,1496549903262171138,"Public schools need our support more than ever as we fight COVID-19. That’s why the American Rescue Plan invested nearly $130 billion to help address the unprecedented challenges facing students, parents, educators, and communities.",RepCasten
2,2022-02-23 18:17:55+00:00,1496549899218956293,"All students deserve safe, welcoming, and well-funded public schools. This #PublicSchoolsWeek, we must recommit to investing in America’s students, teachers, and communities. https://t.co/bZW4xpEadC",RepCasten
3,2022-02-23 17:20:22+00:00,1496535416769593355,"This western drought is the worst since 800 A.D.

The  #ClimateCrisis is the single greatest threat to the future of our planet &amp; we're running out of time to turn things around. Our future depends on passing the #BuildBackBetter Act.

https://t.co/yZZjbLm97y",RepCasten
4,2022-02-23 16:46:32+00:00,1496526904421236736,Join TODAY at 2pm! Register at the link below. https://t.co/MUK4J22dMO,RepCasten
5,2022-02-22 22:44:21+00:00,1496254562147213312,"This must end. 

I’m proud to introduce the Fair Calculations Act to outlaw disriminatory damage calculations in federal courts because all Americans deserve equal justice in our civil courts.",RepCasten
6,2022-02-22 22:43:36+00:00,1496254374330482689,"It is unacceptable that our courts award less in damages to women and people of color than white men in comparable civil cases.

In doing so, our courts are declaring that some Americans’ lives are worth less based on lifetime earning potential statistics born of racism &amp; sexism.",RepCasten
7,2022-02-22 22:41:48+00:00,1496253919474946057,"According to a study by @LawyersComm, courts often award women &amp; people of color significantly less than white men in comparable civil cases.

Today, I introduced a bill to outlaw discriminatory damage calculations in federal courts &amp; help make the legal system more just &amp; equal.",RepCasten
8,2022-02-22 21:51:39+00:00,1496241299690860546,Read our full release on the Digital Services Oversight and Safety Act (DSOSA) here! https://t.co/KoUAQL8fYV,RepCasten
9,2022-02-22 21:49:12+00:00,1496240685573410821,"Under this legislation, the new @FTC Bureau would issue and enforce comprehensive transparency and accessibility requirements, including: 

7/ https://t.co/58sMHMIUMc",RepCasten
10,2022-02-22 21:39:04+00:00,1496238133335232522,"The bureau within @FTC would employ at least 500 employees, including technologists, constitutional lawyers &amp; experts like child development specialists and statisticians with the expertise needed to equip federal agencies and lawmakers with evidence-based research.",RepCasten
11,2022-02-22 21:36:44+00:00,1496237548091412481,DSOSA changes that by creating the Bureau of Digital Services Oversight and Safety tasked with investigating systemic risks on online platforms and issuing transparency requirements and guidance on content neutral safety processes and design features. 5/,RepCasten
12,2022-02-22 21:35:50+00:00,1496237318671409152,"What’s become clearer than ever is that federal agencies and lawmakers lack the capacity necessary to truly understand these products’ safety processes and design features, which limits their ability to create clear content-neutral “seat belt” or “speed bump” regulations. 4/",RepCasten
13,2022-02-22 21:35:08+00:00,1496237142183395339,"While almost every other consumer product has safety standards, online platforms have evolved at warp speed with minimal federal oversight. 

The result has been rampant abuses that harm consumers and are often met with little to no consequences. 3/",RepCasten
14,2022-02-22 21:34:20+00:00,1496236940940787717,"In 2019, I questioned Zuckerberg on Facebook’s policies around vaccine misinformation &amp; neonazi hate speech.

Thanks to whistleblowers like Francis Haugen, we now know that Facebook &amp; other social media companies’ promises to protect users’ safety should NEVER have been trusted. https://t.co/Qr77lwUHSC",RepCasten
15,2022-02-22 21:32:28+00:00,1496236474047606787,"NEW: @RepLoriTrahan, @RepAdamSchiff and I unveiled comprehensive transparency legislation to establish a Bureau of Digital Services Oversight &amp; Safety at @FTC to hold powerful online companies accountable for the promises they make to users, parents, advertisers &amp; enforcers.🧵 https://t.co/EKHhfn3rut",RepCasten
