,Datetime,Tweet Id,Text,Username
0,2022-02-23 18:00:00+00:00,1496545392841748483,"Airlines were some of the hardest hit by COVID. As a member of the Transportation Committee, I'm committed to ensuring pilots &amp; flight crew have resources to safely do their jobs. Great to meet w/ @CAPApilots to discuss how I can continue to help our pilots and airline workers. https://t.co/4a2mcEvKJS",RepColinAllred
1,2022-02-23 17:07:54+00:00,1496532280910782472,I am live with @EDFAction to talk about the Bipartisan Infrastructure Law and how it will help Texas lead the way on clean energy. Watch now: https://t.co/pFP6qJVTHz,RepColinAllred
2,2022-02-23 15:28:10+00:00,1496507180731752456,"Thanks to the leadership of @POTUS, our EU allies with the backing of Germany, will begin to move away from Russian energy dependence. This shift will give them the ability to better confront an increasingly dangerous Russia. https://t.co/C3z6skZHXS",RepColinAllred
3,2022-02-23 00:00:01+00:00,1496273604480147456,"A Russian invasion of Ukraine would break the post-WWII peace that NATO was created to protect. If Putin is successful, we will see authoritarianism spread in Europe and around the world.

We must remain united with our allies to stop him. https://t.co/EJ4jRaxGTJ",RepColinAllred
4,2022-02-22 22:04:40+00:00,1496244576922783747,"Putin’s illegal actions against Ukraine will not be tolerated. That's why @POTUS is imposing this first round of sanctions, and continuing to work to keep our allies united by pursuing every economic and diplomatic tool to deter Russia’s aggression. https://t.co/FEWYPmYOXS",RepColinAllred
5,2022-02-22 17:39:35+00:00,1496177864441483266,"The Biden Administration is pursuing every diplomatic avenue it can to convince Russia to deescalate tensions and avoid a catastrophic conflict. The U.S. and our allies remain united, and will further pursue swift and severe sanctions if necessary. https://t.co/iPMQcI8lVh",RepColinAllred
6,2022-02-21 23:21:47+00:00,1495901593908260864,"It is horrifying to see these anti Semitic flyers in North Texas.  Our Jewish neighbors and friends deserve to live in our community without fear. We must confront this bigotry and hate, and root it out. https://t.co/E7dNDAMe3w",RepColinAllred
7,2022-02-21 19:03:21+00:00,1495836559731568644,"If Russia recognizes these two regions, it will be in direct violation of the Minsk Agreements, international law and direct warnings from the US. We must now work with our allies to deter and punish Putin for this illegal act. https://t.co/OBIlH2J4NK",RepColinAllred
8,2022-02-21 15:39:57+00:00,1495785369308217347,"If Russia invades Ukraine, it could create supply chain disruptions and higher costs for Texans. It’s why the U.S. will continue to work with our allies to deter Russian aggression and respond swiftly and severely. https://t.co/e15D8mK4RY",RepColinAllred
9,2022-02-21 14:00:01+00:00,1495760220479537152,"Today we celebrate the birthday of our nation’s first president, George Washington, and honor our nation's Presidents who have worked to uphold our democracy and protect and defend our Constitution. #PresidentsDay https://t.co/jyAizXkvXG",RepColinAllred
10,2022-02-20 16:54:51+00:00,1495441833232580610,".@POTUS’s transparency about Russia’s plans has denied Russia the ability to use misinformation as a pretext to invade Ukraine. By doing so, he’s also denied Putin any international legitimacy and helped unite our allies to respond. https://t.co/r5GMHuuu9J",RepColinAllred
11,2022-02-19 18:10:49+00:00,1495098561050120198,"It is because of those that became before, that folks like me could achieve their version of the American dream. During #BlackHistoryMonth, we celebrate those stories, learn from our history and continue the work to make sure every person, no matter their skin color, can succeed. https://t.co/4o1NBeFTSr",RepColinAllred
12,2022-02-19 15:00:01+00:00,1495050545530388489,"Once again we see the cruelty of Putin's Russia, and it’s why I have joined bipartisan efforts calling for the release of Trevor Reed. This injustice must end. 
https://t.co/2WTWgMZMQg",RepColinAllred
13,2022-02-18 18:00:01+00:00,1494733456521244674,"There is an autocratic wave sweeping the world, and as the world saw on Jan. 6, 2021, we are not immune in the United States. It’s up to us to reject authoritarianism and protect democracy in Ukraine and here at home.
https://t.co/TwZ0Er2zys",RepColinAllred
14,2022-02-18 16:01:12+00:00,1494703557030948865,"As @SecBlinken said yesterday, Russia’s attack will likely begin with a pretext like this one. @POTUS has successfully denied Putin any chance of international legitimacy by being radically transparent about what we know &amp; countering Russian misinformation.https://t.co/vKHDXOkQbp",RepColinAllred
15,2022-02-17 22:00:00+00:00,1494431462178885634,"I am so proud to again receive a 100% on the @HSLegFund’s Humane Scorecard. Treating animals with dignity is a bipartisan issue. As a dog lover, I know how important it is that we protect animals and I’ll continue to work in Congress to do just that. https://t.co/tvMvCYSgIv",RepColinAllred
16,2022-02-17 18:37:31+00:00,1494380504568766472,"It’s a shame that voters like Ms. Gaskin, who have voted for decades, are getting their applications rejected due to the Texas voter suppression law.
 
Ms. Gaskin is a hero, and the fight for voting rights continues. I’ll do all I can in Congress to uphold this sacred right. https://t.co/kXugXxB00Q",RepColinAllred
17,2022-02-17 15:17:01+00:00,1494330047481532427,"Tax season has begun and my office is just a phone call away at 972-972-7949 if you need assistance. You can also check out these tips for those who received child tax credits, unemployment benefits, or are seeking their recovery rebate credit: https://t.co/KvGAmN7Xs0",RepColinAllred
18,2022-02-16 20:04:11+00:00,1494039926932918280,"Our economy has improved a lot since the pandemic started one of the worst recessions ever. We need a public servant qualified to continue to lead this recovery and fight inflation, and Dr. Lisa Cook is that candidate. I join @TheBlackCaucus in calling for her swift confirmation.",RepColinAllred
19,2022-02-16 18:29:35+00:00,1494016123406360581,It is paramount that we as a Congress work together in a bipartisan way to counter Russia’s aggression. A united front is the only way we can bring peace to the region and I remain committed to working with my colleagues to achieve this. https://t.co/8jwyyl5AzM,RepColinAllred
20,2022-02-16 15:01:35+00:00,1493963777615843332,"My visits to Ukraine and Taiwan were eye-opening. Facing authoritarian powers trying to usurp their democratically elected governments, they are fighting back. The U.S. must stay dedicated to protecting democracy, including our own.

My @dallasnews op-ed. https://t.co/TwZ0Er2zys",RepColinAllred
21,2022-02-15 22:00:19+00:00,1493706765850054662,"From transportation to water infrastructure, broadband and climate resilience, the Bipartisan Infrastructure Law will make a difference for North Texans. That’s why I worked to pass this legislation and I will work with local leaders so it is implemented.
https://t.co/T2CVjPpFpa",RepColinAllred
22,2022-02-15 19:13:39+00:00,1493664824345116678,"I voted for the Bipartisan Infrastructure Law to modernize our infrastructure and help our economy grow. These funds will help Texas create a reliable charging station network, which means cleaner options for Texas drivers and helping our state lead the way in electric vehicles. https://t.co/VcbyvBWsow",RepColinAllred
23,2022-02-15 00:00:01+00:00,1493374500305522689,"Our small businesses are the foundation of our communities, and I’ve worked to deliver relief to keep businesses open and folks employed. The work to help them recover is not done yet, but I’m glad that @SBAIsabel and I were able to visit some last week to hear their stories. https://t.co/2ArMR8XpKd",RepColinAllred
24,2022-02-14 21:06:47+00:00,1493330904500129793,Our veterans deserve our appreciation and gratitude for their service to our country. Thank you to all the North Texas students who submitted hundreds of valentines that my team distributed to our local veterans today at the Garland VA @VANorthTexas and @UTDallasVeteran. https://t.co/4SriGgU6MB,RepColinAllred
25,2022-02-14 19:31:16+00:00,1493306866859925504,"Today marks the 4th anniversary of the tragic Parkland shooting. As a father and the son of a teacher, I remain committed to working in Congress to pass common-sense, bipartisan reforms to keep our communities safe and work so this never happens again.",RepColinAllred
26,2022-02-14 15:35:08+00:00,1493247442556440580,"This investment is a huge step toward positioning Texas and our nation to lead the world on EVs, paving the way for cleaner options for drivers and creating jobs. Looking forward to working with local leaders to put this money to work. #ElectrifyingAmerica
https://t.co/QovC3XIwCP",RepColinAllred
27,2022-02-13 15:38:50+00:00,1492885985213964291,Our work to help small businesses is not done. I know many workers are still out of work. Restaurants and venues are still feeling the pain. That’s why it was critical @SBAIsabel and I heard these stories from North Texans. I look forward to continuing to help them in Congress. https://t.co/CEyBipOuM9,RepColinAllred
28,2022-02-12 18:00:00+00:00,1492559125544411147,"From improving infrastructure to protecting places of worship, it’s important we come together to deliver real results. Thanks AJC Dallas for awarding me the Community of Conscience Bipartisanship Award. https://t.co/4hKSJHcPTY",RepColinAllred
29,2022-02-12 15:00:02+00:00,1492513833411301382,"Today we celebrate the 113th year anniversary of the founding of the @NAACP. Since 1909, the organization has advocated for equality and equity for African-Americans. I join North Texans in celebrating their work and remembering that the fight continues.",RepColinAllred
30,2022-02-11 21:18:52+00:00,1492246782897762304,"The eyes of the world are on Moscow today as a murderous dictator decides his next step. If Mr. Putin does invade Ukraine, his country will become an international pariah, his already weak economy will be crippled, and he will not find a people willing to bend to his will.",RepColinAllred
31,2022-02-11 19:35:26+00:00,1492220751981785093,Thank you to @SBAIsabel for joining me today to visit some of North Texas’ small businesses. It was important for us to hear these stories today so we can continue the work to recover from this pandemic. https://t.co/WocTjE84K9,RepColinAllred
32,2022-02-11 18:00:04+00:00,1492196754099421186,"Due to COVID, businesses were forced to adapt. It's why I pushed for the Paycheck Protection Program and Restaurant Revitalization Fund. Today @SBAIsabel and I met with La La Land Kind Cafe, Village Baking Co. and Alamo Club in Lower Greenville to discuss these vital programs. https://t.co/6IVzThRDO0",RepColinAllred
33,2022-02-11 16:53:18+00:00,1492179951172435971,"Thanks to the Shuttered Venues Grant program, $96 million was distributed all over #TX32, including to the Richardson Symphony Orchestra. @SBAIsabel and I were able to learn how the program helped them, and how we can keep working to support these venues. https://t.co/NaYGTfahR7",RepColinAllred
34,2022-02-11 15:51:04+00:00,1492164292052979717,"Small businesses made sacrifices in the pandemic to keep our communities safe. That’s why I worked hard to re-invest in them and provide support.

Today I'm welcoming @SBAIsabel to meet with North Texas small businesses and discuss what we can do to help them thrive. https://t.co/7O6409FFcG",RepColinAllred
35,2022-02-10 14:30:00+00:00,1491781501213724675,"The US has a very special relationship w/ the UK &amp; as we work together for a more stable and secure world, it's critical we continue to strengthen these ties. As a member of @HouseForeign, I was proud to meet w/ Amb. @KarenPierceUK &amp; Minister @JamesCleverly at @UKinUSA this week. https://t.co/1F4DrPfKd8",RepColinAllred
36,2022-02-10 00:08:41+00:00,1491564742837739524,"So far the Bipartisan Infrastructure Law has delivered:
✈️ $80 million for Dallas-area airports
🚧 $107 million for bridge repair statewide
🚌 $58 million for transit in the Dallas region
 
And more on the way. With these investments, we are building a brighter future for Texas.",RepColinAllred
37,2022-02-09 21:01:23+00:00,1491517606473445396,"Taxpayer Assistance Centers are now available to help with filing and related questions &amp; issues. The Dallas Center will be open this Saturday, Feb. 12. To find out more about necessary documents, dates and assistance, visit: https://t.co/hfuXIlYwd2",RepColinAllred
38,2022-02-09 17:05:09+00:00,1491458156920455168,We're seeing an alarming trend of state-sanctioned hate and violence against the LGBTQI+ community around the world. The fight for equality cannot stop at our borders which is why I voted for the #GlobalRespectAct to sanction individuals and nations committing these abuses. https://t.co/KwROIsrCXt,RepColinAllred
39,2022-02-09 14:00:01+00:00,1491411567295954945,"Rabbi Cytron-Walker is right, after the attack on Beth Israel &amp; other places of worship across the country, it’s clear we ensure these places are safe. That’s why I led a bipartisan effort to increase security funds from FEMA to protect places of worship.
https://t.co/zp0HdHEtnt",RepColinAllred
40,2022-02-08 23:06:52+00:00,1491186799167033350,"The USPS is a foundational part of our economy &amp; impacts every aspect of American life. We must do all we can to strengthen it.

I've helped lead bipartisan legislation to strengthen USPS for generations to come &amp; I'm proud we passed the bipartisan #PostalServiceReformAct today.",RepColinAllred
