,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:02:03+00:00,1496576107235192836,New constituent Tyler Mosher is the daughter of Overland Park Police Officer Mike Mosher who was killed in the line of duty in May of 2020.  We discussed how to better support law enforcement and the families our fallen heroes leave behind. https://t.co/5Q6Je71Pdk,RepDonBacon
1,2022-02-23 16:03:23+00:00,1496516045460357120,"For African American History Month, I recognized Willie Barney for his work in the community and his heart for service. Willie was nominated by my selection board, which includes Thomas Warren, Terri Sanders, Marcus Bell and Eric Ewing.  Watch the speech https://t.co/Rl1aHI6ird https://t.co/EzyNkAwtr2",RepDonBacon
2,2022-02-23 14:03:10+00:00,1496485789080993795,#BlackHistoryMonth https://t.co/LcLvmXlQhw,RepDonBacon
3,2022-02-22 21:00:53+00:00,1496228526143455232,"Congratulations to Dennis Pate, President and CEO of the Henry Doorly Zoo on his retirement. For 13 years, he has made the zoo a staple in #NE02 and throughout Nebraska. We thank him for his service and wish him the best on his next endeavor. https://t.co/8pjn7KOtfX",RepDonBacon
4,2022-02-22 15:01:54+00:00,1496138183733616648,#BlackHistoryMonth https://t.co/zmOumJK9wW,RepDonBacon
5,2022-02-22 14:37:48+00:00,1496132116664487950,"Looking forward to a great day in district! We have seven different events, covering North, South, East and West of #NE02.",RepDonBacon
6,2022-02-22 13:01:11+00:00,1496107803764736011,"Congress has led the way pressing the Pentagon to make electronic warfare a priority. DoD continues to admire the problem but America’s adversaries are not waiting for us. It is time for action. #ElectronicWarfare #JEMSO @AOCrows
https://t.co/dQRZlNcCMC",RepDonBacon
7,2022-02-22 11:01:53+00:00,1496077782387933184,@DentonDanO @JJones6512 I look forward to debating it.,RepDonBacon
8,2022-02-22 00:14:17+00:00,1495914807316434946,@JJones6512 He’s been weak.,RepDonBacon
9,2022-02-21 23:43:32+00:00,1495907067533660160,"This Russian naked aggression against Ukraine is despicable &amp; the free world condemns Russia and its dictator Putin. The attack is unprovoked &amp; a war of choice, not necessity. The US and Biden must take the bully Russia seriously &amp; issue harsh sanctions. https://t.co/Ky4GyngFHo",RepDonBacon
10,2022-02-21 22:01:12+00:00,1495881315006259206,"A new Congressional report on the opioid crisis details that illegal fentanyl and similar synthetic opioids were the cause of the majority of drug overdose deaths in America from June 2020 to June 2021.
https://t.co/h4FB7ZCp16",RepDonBacon
11,2022-02-21 19:15:03+00:00,1495839504367816706,"Our nation’s firefighters, paramedics, and other rescue crews put their lives on the line and constantly expose themselves to toxic substances and deadly fumes. I stand with my @ProbSolveCaucus colleagues and will help get this bill over the finish line.
https://t.co/XyZJedzhoR",RepDonBacon
12,2022-02-21 16:03:28+00:00,1495791289987743759,"Today we celebrate our great American presidents for their leadership, strength, and service to our nation.

Happy #PresidentsDay! 🇺🇸 https://t.co/6rcbpbl81d",RepDonBacon
13,2022-02-21 14:03:52+00:00,1495761189661462531,#BlackHistoryMonth https://t.co/IyO0iRx3la,RepDonBacon
14,2022-02-21 13:41:07+00:00,1495755467271852039,"“Bacon, Bost, Newhouse cosponsor School Resource Officer Act.” 

We want our schools to be safe. 

 https://t.co/3YhG8Hii9P",RepDonBacon
15,2022-02-21 12:50:11+00:00,1495742649004875782,@TomDorwart1 You seem to be ignoring the record number of overdose deaths.,RepDonBacon
16,2022-02-21 12:48:31+00:00,1495742230203621376,@Chiefs15Patriot None of three became law because all different factions demanded 100%. I know we can do better here.,RepDonBacon
17,2022-02-21 00:15:02+00:00,1495552608735481857,"To stay updated with my office, sign up for our e-newsletter! https://t.co/LZdI8Xkapq https://t.co/rURyQOsSJm",RepDonBacon
18,2022-02-20 23:57:07+00:00,1495548097828634627,@Chiefs15Patriot I voted in support of three different border security bills… too many demanded 100% and they got 0%.,RepDonBacon
19,2022-02-20 21:00:30+00:00,1495503651724533760,"The President’s open border policies have allowed fentanyl to flow across our southern border and into our communities.

In 2021, enough fentanyl was confiscated by CBP to kill EVERY American nearly SEVEN TIMES over.

We must strengthen border security…not dismantle it. https://t.co/Ip3x3k3eYA",RepDonBacon
20,2022-02-20 15:01:00+00:00,1495413181459668996,#BlackHistoryMonth https://t.co/eiJNahvP24,RepDonBacon
21,2022-02-19 22:20:01+00:00,1495161276170973190,A new poll shows 69% of Americans think MORE police funding would decrease crime. We need stronger relationships between our communities &amp; LEOs. The denigrating of our police &amp; the rule of law over last 2 yrs has led to an unacceptable increase in violence https://t.co/0mE6a5bFJq,RepDonBacon
22,2022-02-19 19:00:42+00:00,1495111113989574658,The Holocaust was one of the worst crimes ever committed against mankind in the history of humanity. I was one of the leading members for the Never Again Education Act (now law) which incorporates Holocaust education into students' lesson plans. https://t.co/R4FuYxm4ve,RepDonBacon
23,2022-02-19 16:01:40+00:00,1495066059472265216,"Happy #FFAWeek! The future of our agriculture is critical to our food supply chain, our economy, and the need to protect and support farmers in Nebraska and across the country. @NationalFFA https://t.co/6T5yGIQHUp",RepDonBacon
24,2022-02-19 14:01:33+00:00,1495035833921028101,Great meeting with the Rwandan Ambassador. Strong and courageous leadership has led this country and its citizens from the brink of destruction in the 1990s to the precipice of greatness today. Thank you to the Nebraska National Guard for hosting us. https://t.co/KzPHKGuF47,RepDonBacon
25,2022-02-19 02:36:59+00:00,1494863554205339652,"I, along with the whole community, stand with Brad and Ann, and pray for healing and a quick recovery. Brad is a great leader in the Omaha community and has made a huge impact for so many. I am grateful for our friendship. https://t.co/yb62FqdXS9",RepDonBacon
26,2022-02-18 21:15:03+00:00,1494782537759141892,"Visited with the Sarpy County Treasurer, retired Air Force Chief Master Sgt. Trace Jones, who served with me in Germany in 2008. Glad to see him using those leadership skills to run a tight ship for the people of Sarpy County. https://t.co/iXJDNSnChP",RepDonBacon
27,2022-02-18 20:15:05+00:00,1494767446930173959,"Any agreement with Iran on its illicit nuclear program must be reviewed by Congress per the law. If this were a good deal, POTUS wouldn't be afraid to submit it for public debate. I signed a letter with my colleagues warning the Admin to reverse course. https://t.co/6heNmFn4lZ https://t.co/pyhmJBlycd",RepDonBacon
28,2022-02-18 18:47:29+00:00,1494745403627028486,@danheitz War has unanticipated consequences and Putin is acting very dangerously.,RepDonBacon
29,2022-02-18 18:25:00+00:00,1494739742620934148,"I do not believe we should send troops to fight for Ukraine, and they have not asked us to do so. However, it is in our interest to support #Ukraine with the anti-aircraft &amp; anti-ship weapons it needs to deter a bully like Putin and minimize the loss of precious Ukrainian lives. https://t.co/673EviiIFh",RepDonBacon
30,2022-02-18 16:23:50+00:00,1494709250580525063,"My heart hurts with the loss of a great friend, colleague, and American. Our condolences to Jim’s family and friends.

Proverbs says a good name is better than riches. Jim leaves behind a golden reputation and legacy. https://t.co/N4rcKTjUoY",RepDonBacon
31,2022-02-18 15:01:54+00:00,1494688631587586061,#BlackHistoryMonth https://t.co/fAjbFfYVJc,RepDonBacon
