,Datetime,Tweet Id,Text,Username
0,2022-02-11 23:52:56+00:00,1492285554662293506,"This week, the Biden-Harris Administration announced Texas will receive over $60M in FY22 to invest in Electric Vehicle (EV) charging infrastructure. The funding was made possible thanks to the Bipartisan Infrastructure Law that Congress passed last year. 🔋🚗 https://t.co/Lbfmsceikb",RepFilemonVela
1,2022-02-10 22:27:39+00:00,1491901704983519236,"Congratulations to @utrgv professor, Dr. Alexis Racelis, for being appointed to USDA’s newly established USDA Equity Commission – Agriculture Subcommittee! I wish Dr. Racelis the best in his new role! https://t.co/LQ5BnmsrSL",RepFilemonVela
2,2022-02-09 23:12:15+00:00,1491550539808751618,This week is National School Counseling Week. Join me in recognizing the amazing school counselors of #TX34 and the tremendous impact that they have on our students. Thank you for all that you do! https://t.co/1e0cUpOXxx,RepFilemonVela
3,2022-02-08 15:15:40+00:00,1491068217812721664,Full access to disease treatments is crucial and I encourage @CMSGov to ensure Medicare coverage for FDA-approved treatments for Alzheimer’s. #ENDALZ,RepFilemonVela
4,2022-02-07 15:24:00+00:00,1490707928835407875,"February is Black History Month. Join me in celebrating the accomplishments and contributions made by Black Americans for our great nation, especially in #TX34. May we continue to work together to fight for equality and justice for all. https://t.co/mMION52sNk",RepFilemonVela
5,2022-02-04 19:50:23+00:00,1489687799301390339,"No offense to Harvard and Yale, but as a University of Texas Law School graduate, never mind the 100s of other law schools in the US, the idea that 8 out of 9 Supreme Court Justices come from only two law schools is alarming. We need educational diversity on the Supreme Court!",RepFilemonVela
6,2022-02-03 00:27:05+00:00,1489032659288350724,"I worked hard to ensure that funding for the Gateway International Bridge was included in the Infrastructure &amp; Jobs Act. I am proud to say that my colleagues and I delivered, resulting in new jobs and infrastructure improvements both for #TX34 and #ForThePeople. https://t.co/XW3qqsxef4",RepFilemonVela
7,2022-01-17 15:31:57+00:00,1483099781773905926,"Today on Martin Luther King, Jr. Day, we honor the life and legacy of a leader who stood up for what was right. May we continue his vision and ensure his legacy is secure for EVERY American. https://t.co/pgDuWMb4P1",RepFilemonVela
8,2022-01-11 21:28:20+00:00,1481015141537878019,"I support HR1, the For The People Act, the most significant voting rights and democracy reform in more than half a century, because it will fight big money in politics, protect voting rights, end extreme partisan gerrymandering, and strengthen ethics in government. https://t.co/xk5mq302uP",RepFilemonVela
9,2022-01-07 23:26:54+00:00,1479595429088083973,I spoke with @JamalSimmons about his commitment to civil and immigrant rights. He’s an ally.  Right wingers who don’t care about us are the real problem not friends who make mistakes.,RepFilemonVela
10,2022-01-06 20:41:57+00:00,1479191528358690818,Let us remember the lives lost &amp; honor the heroes that fought to protect the lives at risk that day.,RepFilemonVela
11,2022-01-06 20:41:56+00:00,1479191526576164865,Today marks one year since the January 6th attack on the U.S. Capitol. The unfathomable acts of violence that threatened our democracy serve as a reminder of the division we must overcome. https://t.co/aRWBOizvJ7,RepFilemonVela
12,2021-12-25 17:56:01+00:00,1474801116575670273,Wishing everyone a very Merry Christmas! May your day be filled with laughter and cheer. https://t.co/oXolMopxqB,RepFilemonVela
13,2021-12-24 22:43:06+00:00,1474510975562829825,Wishing everyone a safe and happy Christmas Eve! May you all enjoy your time with your family and loved ones this evening. https://t.co/KnYDYU1reF,RepFilemonVela
14,2021-12-03 23:52:55+00:00,1466918400622575617,"Recently, I reintroduced the Protect Minority Student Borrowers Act, which would prohibit private education lenders from discriminating against applicants based on the institution of higher education they attend or previously attended.
https://t.co/HjkRLcGE7b https://t.co/CPiYh16pXh",RepFilemonVela
15,2021-11-28 23:48:40+00:00,1465105390190870531,"For those celebrating Hanukkah, we hope your nights are filled with warmth, light and time spent with friends and family. 
 
#HappyHanukkah. https://t.co/btM0P5ea8U",RepFilemonVela
16,2021-11-27 17:10:10+00:00,1464642719062581262,"Congratulations to Weslaco ISD Special Education teacher, Rey Banda, for winning two awards at the New York City Big Book Award for his children’s book “Bean Saves the Day”!

https://t.co/aB35v908VC",RepFilemonVela
17,2021-11-25 14:48:19+00:00,1463882245874331649,"Happy Thanksgiving, everyone!  We have much to be thankful for as we gather with friends and family.  I hope you enjoy a hearty meal as you spend time with your loved ones! https://t.co/hv6g5kDQOh",RepFilemonVela
18,2021-11-19 21:04:16+00:00,1461802528677498884,"This week, President Biden signed the bipartisan Infrastructure Investment and Jobs Act into law. This will fund critical infrastructure projects in TX34, including $133M for the Gateway International Bridge in Brownsville.  See how else Texans will benefit from this bill! https://t.co/7krXmMf5ut",RepFilemonVela
19,2021-11-14 18:22:40+00:00,1459949921562419210,"As we approach the holidays, it’s important that we continue to protect ourselves and our families from the virus. Click below to find out if you qualify to receive your COVID-19 booster shot and where to get it!  https://t.co/MDHVwooxb8",RepFilemonVela
20,2021-11-13 17:22:47+00:00,1459572463000506370,Thank you to @NASKPAO Executive Officer Cmdr. Joe O’Brien and Community Plans Liaison Officer Glenn Jones for providing Team Vela with a detailed tour of the base! https://t.co/8RwalZlFiw,RepFilemonVela
21,2021-11-11 15:18:09+00:00,1458816321500626951,"#VeteransDay is more than just a chance to say ""thank you.""
 
It’s a chance to recommit ourselves to ensuring veterans and their families have the resources they need to live meaningful lives long after they have hang up their uniform.
 
We will continue our work to do just that. https://t.co/2d3z5aLDpl",RepFilemonVela
22,2021-11-10 17:03:47+00:00,1458480519981715461,"In 2019, I helped secure a $700k grant from the EDA for Cameron County to develop the South Texas Eco-Tourism Center project in Laguna Vista. Team Vela visited with Commissioner David Garza to tour the facility that is in development.  More to come soon on this exciting project! https://t.co/H0cxXJyH3C",RepFilemonVela
23,2021-11-09 17:15:19+00:00,1458121033295216648,"Team Vela visited Space X in Brownsville, Texas this morning. Great to hear about the amazing things they are doing out there in our own backyard! https://t.co/TNktO3LHMC",RepFilemonVela
24,2021-11-06 15:36:50+00:00,1457009084964786180,This $1.2T bill will also fund critical infrastructure projects in #TX34 that will benefit our community and our nation and I am proud to have provided my support.,RepFilemonVela
25,2021-11-06 15:36:50+00:00,1457009083358269441,I voted to secure $133M for the much need modernization and expansion of Gateway International Bridge to bring good jobs to our local communities and boost the region’s economy. Improvements will also strengthen our national security and facilitate trade and travel.,RepFilemonVela
26,2021-11-05 19:43:52+00:00,1456708866499137541,It is time we bring BIF to a vote so that we can get critical infrastructure projects and jobs to our communities and build on our growing economy.,RepFilemonVela
27,2021-11-02 21:15:00+00:00,1455644635116843009,"The Hispanic community is powerful and resilient. This #DiaDeLosMuertos, we celebrate all the Hispanic men and women who have risked their lives to ensure our safety during the COVID-19 pandemic, especially to those in #TX34. https://t.co/a4JlfsKGH7",RepFilemonVela
28,2021-11-02 20:48:33+00:00,1455637979804880896,My thoughts are with Kingsville PD Officer Sherman Benys who was shot in the line of duty yesterday evening while responding to a domestic dispute. Thank you to the police officers that quickly provided aid to Officer Benys and I pray for his full recovery.,RepFilemonVela
29,2021-11-01 18:19:51+00:00,1455238168958152709,"Moving around often and being away from loved ones can be hard for military families.

During National Veterans and Military FamiliesMonth, we recognize the sacrifices these families make in service to our country.

To all military and veteran families: thank you. https://t.co/7V0vbkTVOQ",RepFilemonVela
30,2021-11-01 18:17:54+00:00,1455237678430031878,Congratulations to @TSC_Scorpions on celebrating their 95th Anniversary! Team Vela was in attendance at this weekend’s celebration where we presented them with a Congressional Record highlighting their outstanding work in the community! https://t.co/kFgsHwz0kw,RepFilemonVela
31,2021-10-31 15:02:50+00:00,1454826202716332032,Happy Halloween to all who celebrate! Have a fun and safe day with your family and friends! https://t.co/nhGDurcxe1,RepFilemonVela
32,2021-10-30 15:01:09+00:00,1454463391402274818,Good luck to the @TSC_Scorpions Men’s Soccer Team!  They will be competing in the National Intramural-Recreational Sports Association (NIRSA) Region IV Super Regional Soccer Championships today in Lubbock! We are rooting for you! https://t.co/0KSywyxLtG,RepFilemonVela
33,2021-10-29 21:28:00+00:00,1454198355240828932,"ATTENTION PARENTS: FDA has granted emergency authorization of the Pfizer vaccine for children ages 5-11. It is important to take the steps needed to protect our children, and we can do so with this lifesaving vaccine. https://t.co/6j0atzH9d5",RepFilemonVela
34,2021-10-29 21:05:39+00:00,1454192731308412934,"ATTENTION Residents of Cameron, Hidalgo and Willacy counties: Workforce Solutions is offering a Service Industry Recovery program to assist those with child care costs. https://t.co/yHvdrgOJ5z",RepFilemonVela
35,2021-10-26 22:38:59+00:00,1453129057315459072,Congratulations to @utrgv and @UTHealthRGV on the opening of their new Institute of Neuroscience! Team Vela joined them during today’s celebration at the ribbon cutting ceremony in Harlingen. This one of kind facility will focus on transforming brain health in the RGV. 👏🏽🧠,RepFilemonVela
36,2021-10-24 18:07:22+00:00,1452335927892791303,"Congratulations to RGV chef, Larry Delgado, for not only competing against famous chef, Bobby Flay, but winning! Way to represent South Texas! https://t.co/tHGkPobTEK",RepFilemonVela
37,2021-10-21 20:19:26+00:00,1451281997222060042,Latina workers keep our nation running during the pandemic – and they deserve better. Congress must close the racial and gender wealth gap. #LatinaEqualPayDay https://t.co/C7ux5EwvOm,RepFilemonVela
38,2021-10-20 21:09:36+00:00,1450932233632690181,"The FDA has announced the authorization of COVID-19 boosters from Moderna and Johnson &amp; Johnson. 💉
Those who qualify for a booster shot may receive a different brand of vaccine than their first and second dose. Click below to read more.

https://t.co/UptS4DbVd1",RepFilemonVela
39,2021-10-20 19:12:11+00:00,1450902684949786628,"The #FreedomToVote Act will:
    Ensure free and fair access to the ballot.
    Protect the integrity of our elections.
    Prohibit partisan gerrymandering.
    End the era of big money in our politics. https://t.co/STs1z9Gt1a",RepFilemonVela
40,2021-10-19 22:11:20+00:00,1450585384518393857,"Congratulations to #TX34 favorite barbecue spots for making Texas Monthly's Top 50 BBQ Joints!
 
🍖Vera's Backyard Bar-B-Que in Brownsville 
🍖 Teddy's Barbecue in Weslaco
🍖 Butter's BBQ in Mathis 
🍖Baker Boys BBQ in Gonzales
 
https://t.co/1Z6wUOoknq",RepFilemonVela
41,2021-10-19 19:35:25+00:00,1450546144623349761,No Social Security beneficiary should receive a monthly check below the poverty level after paying into this program their entire working lives. I support @RepJohnLarson's Social Security 2100: A Sacred Trust to enhance and expand benefits - a commonsense solution. https://t.co/OyrJz5Enfw,RepFilemonVela
42,2021-10-18 18:49:24+00:00,1450172175445528582,"Join me this week in celebrating the 49th anniversary of the #CleanWaterAct, which has protected America’s lakes, streams, wetlands, and tributaries from pollution. https://t.co/eyfyDHPFTa",RepFilemonVela
43,2021-10-11 14:55:05+00:00,1447576495430508549,Today we’re celebrating #IndigenousPeoplesDay by honoring their rich histories and traditions from across the country! https://t.co/ognvCjlBcW,RepFilemonVela
44,2021-10-08 22:39:49+00:00,1446606284011315200,"The COVID-19 vaccine is safe and the most effective way to prevent you and your loved ones from getting sick with COVID-19. Together, we can defeat the virus. To learn more about the COVID-19 vaccine, visit https://t.co/rJXabQ45Zs. #GetVaccinated https://t.co/VlE0WJvUxQ",RepFilemonVela
45,2021-10-05 23:15:00+00:00,1445527973679927307,"The U.S. Navy has chosen International Shipbreaking Ltd./EMR Brownsville to dismantle two decommissioned aircraft carriers. The two historic vessels are the USS Kitty Hawk (CVA-63), and the USS John F. Kennedy. Click below to read more! https://t.co/k2wWRWtOjB",RepFilemonVela
46,2021-10-05 21:38:29+00:00,1445503685614718978,"Proud to introduce the FARM Act with @SenTuberville and @RepRonnyJackson 

Our food systems are vital to our national security and we must be vigilant to preserve their integrity. 
https://t.co/ANYmAYRmhi",RepFilemonVela
47,2021-10-05 19:30:50+00:00,1445471561947881473,Thank you to Salvador J.Castillo for his dedication &amp; service as the CC VSO! Your service to the Veterans of Cameron County these past 11 years had an important impact on the community! Team Vela presented him with a US Flag &amp; certificate of appreciation for his amazing work. https://t.co/G65p1Yicj2,RepFilemonVela
48,2021-10-02 19:40:41+00:00,1444386877314899971,"@UTRGV has announced an expansion of their Tuition Advantage program to include eligible students with a family income of $100,000 or less and with unmet financial need. https://t.co/ibRyvKkC15",RepFilemonVela
49,2021-09-28 19:57:55+00:00,1442941663173754881,Congratulations to @VMHS_BISD for being recognized by https://t.co/VumG56aKeN for their College Success Gold Award! Their work in preparing their students to enroll and succeed in college has earned them another year of recognition! Keep up the great work! https://t.co/ME4O8LR5oZ,RepFilemonVela
50,2021-09-28 17:10:50+00:00,1442899616261804038,Today is #NationalVoterRegistrationDay! Registering to vote and updating your voter registration information are the first steps to making your voice heard in upcoming elections. Register to vote at https://t.co/IemLCYsVxd https://t.co/f5YfJVYV8o,RepFilemonVela
51,2021-09-27 19:00:31+00:00,1442564827478638593,"Congratulations to @utrgv for the opening of their Institute of Neuroscience! This new institute will focus on studies related to major neurological disorders as Alzheimer’s, which is a growing local and national health issue. Great work!  https://t.co/avNrMp1nSu",RepFilemonVela
52,2021-09-18 15:33:13+00:00,1439251170946596867,ATTENTION VETERANS: Looking for something fun to do this weekend? The @NatlParkService and @USFWS  offer FREE admission to Veterans and their families.  Click below to find out more information and a park near you!  https://t.co/1muCJVGkS2,RepFilemonVela
53,2021-09-17 20:07:56+00:00,1438957918498533382,"As we close out #SmallBusinessWeek, I want to thank our small business owners in TX-34 for all that you do for our communities.

I’m working hard to support you by advancing the #BuildBackBetter Act, which would provide a $25B investment in #SmallBiz. https://t.co/Y5TMAWWS8F",RepFilemonVela
54,2021-09-17 18:01:44+00:00,1438926157274042371,"Happy #ConstitutionDay! On this day in 1787, members of the Constitutional Convention signed the U.S. Constitution, which defines our Nation’s sacred laws and fundamental values.
 
Click below to find fun events highlighting this historic day! https://t.co/uqRol4w1Yj https://t.co/EnOL6IQSnH",RepFilemonVela
55,2021-09-15 15:57:52+00:00,1438170210045943814,"Families will see their September Child Tax Credit payments in their bank accounts today!

In #TX34, 179,000 children qualified for advance #ChildTaxCredit payments in August, according to data from @USTreasury. https://t.co/qGnHp1tK07",RepFilemonVela
56,2021-09-14 22:30:00+00:00,1437906504200380422,"Minority-owned businesses have been disproportionately impacted by this crisis. These entrepreneurs are responsible for a great deal of growth in #smallbiz and are vital to our communities, which is why I’m working to ensure underserved firms have the resources they need.",RepFilemonVela
57,2021-09-14 21:13:36+00:00,1437887278530052096,"From the first flight through the skies to the first steps on the moon, the #aerospace &amp; #defense industry has transformed the way we live, connect and explore. Join me in celebrating National Aerospace Week this week! #AeroWeek https://t.co/MWauZWUhgS",RepFilemonVela
58,2021-09-11 13:52:40+00:00,1436689149025787909,I want to also thank our brave servicemembers that served in Afghanistan as the U.S. responded to these terrorist attacks. Your duty to our country will never be forgotten. I salute you and thank you for your service to our nation.,RepFilemonVela
