,Datetime,Tweet Id,Text,Username
0,2022-02-23 02:05:30+00:00,1496305185811013635,"I signed @approject’s Big Family Pledge &amp; here is why: it commits to defending girls’ sports by prohibiting biological males from participating, protects children from experimental gender transition procedures, the harmful teachings of CRT, &amp; pornography. https://t.co/MAPXGciEcW",RepGosar
1,2022-02-22 18:09:53+00:00,1496185490185273346,"Had Gov. Ducey done his job and protected the border &amp; committed to finishing the wall, Arizona could get the unfinished wall materials. Instead those materials are being sent from our desert to Texas, which has a governor willing to protect his  state. 

https://t.co/FgKACZl5ts",RepGosar
2,2022-02-21 21:42:18+00:00,1495876559126806528,🪨Mineral Monday🪨 Today we discuss the Federal Government’s latest assault on American citizens - the EPA. Watch to hear the case of an Idaho couple who’ve been in a 15-year battle with the EPA over plans to build a home on their residential lot that the EPA claims is a wetland. https://t.co/4uItfTfZZU,RepGosar
3,2022-02-21 20:16:33+00:00,1495854981014040580,Happy Presidents Day! You know who you are! 🇺🇸 https://t.co/wEbPfHzylt,RepGosar
4,2022-02-21 13:09:37+00:00,1495747536941899777,"“We must also stop the definition creep around “terrorism,” a term whose use has become so elastic that it now even includes angry moms fighting school boards.” -@DavidSacks 

https://t.co/PpiITURYtA",RepGosar
5,2022-02-20 00:41:44+00:00,1495196941679939584,The guy that took a knee against police brutality is completely fine with his own police trampling grandmas and disabled people.,RepGosar
6,2022-02-19 17:55:30+00:00,1495094707470299136,"🚨Gosar Minute🚨Welcome to 2021 where Biden’s woke State Department announced a major passport policy change. Applicants who identify with a third gender option will have their passport marked with an “X” standing for non-binary, intersex, &amp; gender non-conforming U.S. citizens. https://t.co/Siza1H83Zf",RepGosar
7,2022-02-19 16:49:55+00:00,1495078204951842817,https://t.co/Q6vyXRaJ0E,RepGosar
8,2022-02-18 21:17:53+00:00,1494783250413146112,We should just call ourselves Ukraine and then maybe we can get NATO to engage and protect our border.,RepGosar
9,2022-02-18 18:09:19+00:00,1494735797735460865,"🚨Gosar Minute🚨 Our country is facing a national shortage in blood supply due the COVID-19 pandemic.
Without a large enough supply, patients may not be able to get the life-saving blood transfusions needed to survive. Please find a blood drive and help save lives! @gopdoccaucus https://t.co/CKlyJp0QjS",RepGosar
10,2022-02-18 00:58:17+00:00,1494476331005792257,It’s not the responsibility of children to protect adults. It’s the other way around.,RepGosar
11,2022-02-17 04:46:04+00:00,1494171265539608577,"This week, I joined @RepChipRoy in addressing our concerns to the Finnish parliament about overt and draconian Finnish persecution of Christians in that country.  #Finland has proud Christian roots and such persecution and the globalists that engage in it need to stop. https://t.co/PmOJVyN8mu",RepGosar
12,2022-02-17 04:39:49+00:00,1494169692487008257,"Nuclear is clean, reliable and the way of the future. https://t.co/4CaGLrLWw4",RepGosar
13,2022-02-17 04:19:06+00:00,1494164476555239427,There is explosive growth in independent media. This terrifies the MSM. Their only response is to call you a racist.,RepGosar
