,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:58:45+00:00,1496590375770898439,The care economy needs investment and we must deliver. #CareCantWait https://t.co/FdbP3pSdeo,RepGwenMoore
1,2022-02-23 16:20:29+00:00,1496520345800658951,"Tune in as I speak on the need to act on climate and advance the Build Back Better Act with @CitizenActionWI and local labor and community advocates.⤵️
https://t.co/xGouOTr7PP",RepGwenMoore
2,2022-02-22 22:14:47+00:00,1496247123830087687,"As a daughter of a teacher and now a mother of a teacher, I am proud to support #PublicSchoolsWeek! I want to highlight @MilwaukeeMPS, whose staff and teachers have went above and beyond during the pandemic to keep kids fed and educated. 

Thank you to @MilwaukeeMPS!",RepGwenMoore
3,2022-02-21 15:00:44+00:00,1495775500702208006,"This #PresidentsDay, I am so grateful for President Biden’s leadership, which has helped fight the pandemic and supported a strong economic recovery. 

That’s how you deliver for the American people and #BuildBackBetter!",RepGwenMoore
4,2022-02-20 18:03:54+00:00,1495459208501862414,"ICYMI: I talked with @yasminv on @MSNBC about the Ukraine-Russia crisis and the fake electors scheme in Wisconsin.

Watch here ⤵️ https://t.co/zaBPCzSsRd",RepGwenMoore
5,2022-02-18 22:38:56+00:00,1494803647267495945,"We need a health care system that addresses everyone’s needs, including Black women, and makes all breast cancer screenings both affordable &amp; accessible.

I shared my own firsthand experience during yesterday’s @DemWomenCaucus discussion on health disparities facing Black women. https://t.co/7YQMyy3p5h",RepGwenMoore
6,2022-02-17 20:54:53+00:00,1494415073573539842,The @EPA is hosting a virtual listening session at 6pm CT *tonight* to discuss their plans to reduce lead exposure and disparities. And they want to hear from you! Sign-up here: https://t.co/VGTYSRlOH4,RepGwenMoore
7,2022-02-17 19:52:31+00:00,1494399379809071104,Beyond thrilled to see bipartisan infrastructure law funding come to our communities to accelerate clean up of Milwaukee's Estuary! These funds will support neighboring communities and create economic growth in areas previously cut off from the public.https://t.co/bZYFeRBZGk,RepGwenMoore
8,2022-02-16 23:01:40+00:00,1494084592369868800,"Small businesses continue to be hit hard by this pandemic. 

That’s why I am calling for a new comprehensive COVID-19 relief package that helps individuals and small businesses recover and thrive. https://t.co/PEsUeen9cb",RepGwenMoore
9,2022-02-16 19:04:46+00:00,1494024974335721472,"Consumer spending is 70% of our economy, so people need spending money.
 
That’s why Dems lifted the economy from the bottom up with the American Rescue Plan.

When Americans have money our economy booms, which is why we have a robust recovery. #BidenBoom https://t.co/MGpuZKHn0d",RepGwenMoore
10,2022-02-15 23:23:08+00:00,1493727609636601859,"The bipartisan infrastructure law has flexibility to help ensure these investments empower states &amp; support their unique needs. 

Dr. Wilson shed light during today's @WaysMeansCmte hearing on how we can deliver on its promise, including allowing us to build a diverse workforce. https://t.co/i3kHnebEmb",RepGwenMoore
11,2022-02-15 20:57:46+00:00,1493691024450928640,"Happy National Wisconsin Day! I’m so proud to be from a state that has led the nation on many fronts from the labor movement to Earth Day to the first kindergarten starting in WI. 

Our history is full of people who had bold ideas &amp; helped make life better for their communities.",RepGwenMoore
