,Datetime,Tweet Id,Text,Username
0,2022-02-23 05:01:00+00:00,1496349348782919684,"GOP released their legislative agenda.

A top priority is to build a medieval border wall and name it after Donald Trump.

You can’t make this stuff up.",RepJeffries
1,2022-02-22 12:28:25+00:00,1496099559889686529,"President Biden’s child tax credit lifted millions of American children out of poverty. 

#DemocratsDeliver",RepJeffries
2,2022-02-21 13:32:07+00:00,1495753199919243271,"Democracy doesn’t run on autopilot.

It takes work.

Keep grinding toward a more perfect union.",RepJeffries
3,2022-02-20 05:01:00+00:00,1495262185324355588,"Wages are up, unemployment is down and millions of good-paying jobs have been created.

This is only the beginning.

#ForThePeople",RepJeffries
4,2022-02-19 14:32:09+00:00,1495043533987790858,"The more we learn about the violent insurrection the worse it gets. 

Prosecute them all to the full extent of the law.",RepJeffries
5,2022-02-18 22:18:29+00:00,1494798499937984515,Thankful to have a President who refuses to bend the knee to Vladimir Putin.,RepJeffries
6,2022-02-18 15:22:46+00:00,1494693881836883971,"We fight for opportunity in every single zip code.

They passed the GOP Tax Scam (83 percent of the benefits went to the wealthiest one percent).

FACTS. https://t.co/EDWfOYCxI5",RepJeffries
7,2022-02-17 14:02:55+00:00,1494311401472548868,"The system is rigged against everyday Americans.

We will never give up our fight #ForThePeople.",RepJeffries
8,2022-02-16 14:16:48+00:00,1493952505901944838,"The cult lies to America about COVID, election results and what constitutes “legitimate political discourse.”

Why should we believe anything they say about President Biden and House Dems?",RepJeffries
9,2022-02-15 13:16:30+00:00,1493574941970681856,Congress must pass legislation to lower costs for everyday Americans.,RepJeffries
10,2022-02-14 14:58:06+00:00,1493238123085639691,"More jobs were created in President Biden’s first year than at any other similar point in American history.

And we’re just getting started.",RepJeffries
11,2022-02-13 15:20:16+00:00,1492881315842113540,"President Biden’s relentless focus on crushing the virus is paying off. 

The Omicron variant is in full retreat.  

#DemocratsDeliver",RepJeffries
12,2022-02-12 14:15:02+00:00,1492502508408909833,"House Dems are working hard to lower childcare, healthcare, housing, education and prescription drug costs. 

Keep America affordable.",RepJeffries
13,2022-02-11 14:00:12+00:00,1492136387562418186,"Only two million Americans were fully vaccinated when President Biden took office.

More than 200 million Americans are fully vaccinated right now.

Why are Republicans hating on this amazing public health accomplishment?",RepJeffries
14,2022-02-10 13:29:33+00:00,1491766286476627973,"Wages are up, unemployment is down and the omicron variant is in retreat.

Democrats Deliver #ForThePeople.",RepJeffries
15,2022-02-09 13:30:17+00:00,1491404086281109509,"Dems create jobs.

They support mobs.

SAD.",RepJeffries
16,2022-02-08 05:01:00+00:00,1490913530928795648,"The Supreme Court majority has zero legitimacy.

Ghosts of the confederacy are alive and well.",RepJeffries
17,2022-02-07 12:51:17+00:00,1490669494171316227,"More jobs have been created during the first year of the Biden Presidency.

Than at any other similar point in American history.

Recognize. https://t.co/NQhpK65vPD",RepJeffries
18,2022-02-06 14:34:09+00:00,1490332992576888838,"The radical right talks about inflation.

And then votes against the America COMPETES Act.

We can’t take them seriously.",RepJeffries
19,2022-02-05 05:07:15+00:00,1489827942427467776,"The cult leaders of the Republican Party have once again exposed themselves.

They have officially declared that violent insurrectionists and cop killers who attacked the Capitol were engaged in ""legitimate political discourse.""

These are sick people.",RepJeffries
20,2022-02-04 16:56:14+00:00,1489643976651165697,"The Biden economy just added a stunning 467,000 jobs last month.

Wages are up and unemployment is down.

Democrats Deliver #ForThePeople.",RepJeffries
21,2022-02-03 14:41:14+00:00,1489247614721613827,"Traveling back to NYC with President Biden.

All hands on deck when it comes to keeping America safe.",RepJeffries
22,2022-02-02 17:00:58+00:00,1488920392039374848,"The America Competes Act will create millions of good-paying jobs.

And sharply address the rise in inflation.

The House will pass this important bill this week #DemocratsDeliver.",RepJeffries
23,2022-02-01 14:01:07+00:00,1488512740968869892,Heading back to DC to continue our struggle #ForThePeople.,RepJeffries
24,2022-01-31 05:01:00+00:00,1488014428016562179,"Trump and the cult apparently want to pardon the domestic terrorists who brutally beat police officers.

And violently ransacked the Capitol.

Where’s the outrage from the so-called law and order crowd?",RepJeffries
25,2022-01-30 13:28:01+00:00,1487779638004826113,"House Dems want to make it easier to vote and harder to steal an election.

They want to make it harder to vote and easier to steal an election.

We will prevail in the end.",RepJeffries
26,2022-01-29 14:48:27+00:00,1487437488482365440,"Bomb cyclone hitting the Northeast hard.

Thankful for the strength and resiliency of our essential workers.",RepJeffries
27,2022-01-28 05:01:00+00:00,1486927264432504833,"President Biden will make history with his first Supreme Court nomination.

The scales of justice will be stronger as a result.",RepJeffries
28,2022-01-27 14:47:12+00:00,1486712398857728001,"The Biden economy has expanded at the fastest rate in almost 40 years.

#DemocratsDeliver",RepJeffries
29,2022-01-26 14:53:44+00:00,1486351656522588161,"The Build Back Better Act will significantly lower healthcare costs for everyday Americans.

Republicans are still trying to detonate protections for those with pre-existing conditions.",RepJeffries
30,2022-01-25 19:07:37+00:00,1486053159101505545,"Officer Wilbert Mora is a hero who lost his life protecting and serving our community.

We must be there for his family and loved ones.

And recommit to crushing the gun violence epidemic in America. https://t.co/lddkiHlR94",RepJeffries
31,2022-01-25 14:07:00+00:00,1485977506813464576,"The Build Back Better Act will save lives.

It includes $5 billion in Break the Cycle funding to combat surging community violence.

Get on board or get out of the way.",RepJeffries
32,2022-01-24 14:59:16+00:00,1485628273627439108,"The cult is determined to take down our democracy.

We must fight them at every turn.

And in the end we shall prevail.",RepJeffries
33,2022-01-23 13:28:24+00:00,1485243019527868422,"Wages are up, unemployment is down and more than six million jobs were created during President Biden’s first year. 

#DemocratsDeliver",RepJeffries
34,2022-01-22 05:02:33+00:00,1484753329712508931,"Deeply saddened by the tragic killing of an NYPD officer in Harlem.

Our City is in mourning.

Praying hard for the officer who is battling for his life and the heartbroken family members who have been left behind.",RepJeffries
35,2022-01-21 16:19:04+00:00,1484561191569657859,"Only two million Americans were fully vaccinated when President Biden took office.

More than 200 million Americans are fully vaccinated right now.

Democrats Deliver.",RepJeffries
36,2022-01-20 12:45:19+00:00,1484145010098548740,We will not rest until comprehensive voting rights legislation is the law of the land.,RepJeffries
37,2022-01-19 23:06:52+00:00,1483939042047713288,"Actually Tom, there is a difference between a misplaced name and an actual admission.

Your racist view that slavery was a ""necessary evil"" is the quintessential example of saying the quiet part out loud.

Pipe Down. https://t.co/6pUV00siRj",RepJeffries
38,2022-01-19 13:00:02+00:00,1483786326470115329,"The radical right set aside the filibuster to pass the GOP Tax Scam and steal two Supreme Court seats.

But voting rights is off limits?

Phonies.",RepJeffries
39,2022-01-18 12:00:00+00:00,1483408832000770048,Will every single Senator who publicly praised Dr. King yesterday support passage of voting rights legislation today?,RepJeffries
40,2022-01-17 13:00:01+00:00,1483061546804674560,"The ghosts of the confederacy are trying to turn back the clock.

But the spirit of the Rev. Dr. Martin Luther King Jr. is alive and well.

We shall overcome. https://t.co/RKRe1xFJGO",RepJeffries
41,2022-01-16 14:10:16+00:00,1482716836844257291,"We are in a titanic struggle.

Between the defenders of the status quo and the forces for progress.

Never give in.",RepJeffries
42,2022-01-15 14:40:18+00:00,1482362008381145089,"President Biden’s major tax cut for families with children recently expired. 

Why won’t Republicans help us renew it?

#ChildTaxCredit",RepJeffries
43,2022-01-14 12:36:34+00:00,1481968483877462018,"The obstructionists will not win.

We press on #ForThePeople.",RepJeffries
44,2022-01-13 16:51:34+00:00,1481670266258440203,"You better back up off of us.

#FightForVotingRights https://t.co/PwrmCKAMBq",RepJeffries
45,2022-01-13 14:24:44+00:00,1481633313467117571,The House will pass comprehensive voting rights legislation and send it to the Senate today.,RepJeffries
46,2022-01-13 05:01:00+00:00,1481491446263779328,Detonate the filibuster so we can crush the voter suppression epidemic. https://t.co/TezBdIyiBU,RepJeffries
47,2022-01-12 14:09:52+00:00,1481267185083428866,"The Build Back Better act addresses inflation by lowering child care, energy, housing and healthcare costs for everyday Americans.

Republicans talk about inflation.

House Dems are doing something about it.",RepJeffries
48,2022-01-11 13:45:08+00:00,1480898574250614790,"The right to vote is essential.

We must protect it at all cost.",RepJeffries
49,2022-01-10 12:58:37+00:00,1480524480950767621,"Heading back to Washington.

All hands on deck to pass voting rights legislation.",RepJeffries
