,Datetime,Tweet Id,Text,Username
0,2022-02-22 22:54:51+00:00,1496257207180177419,Russia’s invasion of Ukraine is a violation of int'l law. I'm pleased @POTUS has responded to Putin’s heinous aggression against the Ukrainian people in announcing this first round of sanctions. We must continue to stand w/ our allies in holding Putin &amp; his cronies accountable.,RepJerryNadler
1,2022-02-20 22:42:28+00:00,1495529312929333248,"Hot tip from my staff: Run, don’t walk to @AlexEdelman’s brilliant Just for Us, his comedic take on the very serious topics of white supremacy and antisemitism. It’s moving from @CherryLnTheatre to @sohoplayhouse for an extended run.  I’m going soon! https://t.co/n9s0pjzunf",RepJerryNadler
2,2022-02-17 18:36:05+00:00,1494380146408796161,"I am appalled and dismayed by this act of anti-Semitic cowardice targeting an Israeli restaurant on the UWS.  Hate and anti-semitism have no place in our city or our nation.

https://t.co/QzwcZuinf1",RepJerryNadler
3,2022-02-17 16:40:44+00:00,1494351117177823240,"The threats facing minority institutions are varied, and the solutions are complex. Nevertheless, we must begin by understanding the challenges we face and examining a range of proposals for how best to respond. 

Read my statement: 
https://t.co/57y4kVeuIQ",RepJerryNadler
4,2022-02-17 16:40:44+00:00,1494351116099858433,"We must combat this. Too many in recent years have felt the pain &amp; fear of hate-fueled violence. It has deepened existing wounds that have developed over centuries of bigotry and hate directed at them. And now, we face increasing threats of domestic terrorism in the U.S.",RepJerryNadler
5,2022-02-17 16:40:44+00:00,1494351115051225094,"At base, domestic terrorism isolates us—not just by inflicting violence on our communities, but also by defining individuals who are members of those communities as ‘other.’ Domestic terrorists want to force us into that frame—a narrative of ‘us’ and ‘them.",RepJerryNadler
6,2022-02-17 16:40:43+00:00,1494351113679740932,"@HouseJudiciary is holding a hearing titled “The Rise in Violence Against Minority Institutions.” 

Domestic terrorism is at its highest level since the FBI began tracking it. Just days ago, 17 of America’s prized HBCU’s were locked down by bomb threats. 

https://t.co/knUwqbbZa1",RepJerryNadler
7,2022-02-17 15:08:53+00:00,1494328002213122054,HAPPENING NOW: @HouseJudiciary is examining domestic terrorism and the rise of violence against minority institutions. https://t.co/PWTtNs92Fb,RepJerryNadler
8,2022-02-16 22:10:51+00:00,1494071805249822731,I have said it time and time again. All workers deserve the right to organize their workplaces — whether it’s workers at Starbucks or staffers on Capitol Hill. I stand with and support unions. https://t.co/j8a8Bbyg0c,RepJerryNadler
9,2022-02-15 19:39:15+00:00,1493671267542654986,"We have an obligation to ensure that all Americans have ready access to quality medical care today and in the future. We must ensure that our immigration system facilitates—rather than blocks—the admission of the best doctors from around the world.

https://t.co/3x27wRjh7x",RepJerryNadler
10,2022-02-15 19:39:15+00:00,1493671266234028038,"Unfortunately, our outdated immigration system only adds to the problem. Although foreign-educated physicians can come to the United States to complete their medical training, their temporary visa options are limited.",RepJerryNadler
11,2022-02-15 19:39:15+00:00,1493671264900243467,"Even before the pandemic, experts were projecting that our country would experience a significant shortage of physicians in the near future. The onset of COVID has taken an enormous mental and physical toll on physicians in the United States, exacerbating existing shortages.",RepJerryNadler
12,2022-02-15 19:39:14+00:00,1493671263134486531,This hearing also examines how our broken immigration system has made it difficult for such physicians to remain in our communities and continue to provide critical care to those in need.,RepJerryNadler
13,2022-02-15 19:39:14+00:00,1493671261205061637,Our country has long relied on foreign-educated physicians to supplement the domestic physician workforce. Today’s @HouseJudiciary hearing explores the role that immigrant physicians play in the provision of health care in the United States. https://t.co/UOt3ZQCZu2,RepJerryNadler
14,2022-02-15 15:04:26+00:00,1493602106628096012,"Today at 2 pm ET, @HouseJudiciary will hold a hearing to explore the role of immigrant physicians in the U.S. healthcare system and how our current immigration laws impact the recruitment and retention of physicians.

Follow along:
https://t.co/v4c8qS4jOj",RepJerryNadler
15,2022-02-11 21:49:03+00:00,1492254379205959682,All workers deserve the right to organize their workplaces. I fully support these Starbucks workers’ efforts. https://t.co/dFwBDk8TIN,RepJerryNadler
16,2022-02-11 20:12:04+00:00,1492229972169457664,"If you or someone you know could benefit from taking PrEP, visit the NYC Health website to find where you can receive treatment in the City.

https://t.co/aUJKPRjki0",RepJerryNadler
17,2022-02-11 20:12:04+00:00,1492229971070357513,"That is why I was proud to join @RepRitchie and @RepMondaire in calling on @CMSGov &amp; @CDCgov to ensure the newly approved, injectable Apretude is available at no cost to patients -- just like other forms of PrEP.",RepJerryNadler
18,2022-02-11 20:12:03+00:00,1492229969560449027,"Making PrEP as accessible as possible is critical to ending the HIV epidemic, but only 25% of the people for whom it was recommended were even prescribed it. https://t.co/sFLu1oSmmN",RepJerryNadler
19,2022-02-11 16:04:35+00:00,1492167689971851265,"That is why, this morning, I sent a letter to Meta CEO Mark Zuckerberg demanding answers for the inaccurate anti-abortion ads and censorship of accurate abortion information.

https://t.co/8cX1MYEKYg",RepJerryNadler
20,2022-02-11 16:04:34+00:00,1492167688646545409,"Several reports have found Facebook has continued to promote medically inaccurate anti-abortion advertisements while simultaneously censoring medically accurate information about abortion services. This is unacceptable.

https://t.co/W1m4iGMHXv",RepJerryNadler
21,2022-02-09 19:37:24+00:00,1491496471396499457,"Like all Americans, Congressional staff deserve the right to organize their workplace without fear of retaliation.

Today, I proudly joined @RepAndyLevin as an original cosponsor of his resolution to grant our staff the right to organize and bargain collectively.

#UnionStrong",RepJerryNadler
22,2022-02-09 17:35:25+00:00,1491465777047875590,The House passage of the #GlobalRespectAct sends a clear message: hate has no place in the US. I’m proud to stand with LGBTQI+ people worldwide by voting to protect the community from those who violate their basic human rights. https://t.co/SSHuEvBdV6,RepJerryNadler
23,2022-02-08 20:55:31+00:00,1491153744020799488,"Making at-home COVID tests easily accessible is critical to stopping the spread of the virus, which is why I wrote to @USPS in response to @Columbia students’ difficulties in ordering free rapid tests directly to their dorms. https://t.co/LLhblu6g6q",RepJerryNadler
24,2022-02-08 19:11:24+00:00,1491127542627323905,"I had the opportunity to meet Armanda virtually and her experience being pushed out of work because she was pregnant is far too common. It is time to #ProtectPregnantWorkers which is why I am proud to lead the fight for the Pregnant Workers Fairness Act.

https://t.co/nUCLiSJQ9B",RepJerryNadler
