,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:37:31+00:00,1496585031921381381,High energy costs and inflation are not due to the Russian invasion into Ukraine. The Biden administration should stop insulting our intelligence by saying so and admit it is due to their awful monetary and domestic energy policies. The American people know.,RepLarryBucshon
1,2022-02-21 16:34:36+00:00,1495799125035692051,Happy President’s Day. Presidents who fought for freedom in three different centuries! https://t.co/HIhtu5pIYx,RepLarryBucshon
2,2022-02-18 23:02:55+00:00,1494809682510233601,R.I.P. Congressman Jim Hagedorn. Jim passed away last evening from Cancer. My thoughts and prayers go out to Jim’s family and friends.,RepLarryBucshon
3,2022-02-18 19:10:14+00:00,1494751126100447233,I had the pleasure of meeting with some members of the @INFarmBureau in Knox County yesterday to hear their concerns about the upcoming season and how runaway inflation costs are dramatically increasing farm costs ahead of this year’s planting season. https://t.co/u65jk7mlP7,RepLarryBucshon
4,2022-02-18 16:03:38+00:00,1494704168098955269,"While in Knox County yesterday, I stopped by the Family Health Center in Vincennes and met with the CEO Jennifer Emmons and heard more about what services the center provides to underserved areas in Vincennes and Knox County. https://t.co/rdRoUNn4Pv",RepLarryBucshon
5,2022-02-17 23:35:51+00:00,1494455585076621313,"This morning I was in Washington, IN touring Destination Yachts and hearing about how they are rebounding from the COVID-19 pandemic and coping with supply chain issues causing shortages and delays of products. https://t.co/VD02HwHHGr",RepLarryBucshon
6,2022-02-17 14:30:29+00:00,1494318339828637697,"Since 1963, @IvyTechCC has been helping shape Hoosier leaders. Yesterday, I had the pleasure of meeting with with Ivy Tech Evansville Campus Chancellor Daniela Vidal and talking about the expansion of the nursing program at Ivy Tech as well as different issues in education. https://t.co/k52Gn90r32",RepLarryBucshon
7,2022-02-16 23:19:19+00:00,1494089036545282054,"Kicked off my day meeting with local farmers from Vanderburgh, Gibson, and Posey counties. Thank you to @INFarmBureau and Trevor Craig for helping organize the event. https://t.co/3GAliZW80U",RepLarryBucshon
8,2022-02-16 00:55:32+00:00,1493750860878385152,"Did you know @PortsofIndiana in Mount Vernon handles more cargo than any other port in the state? Located close to the merging of the Ohio and Mississippi rivers, it serves as a major gateway for agricultural, energy, and manufacturing industries. Thanks for having me today! https://t.co/6AJUAEr3K7",RepLarryBucshon
9,2022-02-15 23:28:33+00:00,1493728970591723521,"Today I visited @CGBGrain in Mount Vernon and met with Senior Vice President Steve O'Nan to discuss supply chain issues, transportation, and logistics of the soybean industry in Indiana. https://t.co/pLDvg8RZDj",RepLarryBucshon
10,2022-02-15 16:23:42+00:00,1493622055576739849,"#ICYMI: Last week, I joined more than 70 Republicans on a letter urging @POTUS and @SecBecerra to announce their plan to end the Public Health Emergency and get our country back to normal. https://t.co/rx1J0oqFAr",RepLarryBucshon
