,Datetime,Tweet Id,Text,Username
0,2022-02-23 19:28:28+00:00,1496567655196770310,"Did you want him to walk backwards? Give me a break. 

During a time when we should be unified in our defense of democracy, House Republicans post this sorry excuse of a tweet.

Next time you think about doing something like this again, don’t. https://t.co/CEyCYou9pi",RepLawrence
1,2022-02-23 18:30:00+00:00,1496552941993353221,"Today, @usedgov is hosting a Public Service Loan Forgiveness webinar. Tune in at 2:00PM to determine if you are eligible for loan forgiveness.

Register here: https://t.co/C79ivzElPX https://t.co/I0YYHD3wvd",RepLawrence
2,2022-02-23 17:06:54+00:00,1496532028308828163,"The rising cost of childcare disproportionately harms Black mothers. More than 1/3 cite cost as the main barrier.
 
Investments in #AffordableChildCare will help families get the care they need without having to fear the price tag. Learn more: https://t.co/XtNEl8xcTR #JECxCBC https://t.co/G64TetD0pq",RepLawrence
3,2022-02-23 15:13:04+00:00,1496503382084890625,"Today’s #BlackHistoryMonth spotlight is a favorite in #MI14, Chef Adrian!

Chef Adrian is the mastermind behind @beansncornbread, a Southfield staple since 1997. Cornbread has won countless Best Soul Food awards and was named “a new American classic” by @GQMagazine. https://t.co/fQzmzGbrPF",RepLawrence
4,2022-02-22 23:00:01+00:00,1496258505522642945,"A huge victory for @USWNT and the fight for fair pay! We need to close the wage gap all across the country, and we can do that by getting the Paycheck Fairness Act passed in the Senate.https://t.co/K9edhj8H5S",RepLawrence
5,2022-02-22 21:20:19+00:00,1496233414017626117,"Today's verdict won't bring Ahmaud Arbery back, but it's one step closer to accountability. My prayers are with Ahmaud's family and entire community. https://t.co/k0Dru47kMV",RepLawrence
6,2022-02-22 19:52:31+00:00,1496211319384588295,"The free world stands united in condemning Vladimir Putin’s aggression toward the people, freedom, and sovereignty of Ukraine.

He must be held accountable for what he has done. https://t.co/3lYFSIObWn",RepLawrence
7,2022-02-22 17:45:00+00:00,1496179228206931970,"Happening soon!

Tune in at 1pm ET as @MomsRising @ZEROTOTHREE @ACNJforKids families tell the White House what our communities need: the child care investments in #BuildBackBetter to bring down costs and invest in providers! https://t.co/0LWkCiARj4",RepLawrence
8,2022-02-22 15:23:36+00:00,1496143645682065408,First up is the @HenryFordNews West Bloomfield Hospital! The Community Project Funding would help them purchase the latest in heart health technology. They are working hard to keep #MI14 healthy and we need to do everything we can to support them in their mission. (2/2) https://t.co/EQCR8v54Nt,RepLawrence
9,2022-02-22 15:23:16+00:00,1496143560395182082,"As Vice Chair of @AppropsDems, I'm fighting to pass a budget for FY 2022 that includes funding for Community Project Funding Requests.

To highlight the need to pass a budget, we asked some of the #MI14 projects to explain what the funding would mean to them. (1/2)",RepLawrence
10,2022-02-21 17:41:58+00:00,1495816077263187976,"Today would have been my dear friend John Lewis’ 82nd birthday. 

As we remember his legacy, let’s recommit ourselves to passing voting rights legislation and getting into “good trouble.” https://t.co/Wj1gCgntqp",RepLawrence
11,2022-02-20 18:05:13+00:00,1495459540250337286,"Today’s #BlackHistoryMonth spotlight is Danielle Atkinson!

Danielle is the founder and National Executive Director at @momjustice. It's been my pleasure to work with her and see all that she has done to support moms of color &amp; their families in Detroit and across the country. https://t.co/BQRNWqmkAe",RepLawrence
12,2022-02-19 18:30:23+00:00,1495103487738322945,"Last summer's floods damaged countless homes and small businesses. Thanks to the #AmericanRescuePlan and the @CityofDetroit's Basement Backup Protection Program, Detroiters can now protect their homes against severe weather. To apply, visit https://t.co/eKg6PKFmVF https://t.co/sCcs7LCKU2",RepLawrence
13,2022-02-18 22:00:00+00:00,1494793851713765383,"Today’s #BlackHistoryMonth spotlight is Terence Thomas!

@detroitlawyer became the first African-American elected to the @GrossePointe_MI City Council in 2019. I know I speak for the entire community when I say we are so grateful for his service and leadership! https://t.co/eDO3Nyon3e",RepLawrence
14,2022-02-18 19:00:44+00:00,1494748736190357514,"There is no denying that the expanded #ChildTaxCredit works. Since the program expired, 3.7 million more children are living in poverty. 

This has been life-changing for families in #MI14 &amp; across the country; we must do all that we can to extend the CTC. https://t.co/e6a2lt1tWg",RepLawrence
15,2022-02-18 16:38:47+00:00,1494713013559037952,📻Tune in! https://t.co/QUi9sXMTMB,RepLawrence
16,2022-02-18 15:06:33+00:00,1494689801445986305,"No more Flint's, Benton Harbor's, or Hamtramck's.

Michigan is receiving $1.3 billion from the #BipartisanInfrastructureLaw to invest in our water infrastructure and ensure that every child in Michigan, and across the country, has access to clean, safe drinking water. https://t.co/PIdl3YfZ6Z",RepLawrence
17,2022-02-17 21:31:09+00:00,1494424201746423817,"Thanks for the shoutout @LeaderHoyer! Here in the Motor City, we understand how important it is to invest in domestic manufacturing. The #AmericaCOMPETES Act strengthens our supply chain, accelerates chip production, and bolsters American competitiveness. https://t.co/KDwFoV2E7L",RepLawrence
18,2022-02-17 17:49:10+00:00,1494368336355995652,🚨$1 BILLION is headed to the Great Lakes to clean-up &amp; restore an invaluable environmental resource that benefits our local economies &amp; outdoor recreation. This is another example of significant investments coming to our communities thanks to the #BipartisanInfrastructureLaw. https://t.co/z7tOxV3idH,RepLawrence
19,2022-02-17 15:01:05+00:00,1494326039278854156,.@MSHDA just launched their Michigan Homeowner Assistance Fund (MIHAF) to help homeowners experiencing pandemic-related financial hardships avoid foreclosure and keep their homes. Learn more here: https://t.co/GM0doiQ6Xd https://t.co/jtyp6tFZAl,RepLawrence
20,2022-02-16 23:29:41+00:00,1494091644471320580,"Today’s #BlackHistoryMonth spotlight is Rochelle Riley—the Detroit Director for Arts and Culture. #MI14. 

Thanks to her, Detroit has a flourishing arts scene that can support the countless up-and-coming artists in our city. https://t.co/z6mIdXBh3u",RepLawrence
21,2022-02-16 20:02:02+00:00,1494039386077511680,"I had a great time joining @UWMlending for their #BlackHistoryMonth event today! As we honor the trailblazers, changemakers, and pioneers in the African American community, let's also lift up the next generation of Black leaders. https://t.co/LUo05NjXLo",RepLawrence
