,Datetime,Tweet Id,Text,Username
0,2022-02-23 15:29:57+00:00,1496507629815881733,The Annual Point In Time Count in Orange County is taking place now.  This count has been taking place for years and is critical in targeting resources to address homelessness. https://t.co/5vkFqY3dNF,RepLouCorrea
1,2022-02-22 14:36:35+00:00,1496131813210738691,"There is still time to register for today's Immigration Townhall Webinar to learn more about services available through my District Office and important updates. Sign up by visiting: 
https://t.co/9CTDSbo9aG https://t.co/n8tDNy7KDc",RepLouCorrea
2,2022-02-18 16:52:35+00:00,1494716485213822977,"The price of gasoline is high and is burdening hardworking Americans in my district and across the country. I am proud to co-sponsor the Gas Prices Relief Act to suspend the gas tax until 2023, decrease shipping prices and keep grocery pricing down.",RepLouCorrea
3,2022-02-15 02:20:28+00:00,1493409849228550153,"Happy Valentine's Day! The children in #CA46 joined me in thanking our district’s veterans for their sacrifices, service, &amp; bravery! I appreciate everyone who sent in a card. I know our veterans were uplifted &amp; smiled as soon as they opened their cards.
#VeteransValentinesDay https://t.co/56zl5wDCJm",RepLouCorrea
4,2022-02-10 23:44:45+00:00,1491921107611439104,"Orange County residents and my constituents rely on public transportation for work, school, and doctor appointments. I am calling for Governor Gavin Newsom to intervene before the OCTA strike to ensure there is a fair result for our drivers and to avoid delays for my community. https://t.co/VjGUvJzVuP",RepLouCorrea
5,2022-02-10 17:01:36+00:00,1491819651399135239,"Parents &amp; teachers, please join my office in celebrating Veterans Valentine's Day, to pay tribute and show our appreciation to our Veteran men &amp; women in #CA46! Send in your kids’ &amp; students' Valentine’s Day cards by Friday, February 11. email: CA46Veteranvalentines@gmail.com https://t.co/LslmuMsmGq",RepLouCorrea
6,2022-02-09 17:36:46+00:00,1491466114760683522,"Our country promised non-citizen service members &amp; veterans that we would always be there for them in exchange for their services. I applaud the DHS &amp; VA for launching their resource hub that assists &amp; provides resources for our deported veterans. Visit, https://t.co/nhnc5VmhgI",RepLouCorrea
7,2022-02-09 15:53:43+00:00,1491440182813675522,"Our postal service is vital for our small businesses, urgent packages, &amp; life-saving medication. I am proud to have voted for the House passage of the bipartisan #PostalServiceReformAct to ensure we protect our mail carriers &amp; provide Americans with high-quality delivery service.",RepLouCorrea
8,2022-02-07 19:30:03+00:00,1490769847214657536,"Today, the small business administration launched journey 6, an online platform focused on providing women entrepreneurs with the tools &amp; strategies necessary to expand their businesses. When women succeed, America succeeds. Enroll today by visiting: https://t.co/tjWSJdp71A",RepLouCorrea
9,2022-02-04 18:06:50+00:00,1489661740140929030,"I am proud of the House passage of the #AmericaCOMPETES Act today. We are creating long-term economic growth for Americans, strengthening our supply chains, and securing the U.S. competitive advantage.",RepLouCorrea
10,2022-02-03 21:13:41+00:00,1489346375489888259,I am proud that it includes my HOPR Act which supports our national security and U.S. small businesses by ensuring The Department of Homeland Security has high-quality uniforms and equipment made in America.,RepLouCorrea
