,Datetime,Tweet Id,Text,Username
0,2022-02-18 15:51:09+00:00,1494701025114083329,"I spoke with @HudsonInstitute and @KenWeinstein about the escalating situation at the Ukraine-Russian Border. 
https://t.co/TIpP4CCC9X",RepMikeTurner
1,2022-02-17 21:46:27+00:00,1494428054541807616,"#ICYMI: Yesterday, I joined @BillHemmer and @DanaPerino on @AmericaNewsroom to discuss the ongoing situation with FBI, DOJ officials as Durham probe continues. 

https://t.co/lPefMCDEYf",RepMikeTurner
2,2022-02-08 19:57:48+00:00,1491139217413804033,"Had a productive meeting w/ @clarkstate College leadership today. 

Thanks for your commitment to higher education &amp; all the contributions your team brings to the Miami Valley Region! 

@clarkstatepres https://t.co/g2cfTN7A6N",RepMikeTurner
3,2022-02-07 18:24:52+00:00,1490753444029870084,@RepPaulTonko @RepTomEmmer @RepDavidTrone,RepMikeTurner
4,2022-02-07 18:23:41+00:00,1490753147408728067,"Sadly, pretrial detainees are currently being denied Medicaid coverage. 

The Due Process #ContinuityofCare Act works to reform a major flaw in our Medicaid system. 

We must pass this critical legislation so we can end the dangerous cycle of treatment interruption &amp; recidivism. https://t.co/D1pu7hTCiH",RepMikeTurner
5,2022-02-04 13:46:05+00:00,1489596121420898313,Stay safe out there! https://t.co/7AuASTL1pK,RepMikeTurner
6,2022-02-03 20:50:24+00:00,1489340515791298567,"I am appalled that HBCUs around the country have faced security threats this week. 

#OH10 is the home to 2 outstanding HBCUs &amp; they play a critical role in our communities. 

Students deserve to feel safe on campus &amp; I will not stop advocating for them.  https://t.co/VFCOHmjKEN",RepMikeTurner
7,2022-02-01 00:10:38+00:00,1488303742860546055,"Having SNC create 100+ jobs in #OH10 is a great example of our community successfully working w/ the defense community to utilize the assets we have at WPAFB. 

I am proud to support this job growth &amp; will continue to welcome new investments into Dayton.  https://t.co/cLzkVeIS41",RepMikeTurner
8,2022-01-24 22:40:14+00:00,1485744279003832327,"At the very least, the Biden admin should immediately send support to our allies as Russia attempts to overtake Ukraine. 

Today, I joined @RepMikeRogersAL &amp; @RepLisaMcClain in urging @SecDef to expedite actions to help our steadfast ally, Poland. 

Read our full letter here: https://t.co/enOIqrjqm6",RepMikeTurner
9,2022-01-18 20:31:03+00:00,1483537442758033411,"Once again, the Delphi Salaried Retirees are being denied an opportunity to restore their retirement benefits.

However, this decision will not stop me from urging Congress &amp; the Biden Administration to get them the answers &amp; treatment they deserve.  https://t.co/QvmwMfHo9g",RepMikeTurner
10,2022-01-17 20:45:55+00:00,1483178796463407105,May we all take a moment today to appreciate and honor the civil rights movement MLK started. His activism brought equality into our communities and his leadership led to a more perfect union #MartinLutherKing https://t.co/icWmus6r20,RepMikeTurner
11,2022-01-17 15:56:22+00:00,1483105925540024321,"Honoring #MLK 
•
•
“Faith is taking the first step even when you don’t see the whole staircase.”- Dr. King https://t.co/ofTbvBB8Wu",RepMikeTurner
12,2022-01-15 15:23:14+00:00,1482372813008822275,"We must stand up against Russia &amp; immediately send help to Ukraine so they can defend themselves. 

No longer can the U.S. afford to be weak on the international stage. 

Read more below on steps the Biden Administration should take ⬇️ ⬇️⬇️ ⁦ https://t.co/WCMXfSEIKP",RepMikeTurner
13,2022-01-14 15:32:51+00:00,1482012845193764868,"As we head into #MLKWeekend, let us pause and reflect on the values of justice and equality Dr. King promoted throughout his lifetime. https://t.co/2aTLid0lpy",RepMikeTurner
14,2022-01-11 20:37:56+00:00,1481002459220828168,"President Biden needs to take North Korea’s recent launch as a direct threat to the United States. 

Listen to my recent conversation w/ @BillHemmer on @AmericaNewsroom here: https://t.co/1uWRVjIMFo",RepMikeTurner
15,2022-01-10 21:24:37+00:00,1480651818996744194,"President Biden is failing to adequately arm Ukraine &amp; deter Russia’s military buildup. 

Today, I joined my House colleagues in reaffirming our commitment to Ukraine. 

The U.S. can no longer afford to be weak on the international stage.   https://t.co/uSF9yl40rq",RepMikeTurner
16,2022-01-03 20:07:52+00:00,1478095791252291588,The House Intel Committee's work is critical to our national security &amp; as the RM I am committed to supporting the men &amp; women in the IC. Thanks to @GOPLeader for his confidence &amp; I look forward to working w/ him to address our nation's security challenges https://t.co/k5AApMNCgI,RepMikeTurner
17,2022-01-01 20:23:37+00:00,1477374977452224512,Happy New Year from #OH10! https://t.co/DOzuDCBEIn,RepMikeTurner
18,2021-12-31 18:15:09+00:00,1476980257957765122,"This year, my office has had the honor of serving the people of Southwest Ohio. 

As we approach the #NewYear2022, I remain committed to making them my main priority in Congress. https://t.co/vsY3yRMU3i",RepMikeTurner
19,2021-12-27 17:12:40+00:00,1475514984021078021,"Great news on POTUS signing the #FY22NDAA into law today. 

Now more than ever, our adversaries are advancing their defense capabilities, &amp; this bill provides necessary funding to modernize our nation's nuclear triad &amp; missile defense system.  https://t.co/OsOtdztYq6",RepMikeTurner
20,2021-12-25 15:15:23+00:00,1474760691919867910,Merry Christmas &amp; Happy New Year! ✨🎄 https://t.co/HMVqKFxDGm,RepMikeTurner
21,2021-12-20 20:48:26+00:00,1473032567913918483,"From the grocery store to the gas pump, it’s getting harder for families to keep up with rising prices. 

However, the gov. recklessly spending more $$$ and adding nearly $3 trillion to our national debt is NOT the solution.  https://t.co/yds3jI95Xn",RepMikeTurner
22,2021-12-17 18:37:53+00:00,1471912548740091912,"Today marks the 118th anniversary of the first successful flight by Daytonians, Orville and Wilbur Wright.

They forever changed history on Dec 17, 1903, when they took their first flight. 
 
Pieces of the plane are now housed at the @AFmuseum in #OH10. 

#WrightBrothersDay https://t.co/I8Jq52k4iK",RepMikeTurner
23,2021-12-16 16:50:02+00:00,1471523020770529283,"While there is more work to be done, the #FY22NDAA takes important steps to improve our mil. justice system by requiring prosecution decisions of sexual misconduct to be made outside the chain of command. 

I look forward to POTUS signing this into law.  https://t.co/95LQ4JnFmk",RepMikeTurner
24,2021-12-15 18:23:26+00:00,1471184136828293133,"I have worked to secure many advancements in the #FY22NDAA for our dedicated service members serving at ⁦⁦@WrightPattAFB⁩. 

President Biden should sign this immediately so we can support our military &amp; bolster our national security.  https://t.co/aBLdZ2HgXo",RepMikeTurner
25,2021-12-15 16:06:22+00:00,1471149645602910208,"On this day in 1791, the first 10 Amendments of the Constitution were ratified into the #BillOfRights. 

Today, we recognize this living document &amp; honor the individual liberties it grants all citizens. #BillofRightsDay https://t.co/NH9KD5sUYS",RepMikeTurner
26,2021-12-13 15:26:58+00:00,1470414952464883724,"#ICYMI: I recently joined @MorningsMaria to discuss how Biden is failing: 

➖securing our border 
➖basic checkbook issues for America families 
➖on the international stage https://t.co/jy7ehlRRW5",RepMikeTurner
27,2021-12-10 21:30:00+00:00,1469419147918462981,"The F-35 is the premier fighter to counter Russia &amp; China. 

This decision signals Finland’s commitment to joining like-minded nations to preserve peace. 

Read my full statement ⬇️ https://t.co/NZBhoiNO7U",RepMikeTurner
28,2021-12-10 16:24:18+00:00,1469342219853254657,President Biden’s complacent policies are making American families less safe.  https://t.co/IGf1TpzXnO,RepMikeTurner
29,2021-12-09 21:48:30+00:00,1469061419744350210,"#ICYMI: Yesterday, I joined @jaketapper to discuss the situation at the Russian-Ukraine Border. 

We must make sure that President Biden matches his word by providing sanctions on Russia and sending lethal aid to Ukraine. 

We cannot afford another Afghanistan tragedy. https://t.co/PdHwjHg29f",RepMikeTurner
30,2021-12-09 16:51:41+00:00,1468986722130317323,"Happy Birthday to my colleague, ⁦@SenGillibrand⁩!
 
I have had the pleasure of working with her on multiple occasions to address sexual assault in the military and appreciate her commitment to this important issue.  
 
Wishing you another great year! https://t.co/7CLinPjEbZ",RepMikeTurner
31,2021-12-08 18:01:27+00:00,1468641892170616832,"Our service members deserve a budget that puts them first, &amp; that's why I voted for the #FY22NDAA. 
 
In the #NDAA, I requested funding for a new childcare center at WPAFB &amp; I am glad this provision was included, along with a 2.7% pay bump for our military https://t.co/PMHrSgpfe3",RepMikeTurner
32,2021-12-08 03:45:41+00:00,1468426531861061635,"For years, I have tirelessly fought for necessary reforms to our military justice system. 

Tonight, I voted “yes” on the #FY22NDAA which would improve how our military justice system prosecutes sexual assault &amp; other crimes. 

Full statement:  https://t.co/W9aqtWe8wl",RepMikeTurner
33,2021-12-08 03:24:38+00:00,1468421231775043587,"I have successfully worked to secure $24 million in the #FY22NDAA for military construction funding for a new childcare center at WPAFB in #OH10. 

Our military families cannot be left behind. 

I urge the Senate to send the #NDAA to President Biden’s desk ASAP.",RepMikeTurner
34,2021-12-08 02:34:39+00:00,1468408653212491784,"As our adversaries continue to expand &amp; advance their defense programs &amp; capabilities, it remains critical that we pass the #FY22NDAA to: 

✔️support our service members

✔️deter our adversaries 

✔️bolster our national security",RepMikeTurner
35,2021-12-07 16:17:08+00:00,1468253251061624836,"“December 7, 1941, A Date Which Will Live in Infamy"" 

Today, we remember and honor all those who made the ultimate sacrifice 80 years ago on the morning of the attack on #PearlHarbor.

#PearlHarborRemembranceDay https://t.co/eVddQ6I5fU",RepMikeTurner
36,2021-12-07 13:29:31+00:00,1468211070347141122,"⚠️MUST-READ: Biden, bruised by Afghanistan, faces a critical test in Ukraine | ⁦@thehill⁩  https://t.co/3spb1DQ1LP",RepMikeTurner
37,2021-12-05 18:28:53+00:00,1467561631009935366,"I am saddened to hear about the passing of former WWII veteran and US Senate Majority Leader, Bob Dole. He was a staunch veterans advocate and his outstanding public service career changed the lives of many.  https://t.co/Xh2r6MSQtA",RepMikeTurner
38,2021-12-03 14:11:07+00:00,1466771984281489410,"LISTEN: My recent conversation w/ @Brad_L_Bowman of @FDD_CMPP on all things #defense, my role on @HASCRepublicans &amp; the importance of passing the #FY22NDAA. 

Click here to listen ➡️ https://t.co/j0pgOhF6sM https://t.co/wma9WKX7Wi",RepMikeTurner
39,2021-12-01 19:11:26+00:00,1466122786078969862,"Last year, Ohio sadly lost 5,018 lives to overdose related deaths. 

These numbers are devastating. 

In Congress, I have strongly advocated for lifesaving treatment options for struggling individuals &amp; I will not stop working to end this crisis.  https://t.co/K5L5wvbwLR",RepMikeTurner
40,2021-11-29 19:26:49+00:00,1465401884416659460,"Last week, I introduced bipartisan legislation alongside ⁦⁦@senrobportman⁩ that will work to bring economic opportunity to Southwest Ohio. 

Read more here:  https://t.co/V0fODBXDvm",RepMikeTurner
41,2021-11-29 01:38:40+00:00,1465133075806003201,"I am saddened to hear about the  passing of former Beavercreek Mayor &amp; former ⁦@GreeneCountyOH⁩ commissioner, Bob Glaser. 

He was a true public servant &amp; my thoughts are with his family, friends &amp; the entire ⁦@BeavercreekOHCH⁩ community.  https://t.co/GDFsxNvcVC",RepMikeTurner
42,2021-11-25 15:40:14+00:00,1463895308707024902,"Wishing everyone a safe &amp; happy Thanksgiving, especially our brave men and women in uniform fighting for our freedom overseas. 

#ThanksgivingDay #GiveThanks https://t.co/3Oxqk4zNjx",RepMikeTurner
