,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:29:30+00:00,1496583016205979654,44% of goods from @PortofLA and ⁦@portoflongbeach⁩ make their way through the Inland Empire by truck or freight. Funding from the bipartisan infrastructure law will help our local economy and resolve supply chain issues nationwide.  https://t.co/YqB2qgrD0M,RepPeteAguilar
1,2022-02-17 15:59:01+00:00,1494340619615051777,"Yesterday, we saw the first test of the new @metrolink train on @goSBCTA! Because of the bipartisan Infrastructure Investment and Jobs Act, more projects like this will be funded in the Inland Empire. I’m excited for what this will bring to our community! https://t.co/Y4JQnlzfsd",RepPeteAguilar
2,2022-02-15 03:55:27+00:00,1493433748825821187,Spent the afternoon dropping off valentines from local school children to give to our veterans at @valomalinda and had some help from the amazing @girlscouts https://t.co/xH097RiKLx,RepPeteAguilar
3,2022-02-14 22:31:32+00:00,1493352232741486593,"Thanks to funding I supported in the #BipartisanInfrastructureLaw, over 10 million households are now enrolled in the nation’s largest ever program to help families afford high-speed internet!",RepPeteAguilar
4,2022-02-10 21:41:59+00:00,1491890212968046610,"Dr. Margaret Hill worked as an educator and leader of our community for 50 years. She was the heartbeat of San Bernardino and I hope my efforts to enshrine her name in our community will remind us all that we must carry out her legacy.
https://t.co/PHPX1ctg4M",RepPeteAguilar
5,2022-02-10 18:50:02+00:00,1491846941491306496,"Thanks to the bipartisan infrastructure law I supported, California communities are receiving $56,789,406 this year to build EV charging infrastructure, create good-paying jobs in the Inland Empire and reduce carbon pollution. https://t.co/7EpaBRDsfe",RepPeteAguilar
6,2022-02-08 22:58:35+00:00,1491184715512299520,It’s deeply disturbing that a political party would call the violent attack on the US Capitol “legitimate political discourse.” The @January6thCmte is committed to getting the truth about what happened that day and we will not be deterred. https://t.co/X4hk0lD3tS,RepPeteAguilar
7,2022-02-07 14:32:34+00:00,1490694982474379271,We are underway! https://t.co/5RKcyGHkie,RepPeteAguilar
8,2022-02-07 14:13:46+00:00,1490690252385759232,Looking forward to joining this important hearing! https://t.co/Fo6UHkltI0,RepPeteAguilar
9,2022-02-04 19:20:26+00:00,1489680265974792210,Today we celebrate and remember Rosa Parks and her resilient pursuit of justice and equity. Her activism and fearlessness lives on 109 years later. #BlackHistoryMonth https://t.co/VuQHbMmFKP,RepPeteAguilar
10,2022-02-04 14:37:49+00:00,1489609139114414084,Another strong jobs report shows we are making significant progress. 87% of jobs lost during the once-in-a-century pandemic are back. I’ll continue to make jobs and workers my top priority. https://t.co/FJRNJliVbO,RepPeteAguilar
11,2022-02-04 01:12:18+00:00,1489406426552442881,"Tonight, I was privileged to preside over the House floor as we debated amendments to the America COMPETES Act. This bill will strengthen our supply chains, make our economy more competitive across the globe and bolster manufacturing for the Inland Empire. https://t.co/3QZ6NsBjHK",RepPeteAguilar
12,2022-02-02 10:56:24+00:00,1488828643707138048,Starting the day bright and early on @NewDay with @JohnBerman. Hope you can tune in!,RepPeteAguilar
13,2022-02-01 14:52:57+00:00,1488525787401789440,Wishing everyone who celebrates a happy #YearOfTheTiger. I hope you have a year filled with good fortune and good health!,RepPeteAguilar
14,2022-02-01 00:21:34+00:00,1488306494995111939,"Our work is not finished yet, and we are leaving no stone unturned in our investigation into the attempt to overturn an election.  https://t.co/3az3fs1J4F",RepPeteAguilar
15,2022-01-31 22:01:51+00:00,1488271334170034176,82 years ago the first #SocialSecurity check went out. The benefits of this program are an essential lifeline to thousands of Inland Empire residents. We must protect and expand this program for future generations.,RepPeteAguilar
16,2022-01-27 14:46:00+00:00,1486712098453348352,"Thanks to @POTUS, this is the fastest economic growth in four decades. Americans are finding better jobs with better pay and better benefits. We can and will do more to make sure no communities are left behind in this economic recovery. https://t.co/yX2RvtA0pq",RepPeteAguilar
17,2022-01-26 23:45:32+00:00,1486485487661559810,I’ll be joining @wolfblitzer on @CNNSitRoom shortly. Hope you can tune in!,RepPeteAguilar
18,2022-01-23 16:57:20+00:00,1485295597582180355,"The Biden-Harris Adminstration created 6 million jobs in the last year. Together, we will keep the economic recovery moving in the right direction. https://t.co/VV7US4scOa",RepPeteAguilar
19,2022-01-22 19:16:34+00:00,1484968248827330560,"Today our community comes together to mourn the passing of Dr. Margaret Hill, a beloved educator and advocate of San Bernardino. I was privileged to say a few words about her on the floor of U.S. House. https://t.co/wjacfRwiH1",RepPeteAguilar
20,2022-01-22 01:45:14+00:00,1484703672831557639,Looking forward to joining you soon! https://t.co/t5sWYlZ0N6,RepPeteAguilar
21,2022-01-21 23:26:01+00:00,1484668636488941584,I had a chance to talk about how the bipartisan Infrastructure Investment and Jobs Act will help prevent wildfires. We know we must do more to combat climate change and we will — thanks to the @VP’s leadership. https://t.co/EW9jADKtFD,RepPeteAguilar
22,2022-01-21 21:53:57+00:00,1484645468881793033,We took an aerial tour of how wildfires have impacted our community and learned about the preventive steps @forestservice has taken to prevent further damage of our community. https://t.co/2gY5LZ3K3t,RepPeteAguilar
23,2022-01-21 20:15:48+00:00,1484620768512200708,"Welcome back, Madam @VP! https://t.co/kvPvVZqVa0",RepPeteAguilar
24,2022-01-21 20:10:24+00:00,1484619409310236674,Waiting on the tarmac with @GavinNewsom and @SenAlexPadilla for @VP to land here in beautiful San Bernardino! https://t.co/DlmF3Qo3Pc,RepPeteAguilar
25,2022-01-20 20:26:05+00:00,1484260966325968896,@POTUS’s first year as president has been historic! I look forward to working with the Biden Administration to continue this progress and deliver more #ForThePeople. https://t.co/Z5NaYv2Wah,RepPeteAguilar
26,2022-01-20 15:08:33+00:00,1484181055900983296,Yesterday was a victory for the work of the @January6thCmte to get to the truth on behalf of the American people. https://t.co/gk4fDTU1BQ,RepPeteAguilar
27,2022-01-20 13:06:17+00:00,1484150289624088582,I’ll be joining @JohnBerman shortly on @NewDay to discuss the latest on the work of the @January6thCmte.,RepPeteAguilar
28,2022-01-18 19:13:39+00:00,1483517962027999239,Please take a moment to order free at-home COVID-19 tests today. This is another tool to help us stop the spread and keep our communities safe.  https://t.co/8s9kxUtTZ2,RepPeteAguilar
29,2022-01-18 16:37:05+00:00,1483478563722604547,Proud to join this important effort on behalf of Inland Empire workers. https://t.co/sk5Ixt1rwz,RepPeteAguilar
30,2022-01-17 18:13:10+00:00,1483140353511284740,Today we honor the life and legacy of Dr. Martin Luther King Jr. and renew our commitment to a more perfect Union. https://t.co/2WeFGmtlyX,RepPeteAguilar
31,2022-01-15 02:01:29+00:00,1482171046283329539,Hopping on @CNN shortly. Tune in!,RepPeteAguilar
32,2022-01-15 00:19:45+00:00,1482145445036048389,This important project will make life easier for Inland Empire families. I’m proud to have secured even more funding for projects like this that will create hundreds of new jobs. https://t.co/NbJzylZ9cK,RepPeteAguilar
33,2022-01-14 23:53:27+00:00,1482138825518460928,"The bipartisan Infrastructure Investment and Jobs Act will help fund important projects like the I-10 Express Lanes, creating hundreds of good-paying jobs for the Inland Empire. Thanks to ⁦@SouthwestCarps⁩ Local 909 for having me out today! https://t.co/ZDFlVI6B7V",RepPeteAguilar
34,2022-01-13 23:57:03+00:00,1481777342825570306,Proud to stand up for democracy today and everyday. https://t.co/EMG6fdjfQd,RepPeteAguilar
35,2022-01-13 20:49:48+00:00,1481730222613573636,"“It has been ‘deeply troubling’ that lawmakers who call out government repression and tyranny in Cuba, Venezuela and other parts of Latin America ‘came back after the insurrection and voted to decertify the election,’ he said.” https://t.co/HKPb1ceJHb",RepPeteAguilar
36,2022-01-12 13:09:07+00:00,1481251896983699456,Looking forward to joining @NewDay on @CNN in a few minutes to discuss the latest on the @January6thCmte,RepPeteAguilar
37,2022-01-07 14:17:18+00:00,1479457116809310209,"We are in the midst of the strongest economic recovery in American history, thanks to the leadership of House Democrats and @POTUS. https://t.co/yk1nHCopbo",RepPeteAguilar
38,2022-01-06 18:56:13+00:00,1479164923146084356,“The former president himself continues to support conspiracy theories and continues to foment all of this language and fear.” https://t.co/pgFXq0kA5D,RepPeteAguilar
39,2021-12-17 20:12:52+00:00,1471936453273915397,"Abortion care is health care. 48 years ago today, the Helms amendment took away that’s access for millions of women. Where you live should not determine your ability to access health care. It’s past time for Congress to act and pass the Abortion is Healthcare Everywhere Act.",RepPeteAguilar
40,2021-12-14 18:14:23+00:00,1470819471786921997,"Last night the @Jan6thCmte voted to cite Mr. Meadows for contempt of Congress. Mr. Meadows will write a book and share information with Fox News, but will not comply with a lawful subpoena. No one is above the law and he must be held accountable. https://t.co/gdCBEUOtfL",RepPeteAguilar
41,2021-12-13 22:56:33+00:00,1470528095832707082,Today we passed another heartbreaking benchmark because of this pandemic. Getting vaccinated is the best tool we have to protect ourselves and others. https://t.co/x4rhSCIVzl,RepPeteAguilar
