,Datetime,Tweet Id,Text,Username
0,2022-02-23 19:41:45+00:00,1496570996844863502,"NW Washington ports like @PortofEverett, @PortofSkagit &amp; @PortBellingham play a critical role in keeping the regional supply chain &amp; the economy on track while creating jobs. Great to see @USDOT announce $450 million from the #BIL in newly available grant funding for ports. https://t.co/N64vA8H7YT",RepRickLarsen
1,2022-02-23 16:48:30+00:00,1496527399038730248,"I met with #Lynden Mayor Scott Korthuis to discuss the City’s efforts to address local &amp; international flooding &amp; improve fish habitat, as well as the federal resources available to enable cities like Lynden to invest in critical infrastructure projects.

https://t.co/GlXljKLSz2",RepRickLarsen
2,2022-02-23 14:56:56+00:00,1496499320853512193,"Dr. Farmer’s approach of treating impoverished communities while also addressing the close relationship between poverty, hunger &amp; illness has had an incredible impact in the U.S. &amp; around the world. Tiia &amp; I send our condolences to Paul’s wife, Didi, &amp; their three children.",RepRickLarsen
3,2022-02-23 14:56:55+00:00,1496499316449493004,"Sad to hear about Dr. Paul Farmer’s sudden passing. In 2019, my wife, Tiia, &amp; I met Dr. Farmer in Rwanda where his organization, @PIH, works closely with the Rwandan government to provide high-quality health care to three of the country’s poorest regions. https://t.co/x7Bj2w4K0s",RepRickLarsen
4,2022-02-22 21:58:42+00:00,1496243073650675719,"Minerals like cobalt &amp; lithium are critical to the production of everyday technologies like smartphones &amp; computers. Boosting domestic production of minerals will create well-paying jobs, help alleviate supply chain pressures &amp; improve national security. https://t.co/6x4UYXR4C7",RepRickLarsen
5,2022-02-21 22:17:37+00:00,1495885446655709186,The United States should make clear our intentions to support the Ukrainian government through NATO and other mechanisms.,RepRickLarsen
6,2022-02-21 22:16:47+00:00,1495885238857351169,"Russian autocrat Putin's recognition of previously-invaded regions of Ukraine is cynical and hypocritical. These regions are Ukrainian and part of an independent, free and sovereign Ukraine. https://t.co/FdIig5sgfE",RepRickLarsen
7,2022-02-21 16:37:38+00:00,1495799889107861511,"Thank you, @POTUS, for supporting bold investments in the nation’s infrastructure to create jobs and keep Washingtonians and the economy moving. Happy #PresidentsDay! https://t.co/DEELdyP4NI",RepRickLarsen
8,2022-02-19 20:22:32+00:00,1495131711394533378,"Eighty years ago today, President Roosevelt signed Executive Order 9066, triggering the wrongful incarceration of thousands of Japanese Americans. #DayOfRememberance https://t.co/1XGHCq9yFI",RepRickLarsen
9,2022-02-18 16:29:35+00:00,1494710697699291140,"This week, I joined Mari's Place for the Arts Executive Director Mary Toews &amp; Board President (&amp; #Mukilteo Mayor) Joe Marine to hear how a @NEAarts ""Challenge America"" grant will enable the nonprofit to continue offering cultural programming for children from all backgrounds. https://t.co/yqdj3y0oRJ",RepRickLarsen
10,2022-02-18 15:36:02+00:00,1494697222944010250,"This week, I stopped by the Schack Art Center in #Everett to view “Renaissance Unmasked: The Re-Birth of Black Brilliance,” a new art exhibit showcasing artists of African descent from the PNW.

Hear more from Earnest Thomas, President of the ONYX Fine Arts Collective 🎨⬇️ https://t.co/87QHyibLXx",RepRickLarsen
11,2022-02-17 16:29:07+00:00,1494348192137240581,"The admin must nominate someone prepared to work with Congress to continue implementation of aircraft certification reform, improve the safety culture at FAA &amp; in the aviation industry &amp; develop next year’s FAA reauth bill to ensure U.S. aviation remains the global gold standard.",RepRickLarsen
12,2022-02-17 16:29:07+00:00,1494348191109636100,"Administrator Dickson has led FAA through a difficult three years, &amp; I have appreciated working with him to implement bipartisan aircraft certification reform &amp; address serious concerns about 5G deployment near the nation’s airports.",RepRickLarsen
13,2022-02-17 16:29:06+00:00,1494348189499105288,"I want to thank Administrator Dickson for his steadfast commitment to aviation safety, not just during the last three years at FAA, but during his four-decade career in aviation. https://t.co/ZAI53AqszH",RepRickLarsen
14,2022-02-15 03:32:38+00:00,1493428008845299719,"“There’s just a lot going on in ag in North Puget Sound.”
 
On Fri, I joined North Sound farmers, ranchers &amp; producers at the Skagit Ag Summit to discuss how Congress can partner w/&amp;invest in WA farms, small businesses &amp; rural communities to create jobs &amp; drive economic recovery. https://t.co/PubaSD5RBR https://t.co/mq43escIvl",RepRickLarsen
