,Datetime,Tweet Id,Text,Username
0,2022-02-23 17:15:00+00:00,1496534066237042694,"In honor of #BlackHistoryMonth @TheBlackCaucus and @JECDems released new analysis of the current economic status of Black Americans, celebrating the progress that has been made and recognizing the challenges that remain. 
 https://t.co/x17RvGenIb #JECxCBC",RepRobinKelly
1,2022-02-23 02:31:12+00:00,1496311652240736256,https://t.co/8GcytkOWLJ,RepRobinKelly
2,2022-02-22 21:57:54+00:00,1496242871950848010,"All students deserve safe, welcoming, and well-funded public schools. This #PublicSchoolsWeek we must recommit to investing in America’s students, teachers, and communities. https://t.co/MbwhGxwYrW",RepRobinKelly
3,2022-02-22 19:07:05+00:00,1496199887679102978,The Montgomery Bus Boycott would go on to end successfully after Alabama bus companies were forced to recognize a U.S. Supreme Court ruling that segregation on public transport was illegal.,RepRobinKelly
4,2022-02-22 19:06:54+00:00,1496199840560263170,"Today in 1956, 89 brave people including Martin Luther King Jr. and Rosa Parks, voluntarily turned themselves in to authorities in Montgomery, Alabama for organizing and participating in the Montgomery Bus Boycott, which was already in its third month. https://t.co/ftNztiVLzb",RepRobinKelly
5,2022-02-19 17:34:00+00:00,1495089296138665985,"80 years ago 120,000 people of Japanese ancestry, two-thirds of whom were American citizens, were forced to leave their homes after Executive Order 9066 was issued. We must never forget the mistakes that were made in the past so that they don’t occur again in the future. https://t.co/ftLnIqCaBc",RepRobinKelly
6,2022-02-17 21:59:02+00:00,1494431218686996491,What @ChuckGrassley is missing is that reporting lost or stolen guns is a pre-requisite of responsible gun ownership. Knowing exactly where your guns are at all times and reporting them when they're lost keeps them out of the hands of criminals. @RepCasten https://t.co/EX1JxU5FiL,RepRobinKelly
7,2022-02-17 18:31:55+00:00,1494379094829584389,I am proud to have voted for the historic Bipartisan Infrastructure Law that will repair existing damage and protect against further threats to the Lake Michigan shoreline due to the effects of climate change. https://t.co/80YYrSk5Gf,RepRobinKelly
8,2022-02-15 19:45:21+00:00,1493672799969460236,"Thank you to the students of Wagoner Elementary, @phsd144, Strassburg Elementary, and @JamesHart153 @Homewood153 for being so kind and participating on this special day.",RepRobinKelly
9,2022-02-15 19:44:22+00:00,1493672554573320199,"This year for Valentine’s Day, wonderful students from four different area schools created 180 cards for the veterans at the Manteno Veterans’ Home. https://t.co/hF7UkBw8P2",RepRobinKelly
