,Datetime,Tweet Id,Text,Username
0,2022-02-23 15:30:12+00:00,1496507693049204747,"In Fiscal Year 2021, @CBP reported seizing 11,201 pounds of fentanyl — enough to kill every American 7 times over. I urge President Biden and my colleagues across the aisle to prioritize securing our border to stop the flow of drugs into our country. https://t.co/wtcB2AHc6R",RepRussFulcher
1,2022-02-22 22:00:54+00:00,1496243627286315017,"President Biden's politically motivated delays of oil and gas lease sales represent a clear violation of requirements under the Mineral Leasing Act.

Read our letter to Secretary Haaland on this issue: https://t.co/t5Q4odzKam https://t.co/9SXVmM0ZlF",RepRussFulcher
2,2022-02-22 15:01:01+00:00,1496137959342546947,The Biden Administration is attempting to change longstanding rules on classification of independent contractors that would remove choices for both workers and small businesses. I am signing on to an Amicus Brief in support of keeping these rules in place: https://t.co/s0m1nhgTLn https://t.co/xG4zDE75MP,RepRussFulcher
3,2022-02-21 22:00:39+00:00,1495881176925589507,"Our constituents have the right to petition Congress and they should be able to do so without fear of scrutiny. A recent report that USCP has been monitoring Members of Congress, staff, and their constituents raises serious concerns: https://t.co/ilVZzywiil https://t.co/2osdKEkD4B",RepRussFulcher
4,2022-02-21 14:01:48+00:00,1495760672541622280,Happy #PresidentsDay! Who is your favorite U.S. President? https://t.co/mRPkmRWWSy,RepRussFulcher
5,2022-02-19 00:30:02+00:00,1494831607261413377,"Following one year of disastrous policies, nonexistent support for DHS agents’ ability to enforce immigration laws, and the total loss of faith from the American people, we are calling on Sec. Mayorkas to resign as Secretary of Homeland Security: https://t.co/rqEV4FwXsC",RepRussFulcher
6,2022-02-18 18:00:33+00:00,1494733591233896449,"The FY21 Appropriations bill required the @ForestService and @Interior to provide a report on aerial firefighting contracts. The report is now 300+ days past due. The height of fire season is around the corner, and it's critical we make informed decisions. https://t.co/UqXyAbbyMw",RepRussFulcher
7,2022-02-18 17:06:00+00:00,1494719860823236612,My heartfelt thoughts and prayers are with Congressman Hagedorn’s family and staff as we mourn the loss of a dear friend. https://t.co/J2QBofUXPF,RepRussFulcher
8,2022-02-18 15:30:04+00:00,1494695719101415427,"President Biden's @HHSGov has unveiled a new $30 million grant program which includes funding for ""safe smoking kits/supplies."" National media is insisting that Republicans are spreading misinformation on this topic, but you can confirm for yourself here: https://t.co/QGe2TwcBWj https://t.co/I2qoCVzd5j",RepRussFulcher
9,2022-02-17 21:55:02+00:00,1494430211433193475,"Congratulations to the Gem State on its recent upgrade to the Aaa rating. All across America, conservative fiscal policies are winning, and I am glad Idaho is leading the way. Read the full report here: https://t.co/T7AizhgQRQ https://t.co/6gCfwGNyGF",RepRussFulcher
