,Datetime,Tweet Id,Text,Username
0,2022-02-22 21:39:18+00:00,1496238191199895552,Certain powdered baby formulas have been recalled due to contamination with Cronobacter and Salmonella bacteria. Make sure that your formula is safe to use and learn more about recalled products here: https://t.co/mPboGSXe3u,RepSires
1,2022-02-22 21:04:20+00:00,1496229391650770951,"While Putin begins his plans to invade Ukraine, the US cannot sit by and allow large autocrats to invade their neighbors and infringe on international sovereignty. I am glad to see @POTUS has begun to put sanctions in place to show Putin the consequences of his actions.",RepSires
2,2022-02-18 16:37:16+00:00,1494712633416724488,"On March 27, 1968, MLK spoke about the need for economic justice and a fair minimum wage. The Jersey Journal remarked at the time that the speech unified the community. Learn more about the speech and how it affected those who were there: https://t.co/AHbAqhxwZ5",RepSires
3,2022-02-18 16:37:07+00:00,1494712592648056846,#BlackHistoryMonth is a chance for continual learning about history and its impact on our community. Did you know that Dr. Martin Luther King Jr. delivered one of his last speeches at the Metropolitan A.M.E. Zion church in Jersey City? https://t.co/ycKNlEIPNB,RepSires
4,2022-02-17 14:45:41+00:00,1494322164878643201,"Title 42 has been used to expel vulnerable people, including thousands of Black migrants, who could face harm in their home countries. I signed onto a bicameral letter to @POTUS urging him to end the use of Title 42 and uphold our obligation to safeguard the right to seek asylum.",RepSires
5,2022-02-16 19:45:19+00:00,1494035181627482116,"Abolitionists fought to support those escaping slavery, although much of the community opposed the abolition movement. Before the Civil War, an estimated 50,000-70,000 enslaved persons passed through Jersey City to freedom. Read more: https://t.co/8NGqgsrPl3",RepSires
6,2022-02-16 19:45:13+00:00,1494035154913972226,"#BlackHistoryMonth gives us all an opportunity to learn more about how our community connects to importance pieces of black history. In fact, Jersey City was the last stop on the Underground Railroad for those escaping slavery in other states.",RepSires
7,2022-02-14 20:37:29+00:00,1493323534474649601,"Today is also National Donor Day, a day to donate blood, marrow, and other tissues. I am so thankful for the kind-hearted, giving people who donate these lifesaving materials. Find a blood drive or donation center here: https://t.co/vz9YIIB9pc",RepSires
8,2022-02-14 20:37:22+00:00,1493323503902371841,Happy Valentine's Day to New Jersey’s 8th District! ❤️,RepSires
9,2022-02-11 21:28:53+00:00,1492249303976493057,"Congrats to @rasjbaraka on the City of Newark’s successful Lead Line Replacement program, which replaced the city’s lead service lines in under three years w/o charging residents a dime.",RepSires
10,2022-02-10 20:36:44+00:00,1491873792884457485,"Free, at-home COVID-19 tests are available for every household. Call the help line if you need any assistance. https://t.co/lnlGlhveEo",RepSires
11,2022-02-10 19:51:41+00:00,1491862454330183683,"The USPS provides an essential service for millions of New Jerseyans delivering billions of pieces of mail a year. This week, the House passed the Postal Service Reform Act to keep the post office running sustainably, improve transparency, and increase on-time deliveries.",RepSires
12,2022-02-08 18:51:45+00:00,1491122598486638595,"During American Heart Month, we raise awareness of the impact of heart disease. Heart disease is the leading cause of death in the US and has an equal impact on men and women. Learn more about being heart healthy at https://t.co/RN5PxccDQR. https://t.co/BBICf8rwsy",RepSires
13,2022-02-07 22:34:01+00:00,1490816143531122691,"National Black HIV/AIDS Awareness Day is a day to highlight the progress made in fighting the HIV &amp; raise awareness on how we #StopHIVTogether. We must continue to break down barriers to testing, prevention &amp; treatment, &amp; ensure access to culturally competent care without stigma.",RepSires
14,2022-02-07 20:12:24+00:00,1490780504387473415,"Last week, the House voted to invest in the future of our economy, supply chain resiliency, and advancements in the fields of science and technology by passing the COMPETES Act. Just as with the American Rescue Plan, when we invest in the American people, we grow our economy.",RepSires
15,2022-02-03 22:41:27+00:00,1489368463244238849,"This week is Gun Violence Survivor’s Week, a time to reckon with the gun violence crisis &amp; take action to prevent further violence. I urge the Senate to pass the background check bills already passed by the House which would be a first, &amp; necessary, step to improving gun safety.",RepSires
16,2022-02-03 21:14:25+00:00,1489346561289207820,"As Chairman of the Subcommittee on the Western Hemisphere, I am working to hold dictators accountable in Nicaragua, Venezuela, &amp; Cuba, combat corruption &amp; strengthen rule of law in Guatemala &amp; Honduras, &amp; advocate for increased vaccine distribution &amp; deepened economic engagement.",RepSires
17,2022-02-03 21:14:20+00:00,1489346538543493121,"This is a challenging moment for Latin American &amp; the Caribbean, with the highest levels of poverty seen in almost 3 decades, school disruptions threatening reading proficiency for millions of children, and growing threats to democratic institutions.",RepSires
18,2022-02-03 21:14:09+00:00,1489346494121578498,@HouseForeign The upcoming Summit of the Americas provides an opportunity for the US to demonstrate our commitment to working with our Latin American and Caribbean partners to rebuild their economies and strengthen their democracies.,RepSires
19,2022-02-03 21:13:59+00:00,1489346450513436681,"Today, @HouseForeign discussed US priorities in the Western Hemisphere, a region that was particularly hard-hit by the pandemic.",RepSires
20,2022-02-02 15:42:00+00:00,1488900517585694725,"This month, we honor and celebrate the accomplishments of Black Americans. We take this time to reflect on Black history, appreciate the impact of historical Black leaders, and focus our efforts on making this a more just and equitable nation. #BlackHistoryMonth https://t.co/X4gtyXcfUT",RepSires
21,2022-02-01 23:03:01+00:00,1488649116687208450,Happy Lunar New Year to all those celebrating in #NJ08 and around the world! Wishing you all a happy year of the Tiger.,RepSires
22,2022-01-31 17:29:29+00:00,1488202790874853376,"On this day in 1940, the first Social Security check was issued. In the last 82 years, Social Security has bolstered financial stability, provided additional family income, and stimulated the nation’s economy.",RepSires
23,2022-01-31 15:29:36+00:00,1488172621254565888,I reiterate my longstanding demand for the immediate release of all Cubans jailed for speaking out against the regime. The world must not ignore these injustices. #JailedForWhat,RepSires
24,2022-01-31 15:29:25+00:00,1488172573930229770,"The Diaz-Canel regime is prosecuting more than 700 Cubans, including 55 children, for exercising their most basic rights and participating in the July protests. These sham trials are the latest attempt to maintain authoritarian control of the Cuban people.https://t.co/msJgClXHpj",RepSires
25,2022-01-27 19:58:03+00:00,1486790629191561224,"I know that it is hard to see this economic improvement at the gas pump or grocery store. The truth is inflation is a concern. However, the Fed plans to deploy monetary tools to rein in prices, which will further help recover from the economic upheaval of the pandemic.",RepSires
26,2022-01-27 19:57:55+00:00,1486790593212825603,"This rapid improvement is a result of the American Rescue Plan, which included measures to support families with an expanded Child Tax Credit, invest in pandemic response &amp; vaccination, and stimulate the economy. By investing in the American people, we grew our economy.",RepSires
27,2022-01-27 19:57:40+00:00,1486790529090301952,"@JC_Econ, a former Fed economist says: “Fiscal and monetary policy committed to supporting the economy aggressively during the pandemic, and it worked. Not only did we meet the goal of shortening the recession, we exceeded all expectations.”",RepSires
28,2022-01-27 19:57:03+00:00,1486790377751429121,"Our economy is getting back on track with remarkable speed. Last year ended strong with an economic expansion of 5.7%, the largest since 1984.
https://t.co/Gz1YYb4C7f",RepSires
29,2022-01-27 18:39:53+00:00,1486770957431808005,"Hoy, con la inauguración de Xiomara Castro como presidenta de #Honduras, @RepGregoryMeeks, @NormaJTorres, @JoaquinCastrotx y yo enviamos una carta a @SecBlinken expresando nuestro interés en fortalecer las relaciones bilaterales. Lea nuestra carta aquí: https://t.co/9QzvK3zEHZ",RepSires
30,2022-01-27 18:38:44+00:00,1486770665369837571,"If the Honduran gov’t can combat corruption, protect human rights, strengthen democratic institutions, &amp; promote inclusive economic growth, it will advance our countries’ shared interest in enabling every Honduran to pursue a life of dignity &amp; prosperity in their home country.",RepSires
31,2022-01-27 18:38:23+00:00,1486770579793403915,"As Xiomara Castro is inaugurated as President of Honduras, @HouseForeign Chairman @RepGregoryMeeks, @NormaJTorres, @JoaquinCastrotx and I wrote a letter to @SecBlinken urging him to strengthen US-Honduran relations. See our letter here: https://t.co/0R83RFMYa1",RepSires
32,2022-01-27 16:02:40+00:00,1486731391215808512,Today is International Holocaust Remembrance Day and the 77th anniversary of the liberation of Auschwitz. Today we commemorate the 6 million victims of the Holocaust and raise awareness of the continual need for Holocaust education. Learn more here: https://t.co/oJKutAv4gb,RepSires
33,2022-01-26 18:57:25+00:00,1486412982053711878,"During National Birth Defects Prevention Month, learn more about birth defect prevention, health of infants with birth defects, and lifelong health here: https://t.co/Pm4W56IQ0i",RepSires
34,2022-01-25 21:05:29+00:00,1486082823203262474,"In just one year of mothers receiving cash stipends, their babies’ brains show greater signs of cognitive development. This demonstrates the long-term positive impact of the #ChildTaxCredit. We must act now to extend this impactful benefit. https://t.co/zLPtGw3VCK",RepSires
