,Datetime,Tweet Id,Text,Username
0,2022-02-23 11:18:25+00:00,1496444330822840321,"I was struck that in the United Kingdom, despite political differences, @UKLabour and PM Johnson are united against Russia’s invasion of Ukraine. Yet, in America, pro-Russia Republicans like Trump and Pompeo are attacking @POTUS to divide Americans. Shameful. https://t.co/n7xRd6Jtdu",RepSwalwell
1,2022-02-23 03:56:06+00:00,1496333017060904965,"The cost of gas and groceries  are going up. Yet, @SenRickScott wants blue collar, working class Americans to pay more in taxes. @HouseDemocrats won’t let that happen. RT to say no to new GOP taxes. https://t.co/WjdW2UuHC1",RepSwalwell
2,2022-02-22 23:19:21+00:00,1496263369426452482,Leave the country for a week and little man now holds his head up. What is happening? https://t.co/AMwSckRJ1p,RepSwalwell
3,2022-02-22 22:04:19+00:00,1496244487663853573,Donald Trump *endorses* Putin’s invasion of a democratic country. This is the leader of the Republican Party. Does @GOPLeader McCarthy agree with this? GOP Intel head @RepMikeTurner? GOP Armed Services head @RepMikeRogersAL? Will anyone condemn this? https://t.co/mjQkM8PyaT,RepSwalwell
4,2022-02-20 19:15:49+00:00,1495477309528330244,"Ted Cruz’s weakness, recklessness, and surrender have emboldened Trump to keep attacking his wife. https://t.co/c8WpHGhsRb",RepSwalwell
5,2022-02-20 11:51:51+00:00,1495365579468849162,En route to #London with @SpeakerPelosi’s delegation to meet with allies. Goal is to unite against Russia’s aggression and strengthen @NATO. 🇺🇸🇬🇧,RepSwalwell
6,2022-02-19 14:46:28+00:00,1495047135569580042,"What is our democracy worth if we can’t unite ourselves and the world against Russia as they seek to slaughter a sovereign people? 

Watching @ZelenskyyUa address #MSC2022. https://t.co/HTWc5huE4D",RepSwalwell
7,2022-02-19 14:27:09+00:00,1495042274496954370,"Trump took state secrets. He put your security at risk. Now, responsible media must ask every @housegop member if they are OK with that. If they don’t answer, THEY ARE. https://t.co/OcSBnfkW22",RepSwalwell
8,2022-02-18 19:02:43+00:00,1494749235677478919,"You can’t be a bigger ass than this guy. @repjimbanks is currently *in Germany* being hosted by the Ambassador he’s insulting. And, by the way, Ambassador Guttman knows the German flag. Her father escaped Nazi Germany to come to America. Show some class (for once). https://t.co/ULj2JHXvQz",RepSwalwell
9,2022-02-18 17:53:40+00:00,1494731858462093312,"This guy is not going to let his country go down without a fight. Met with @Vitaliy_Klychko, mayor of #Kyiv, as Russia prepares to invade his country. He needs our help. A threat to a democracy anywhere is a threat to democracies everywhere. #MSC2022 https://t.co/jcenhvBJg0",RepSwalwell
10,2022-02-18 15:27:35+00:00,1494695096155086851,@MattLaslo Onward. Can’t live in past. If a new one comes we know how to be ready.,RepSwalwell
11,2022-02-18 13:34:34+00:00,1494666652650250243,@RubenGallego @RepPatFallon Pat is right about one thing. That former guy sure did a lot of sitting. But nothing else in this tweet is true.,RepSwalwell
12,2022-02-18 13:19:50+00:00,1494662946567426053,"On potential war, German Foreign Minister @ABaerbock says “This is not a Ukraine crisis. This is entirely a Russia crisis.” #MSC2022",RepSwalwell
13,2022-02-18 13:12:34+00:00,1494661115921506308,"Europe is on the brink of war. Dialogue is the only way out. That is why I’m with @SpeakerPelosi and her delegation at #MSC2022. Good to also be with Iraq war vet and @HASCDemocrats member, Rep. @RubenGallego. https://t.co/cNayDujkk6",RepSwalwell
14,2022-02-17 23:38:36+00:00,1494456277195501572,Pause &amp; think about what we’ve done as Democrats. Covid is on the ropes. Overwhelming majority of Americans are vaxxed &amp; our smallest kids will be shortly. Mask requirements in responsible states are being lifted. We’re coming out of this. And it’s exciting to shape what’s next.,RepSwalwell
15,2022-02-15 14:57:45+00:00,1493600425223798788,"There’s no question prices are going up. And there’s also no question that only one party cares enough to offer solutions to fix it. When @potus took over he created 7 million new jobs. Democrats have done the work to save your jobs. Now, we’re going to save your paychecks.",RepSwalwell
16,2022-02-14 23:04:23+00:00,1493360500528267266,@CA_Trans_Agency @abetterbayarea That’s great. Bret is the best. Congrats to you both!,RepSwalwell
17,2022-02-14 19:55:20+00:00,1493312926098374662,This is so exciting. Best wishes to you and your growing family! https://t.co/yyuD7h3ARD,RepSwalwell
18,2022-02-14 16:27:22+00:00,1493260587123585026,"Today marks 4 years since Parkland. 

For the 17 lives we lost that day, for the community forever impacted by this tragedy, for the countless others across the country whose names we'll never know, we cannot give up this fight.

We must end gun violence. 

#MSDStrong #NeverAgain",RepSwalwell
19,2022-02-14 03:46:25+00:00,1493069088230285314,"You tiny, tiny boy. How can we help you? https://t.co/KcuBpUCND7",RepSwalwell
20,2022-02-13 17:08:38+00:00,1492908587491856385,Get well @SenatorLujan! We are excited to see you back soon. https://t.co/rl7PAKs83F,RepSwalwell
21,2022-02-13 16:41:47+00:00,1492901829289472000,@jentaub Please do. Wishing you well.,RepSwalwell
22,2022-02-12 19:07:05+00:00,1492576008678952960,I want you to talk more https://t.co/fgC6tmmUfJ,RepSwalwell
23,2022-02-12 17:57:41+00:00,1492558543626461187,"OK Twitter, let’s get Victoria her bag! 🇺🇸🇦🇺 https://t.co/SoD2oZOoG6",RepSwalwell
24,2022-02-11 03:10:52+00:00,1491972981257654279,@kylegriffin1 https://t.co/OClhWUh9ew,RepSwalwell
25,2022-02-11 03:06:39+00:00,1491971917322113031,"@KylenMills Delete your account 
#DubNation",RepSwalwell
26,2022-02-11 02:58:54+00:00,1491969968598097922,Let me just close by telling you this. These guys are the biggest babies. They cosplay as tough guys. But they cry more than my 3-month-old (and aren’t as cute). There’s a word for these types❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️❄️,RepSwalwell
27,2022-02-11 02:41:12+00:00,1491965513274216455,"Well there you go. @RepTroyNehls is a fired, disgraced cop. Hence, he shits ok legitimate cops. https://t.co/sz7BDYZiws",RepSwalwell
28,2022-02-11 02:33:24+00:00,1491963549996011521,"You’re still whining over this? I’ve been in my office late at night on a number of occasions when Capitol Police came in because they did a security check. Don’t tell me you’re for the police then shit on the police. And, btw, you’re not that important. No one is looking at you. https://t.co/Th7JVgn0bR",RepSwalwell
29,2022-02-11 01:46:43+00:00,1491951802027237381,@emilybrooksnews Cool. We are mocking addiction.,RepSwalwell
30,2022-02-11 01:38:41+00:00,1491949780313989144,My diet includes a lot of things I should cut out. Maple bars. Midnight spoonfuls of peanut butter. Cookie dough. But you know what it doesn’t include? Classified documents.,RepSwalwell
31,2022-02-10 23:55:16+00:00,1491923754439647238,The House should immediately investigate a possible Trump theft of top secret documents. https://t.co/n4xIHRC4ym,RepSwalwell
32,2022-02-10 19:31:23+00:00,1491857345097392128,#OutOfPlaceMace,RepSwalwell
33,2022-02-10 19:27:17+00:00,1491856316192948224,It’s pretty rich to say #LowCountryFirst while standing in front of a New York skyscraper. https://t.co/pYAPc8pZXT,RepSwalwell
34,2022-02-10 18:37:08+00:00,1491843692579201026,Republicans don’t have any ideas to help you. And they can’t win elections. So they’ve gone all in on using violence as a path to power. RT if you’re choosing #VotesOverViolence this Fall. https://t.co/8G0Dc2e1Qf,RepSwalwell
35,2022-02-10 05:28:46+00:00,1491645295192678405,Boom! Congrats to #NathanChen on the free skate gold medal for @TeamUSA at @Olympics! #TeamUSA 🇺🇸🇺🇸🇺🇸,RepSwalwell
36,2022-02-10 04:54:20+00:00,1491636628129030146,Would she melt for Justice Dreyer’s decisions or have a thirst for Justice Sodamayor? https://t.co/mGLv3FJvD7,RepSwalwell
37,2022-02-10 03:04:12+00:00,1491608912512098311,Don’t threaten America with a good time. https://t.co/BSHGwh1u8c,RepSwalwell
38,2022-02-10 02:51:09+00:00,1491605629051490304,Twitter is undefeated. https://t.co/WvIITToq3I,RepSwalwell
39,2022-02-09 23:47:25+00:00,1491559390842925058,I just signed on to @RepMTG’s Hibiscus Corpus motion on behalf of January 6 inmates.,RepSwalwell
40,2022-02-09 22:21:23+00:00,1491537742018322434,"Let me see your peppers! 

h/t @kpfiddler https://t.co/j0hqxIotHl",RepSwalwell
41,2022-02-09 20:54:04+00:00,1491515768441344006,"**Until he was publicly neutered by @TuckerCarlson, @tedcruz called January 6 a “terrorist attack.” https://t.co/kOupZID2gr",RepSwalwell
42,2022-02-09 18:05:45+00:00,1491473408890228736,@ItsStephPerera Waylay still around?,RepSwalwell
43,2022-02-09 17:08:53+00:00,1491459096494903296,"Senator, this is one of the grossest, despicable things you’ve posted *And there’s stiff competition* Like millions of Americans, I have addicts in my family. Addiction is hell. There’s no silver bullet. Some treatments work better for some. This is cheap and only sets us back. https://t.co/wxIshvFNbC",RepSwalwell
44,2022-02-09 15:24:53+00:00,1491432924553826304,"Why am I so energetic today? Oh, maybe because it’s the first night in 3 months that my 3-year-old didn’t climb into my bed at 3am. So, how did I do it??! Old. Fashioned. Bribery. She has a new Rapunzel dress on its way. Charge me.",RepSwalwell
