,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:37:02+00:00,1496584910181650435,The President has no authority to engage in or provoke a war with Russia. I joined 42 members of Congress in a bipartisan letter to remind the President that Congress alone has the authority to declare war. https://t.co/YuPZoNPcW8,RepThomasMassie
1,2022-02-23 01:25:49+00:00,1496295197805793285,@comcentrate1 There’s more to NPK than N.,RepThomasMassie
2,2022-02-23 01:21:41+00:00,1496294155307425796,"Think food prices are high now?

We import $700 million of fertilizer from Russia every year.",RepThomasMassie
3,2022-02-23 01:11:34+00:00,1496291611818569732,Used car prices are up 40%. Exactly how is this due to corporate greed and price gouging? @SenWarren,RepThomasMassie
4,2022-02-23 01:03:29+00:00,1496289578612895749,I see a mayor who is a tyrant. https://t.co/hDJC0QJ6NC,RepThomasMassie
5,2022-02-23 00:41:14+00:00,1496283978399195136,1913 “trust us” they said. “The federal income tax will only apply to a few people and it won’t be much.” Repeal the 16th amendment. https://t.co/jDIlECff6F,RepThomasMassie
6,2022-02-22 19:54:02+00:00,1496211703121555463,"$58,000 per household. That’s how much money the federal government spent in the name of COVID.

Even if you consider the vaccines a success, they allegedly cost less than $50 each.

Where was all that money spent? What could your family have done with $58,000 ?",RepThomasMassie
7,2022-02-22 18:19:04+00:00,1496187803797008386,"@FraserFaithful Yes, the tax was significantly increased under Clinton, but the double taxing began in 1984.",RepThomasMassie
8,2022-02-22 16:26:56+00:00,1496159580774141956,"Joe Biden's only got one gear and that's grumpy, old man. https://t.co/fXDn9mNVzD",RepThomasMassie
9,2022-02-22 16:18:13+00:00,1496157390600867848,"Did you know social security is taxed twice? Once when the money is deducted from your paycheck, and then again (for most people) when you receive the benefit.

My bill, HR 6590, the Senior Citizens Tax Elimination Act would eliminate the double-tax on Social Security benefits.",RepThomasMassie
10,2022-02-21 22:26:04+00:00,1495887572874240006,Tune in! https://t.co/vP323CrksP,RepThomasMassie
11,2022-02-21 19:36:14+00:00,1495844835483439109,"Tell us you’re ignorant to the fact that this virus is circulating in over 100 species of mammals, without telling us you’re ignorant to the fact that this virus is circulating in over 100 species of mammals. https://t.co/2HUXDsTYSb",RepThomasMassie
12,2022-02-21 03:41:45+00:00,1495604628758700036,"Inflation this year will more than cancel the benefit of the $1200, $600, and $1400 stimulus checks. Most of the money printed and spent by the government did NOT go to American families.",RepThomasMassie
13,2022-02-20 23:42:02+00:00,1495544305338961920,"""Having a gun is by far the safest course of action when people are facing a criminal by themselves.” -@JohnRLottJr
https://t.co/dLKrCQKwvK",RepThomasMassie
14,2022-02-20 02:30:27+00:00,1495224298369433605,"Our country was founded on the principles of personal liberty, economic freedom, and constitutionally limited government.

None of those principles can prevail under a government that can freeze monetary transactions.",RepThomasMassie
15,2022-02-19 04:15:24+00:00,1494888322304548866,Called it. https://t.co/fkFHS6lDzT,RepThomasMassie
16,2022-02-19 00:51:56+00:00,1494837119361159173,https://t.co/pQk4WIUxIE https://t.co/XkbxEbKzPZ,RepThomasMassie
17,2022-02-19 00:02:04+00:00,1494824570548899842,"@rachael_switzer @CDCgov We raise meat birds and egg layers.

For meatbirds, We use a self propelled chicken tractor I designed, and usually raise Cornish-cross on organic feed and pasture.

The eggs layers are a mixed batch. Golden Comets, buff Orpington, etc.

And we have a few ducks for eggs and meat.",RepThomasMassie
