,Datetime,Tweet Id,Text,Username
0,2022-02-23 19:11:00+00:00,1496563260052721668,"Episode four of Tennessee Talks is now available. Former U.S. Ambassador to Poland Victor Ashe joins me to discuss the ramifications of Putin's invasion of Eastern Ukraine and the importance of American energy independence in foreign policy. Listen below!
https://t.co/pm3XRLw9ov",RepTimBurchett
1,2022-02-22 22:43:20+00:00,1496254306605019138,My statement on Russia's invasion of Eastern Ukraine and the sanctions announced by President Biden this afternoon: https://t.co/mVdGCanMUN,RepTimBurchett
2,2022-02-21 13:00:00+00:00,1495745118829117442,"Today we celebrate the leaders who shaped the United States into the free and prosperous nation we are proud to call home. Happy Presidents' Day, East Tennessee! https://t.co/xZYEKTEeOC",RepTimBurchett
3,2022-02-18 21:49:28+00:00,1494791201203101696,Proud to introduce this legislation with @RepCohen. Southeastern communities should be able to evaluate if the salaries of TVA's key decision makers match the service provided by @TVAnews. https://t.co/zytjA6FLey,RepTimBurchett
4,2022-02-18 14:36:03+00:00,1494682127094398986,Jim Hagedorn and I both entered Congress in 2019. He was a genuine person and I considered him a good friend. My prayers are with Representative Hagedorn’s family today.,RepTimBurchett
5,2022-02-17 21:30:57+00:00,1494424153453211648,"Congress needs to sign off on whatever nuclear deal the Biden administration attempts to cut with the Iranian Regime. Proud to join @RepGallagher, @RepWaltzPress and hundreds of my Republican colleagues on this effort. https://t.co/bkoyGMWT1S",RepTimBurchett
6,2022-02-17 21:07:32+00:00,1494418257029312512,I was incredibly blessed to be able to adopt my daughter Isabel. She and Kelly are the best parts of my life. I completely agree with @GovBillLee -- adoption is love. It made my family complete. https://t.co/uWFBETio2L https://t.co/44STAA88H8,RepTimBurchett
7,2022-02-17 19:41:57+00:00,1494396720423350279,Congratulations to @ClarenceSexton on expanding @CrownCollege's cosmetology school! I was proud to join @GlennJacobsTN to cut the ribbon and open these new facilities that will prepare students to earn a quality living through a skilled trade. https://t.co/kicPCJRdtp,RepTimBurchett
8,2022-02-16 20:36:40+00:00,1494048102445113353,"Far left school boards are robbing America’s children of a quality education. Woke hysteria in schools in San Francisco and across the country needs to end. It’s time parents take back their schools. 

Read more from @FoxNews 👇👇👇
https://t.co/FCNr8emtzs",RepTimBurchett
9,2022-02-16 15:01:46+00:00,1493963824382324742,President Biden’s DOJ and the mainstream media are ignoring bombshell revelations about Hillary Clinton’s illegal surveillance of former President Trump. Republicans will hold the spies accountable. https://t.co/NWseBRIcAv,RepTimBurchett
10,2022-02-15 17:42:21+00:00,1493641848795062272,Below is my statement reflecting on this solemn anniversary. https://t.co/rKKoyALvFB,RepTimBurchett
11,2022-02-15 17:42:20+00:00,1493641844349145102,"Taliban terrorists seized Kabul, the capital city of Afghanistan, six months ago today. https://t.co/kU3arVj6of",RepTimBurchett
12,2022-02-14 17:38:14+00:00,1493278424785461248,Democrats own “Defund the Police” and the crime surge that came with it. Speaker Pelosi’s talk means nothing unless her members quit pushing this dangerous idea. https://t.co/7R1hFYBKCQ,RepTimBurchett
13,2022-02-11 21:26:45+00:00,1492248766442881029,".@SecMayorkas is using tax dollars to secretly fly illegal immigrants into Tennessee and across the country. He's making the TSA accept ARREST WARRANTS as a form of ID to board the planes. He's no leader, he's a crime enabler. It's time for him to resign. https://t.co/Ypico2WrNt",RepTimBurchett
14,2022-02-11 18:08:43+00:00,1492198929395560451,Our government shouldn't normalize relations with Taliban terrorists holding an American citizen hostage in Afghanistan. President Biden needs to quit insisting he handled last summer's botched withdrawal the right way and start answering questions from @HouseForeignGOP. https://t.co/Kfm9cZ31FQ,RepTimBurchett
15,2022-02-10 23:14:37+00:00,1491913523957542912,TUNE IN 📺: I’ll be on @FoxBusiness with @LizMacDonaldFOX at 6:35 p.m. to discuss skyrocketing energy prices and the situation in Ukraine.,RepTimBurchett
16,2022-02-10 22:29:38+00:00,1491902204176965634,"Nuclear power supports good paying jobs while keeping energy prices stable for consumers. Increasing domestic nuclear production is the future of American energy independence, and I am excited @TVAnews innovators are working towards expanding its use in the Southeast. https://t.co/F1tyKvpiCD",RepTimBurchett
17,2022-02-10 20:02:37+00:00,1491865205399330819,"Last time inflation was this high, I was working the video expo at the 1982 World’s Fair in Knoxville. #Bidenflation https://t.co/kjO6nkhDRS",RepTimBurchett
18,2022-02-10 17:20:47+00:00,1491824480993394689,"I’m proud Republicans have solutions, like permanently classifying fentanyl analogs as Schedule I drugs and my Fentanyl Trafficker Elimination Act, to this administration’s inaction. https://t.co/Fu5jjWSesx",RepTimBurchett
19,2022-02-10 17:20:47+00:00,1491824479441494021,"Dirtbag drug dealers are killing Americans by cutting marijuana, cocaine, and other recreational drugs with synthetic fentanyl. President Biden should have done something to stop the flow of this deadly drug into our country a long time ago. https://t.co/MgKPCMlqYz",RepTimBurchett
20,2022-02-10 16:05:10+00:00,1491805451997962250,"Inflation is the only thing that’s booming in Biden’s failing economy.
January’s 7.5% inflation rate is the highest recorded rate in 40 years, and marks the eighth straight month of inflation over 5%. https://t.co/86AXnoznNe",RepTimBurchett
21,2022-02-09 21:08:17+00:00,1491519344135872521,"Eric Flannery, owner of @thebigboarddc, is my guest on this week's episode of Tennessee Talks. Eric is fighting for what is right, and I hope his story inspires other small business owners to stand up to ridiculous coronavirus mandates wherever they exist. https://t.co/io7xfdJnm5",RepTimBurchett
22,2022-02-09 20:20:19+00:00,1491507273138589701,"I give TVA credit for improving its transparency in recent years, but my fellow colleagues from Tennessee’s congressional delegation and I want to make sure that transparency continues. TVA should always allow the folks in communities it serves to look under the hood.",RepTimBurchett
23,2022-02-09 20:20:19+00:00,1491507271595134981,"Today, @RepCohen and @RepMarkGreen joined me in introducing the Tennessee Valley Authority Transparency Act, legislation that requires @TVAnews  to ensure it's decision-making process is open and accessible to the public. https://t.co/7kHBABaMYy",RepTimBurchett
24,2022-02-09 20:15:28+00:00,1491506051228872705,Our government needs to stop fentanyl from entering the United States NOW. We can't just slap some financial sanctions on drug smugglers and hope that solves the problem. Elected leaders need to put politics aside and work together to keep this deadly drug out of our communities. https://t.co/O6f4hX7tqj,RepTimBurchett
25,2022-02-08 23:44:45+00:00,1491196333558222849,"For the 16th time since I came to Congress in 2019, I voted against using a continuing resolution to temporarily fund the government. 

Our national debt just exceeded $30 trillion. Getting our fiscal house in order starts by setting a BUDGET and funding the government ON TIME.",RepTimBurchett
26,2022-02-08 20:13:36+00:00,1491143194025013249,"I'm praying for the family of Chris Jenkins, a Deputy Sergeant with the Loudon County Sheriff's Office who was killed while on duty last Thursday. He was a military veteran and a hero whose life was cut short, but his impact on our community will live on long into the future. https://t.co/eUpcuvD2ti",RepTimBurchett
27,2022-02-08 14:48:16+00:00,1491061323538780163,"I applaud Israel and Bahrain for taking serious steps toward achieving peace in the Middle East. By signing a security cooperation agreement, these nations can strengthen their defenses against bad actors and work on bringing stability to the region. https://t.co/n9RP6etSJW",RepTimBurchett
28,2022-02-07 23:10:32+00:00,1490825335134375936,I cosponsored @RepMeuser’s bill because Tennessee’s elected leaders deserve a chance to respond BEFORE the Biden administration tries to use our taxpayer dollars to fly illegal immigrants into our state. https://t.co/gs1EYIPEdm,RepTimBurchett
29,2022-02-07 21:40:05+00:00,1490802571241574403,President Biden just said a Russian invasion of Ukraine means there will be no Nord Stream 2 pipeline. We shouldn't wait for an invasion. President Biden must demand Chancellor Scholz end the pipeline now before it is complete and reduce Germany's reliance on Russian natural gas. https://t.co/qHt3zB4fNg,RepTimBurchett
30,2022-02-07 18:57:37+00:00,1490761685862387713,"The United States needs strong policies that crack down on China's government, not the weak bill House Democrats brought to the floor last week. Check out my latest op-ed about an appropriate response to the CCP by our government.
https://t.co/d8E357LhIT",RepTimBurchett
31,2022-02-07 18:57:37+00:00,1490761684511870978,"The CCP hopes the Olympic Games will distract the world from heinous acts like this as well as aggression towards Taiwan and theft of American intellectual property. As Americans watch the Winter Olympics, they must remember Communist China's hostilities.",RepTimBurchett
32,2022-02-07 18:57:36+00:00,1490761683245088774,"A Uyghur skier carried the Olympic torch to open the games, then immediately disappeared from the spotlight. Tennis star Peng Shuai is attending the Olympic Games, reemerging from a mysterious disappearance after accusing a #ChineseCommunistParty official of sexual assault.",RepTimBurchett
33,2022-02-04 21:26:18+00:00,1489711937642541061,I tried to introduce an amendment to today's bogus China competition bill that would protect Americans' intellectual property from being stolen by the #ChineseCommunistParty. Democrats rejected it. We can never hope to compete with the CCP if we keep letting them steal our ideas. https://t.co/wb7ruCdWJN,RepTimBurchett
34,2022-02-04 19:39:01+00:00,1489684941843615748,The America COMPETES Act  is a missed opportunity for us to counter the #ChineseCommunistParty. This bill does practically nothing to bolster the American economy or crack down on Communist China. https://t.co/JPwwRB1nG8,RepTimBurchett
35,2022-02-03 23:19:25+00:00,1489378016815947778,"I and other House Republicans tried to amend the Democrats’ do-nothing bill in an effort to actually accomplish something to counter China’s anti-competitive practices, but the Dems said “NO WAY!” https://t.co/b2RwlZtM0q",RepTimBurchett
36,2022-02-03 23:16:23+00:00,1489377255939837954,"Fentanyl is flooding through the gaps in our southern border and killing more Americans than ever before. Biden cannot waste another day ignoring this crisis, he needs to secure our border before this deadly drug claims even more American lives. https://t.co/ff0wy0ggLs",RepTimBurchett
37,2022-02-03 16:11:49+00:00,1489270407249248266,"Going after #ISIS leader Abu Ibrahim al-Hashimi al-Qurayshi was the right decision by @POTUS. It’s terrible and tragic that innocent civilians, including children, were killed. The fact terrorists like al-Qurayshi hide behind children shows they’re just cowardly scumbags. https://t.co/tac0u0elQw",RepTimBurchett
38,2022-02-02 21:41:16+00:00,1488990928966754310,"Cancel vaccine mandates, not @thebigboarddc. https://t.co/MZuAm58PKE",RepTimBurchett
39,2022-02-02 20:53:40+00:00,1488978949413777411,"Republicans have serious alternatives - like protecting Americans' intellectual property and sensitive information from CCP exploitation - to the Democrats' weak policies in their so-called ""competition"" bill. Read more in my latest op-ed for @thehill. https://t.co/hRV1LNJowO",RepTimBurchett
40,2022-02-02 20:53:39+00:00,1488978947484303361,Spending billions of dollars on woke climate and social justice initiatives has absolutely nothing to do with the United States' ability to compete with the #ChineseCommunistParty.,RepTimBurchett
41,2022-02-02 18:30:14+00:00,1488942854965714945,Saving America's fiscal future starts with spending less and stopping Biden's Build Back Broke Act. https://t.co/OhNtFVQfoB,RepTimBurchett
42,2022-02-02 17:12:38+00:00,1488923326479224832,No American troops should die fighting a war in Ukraine. Period. https://t.co/okzhHrgSTb,RepTimBurchett
43,2022-02-01 19:58:30+00:00,1488602679802839045,"Democrats' COMPETES Act is not about keeping up with the #ChineseCommunistParty. The CCP is mentioned only nine times throughout this bill's nearly 3,000 pages, while the @WhiteHouse fails to mention the CCP once in its Statement of Administration Policy for this legislation",RepTimBurchett
44,2022-02-01 13:00:01+00:00,1488497364117692420,My local team will host Mobile Office Hours in February so constituents can receive federal agency assistance or share their thoughts and opinions. Appointments are not necessary. https://t.co/6BBAdweMyA,RepTimBurchett
45,2022-01-28 19:49:05+00:00,1487150759254892555,Thank you to the Optimist Club of Knoxville for inviting me to share a Washington update with them this afternoon! https://t.co/U5imwPhLur,RepTimBurchett
46,2022-01-27 18:38:54+00:00,1486770710429290510,On International Holocaust Remembrance Day we remember the 6 million Jewish victims who were murdered and millions of others who suffered under the Nazi regime. #Neverforget https://t.co/xT3tcJBKB8,RepTimBurchett
47,2022-01-26 20:11:39+00:00,1486431663450116101,Democrats in Washington tried to seize control of Tennessee's election laws and fortunately they failed miserably. Here are some of the ways they would have forced Tennessee leaders to change our election laws without our consent. https://t.co/0okKf6ebOr,RepTimBurchett
48,2022-01-26 19:04:25+00:00,1486414742709280773,"Blount County Sheriff James Berrong joined Tennessee Talks to discuss surging crime in America, why defunding the police is a terrible idea and how his department is fighting the opioid epidemic. Click below to listen! https://t.co/jOtcjwyt4e",RepTimBurchett
49,2022-01-25 22:00:29+00:00,1486096663244685324,"NATO members, like Germany, need to do more to counter Russian aggression. Chancellor Scholz must immediately shut down the Nord Stream 2 pipeline. Relying on Russian natural gas gives Putin influence over Europe and its a mistake to reward his current behavior.",RepTimBurchett
50,2022-01-25 22:00:29+00:00,1486096662275796993,"The Biden administration's disastrous foreign policy emboldened Putin. After allowing construction to resume on Putin's Nord Stream 2 pipeline, failing to nominate a U.S. Ambassador to Ukraine and the botched Afghanistan withdrawal, Putin sensed weakness and moved on Ukraine.",RepTimBurchett
51,2022-01-25 22:00:28+00:00,1486096659834720256,Vladimir Putin's goal to bring back the Soviet Union starts in Ukraine. NATO needs to respond to his aggression by providing Ukraine with enough military resources to defend itself. I do not want any American troops to die fighting in Ukraine if Russia invades.,RepTimBurchett
52,2022-01-25 20:59:05+00:00,1486081211579707394,".@repjimcooper is a friend, and he'll be missed in the House of Representatives. I wish him the best in his retirement.",RepTimBurchett
53,2022-01-24 17:23:01+00:00,1485664447398133762,Another judge rules Biden's vaccine mandates are a ridiculous overstep in executive authority. https://t.co/XIcj1GKuuv,RepTimBurchett
54,2022-01-21 18:00:01+00:00,1484586597043429376,"I cosponsored these bills to protect babies from being killed in the womb and prevent tax dollars from funding abortions. House Democrats refuse to bring any of these common sense pro-life measures up for a vote, but I will never stop fighting for these babies' lives. https://t.co/gpYiOIZ02c",RepTimBurchett
55,2022-01-21 14:47:14+00:00,1484538079067226112,"We can all agree it's wrong to take someone's life, but when does a baby's life start? Pro-abortion Democrats refuse to answer this simple question. It's time they start following the science and realize those little babies in the womb are human beings who are worthy of life. https://t.co/LRXBRjBz2D",RepTimBurchett
56,2022-01-20 18:27:10+00:00,1484231042630397959,"Joe Biden and the Democrats said the nearly $2 trillion American Rescue Plan would shut down the coronavirus. It didn't. This failed legislation proved two things: 

1. Congress cannot spend away a problem
2. Democrats will always use a crisis to advance their political agenda https://t.co/9z5o9GtcHr",RepTimBurchett
57,2022-01-20 17:33:48+00:00,1484217609587408905,"Read more about the Fentanyl Trafficker Elimination Act on @FoxNews. Thank you @RepTiffany, @RepMichaelGuest and @RepBrianFitz for joining this legislation as original cosponsors. (3/3) https://t.co/dawcnoYkyc",RepTimBurchett
58,2022-01-20 17:33:47+00:00,1484217607716843520,"My new legislation, the Fentanyl Trafficker Elimination Act, would increase the criminal sentence for trafficking fentanyl to life imprisonment. Smugglers better be ready to spend the rest of their lives in prison if they willingly bring illegal fentanyl across our borders. (2/3)",RepTimBurchett
59,2022-01-20 17:33:47+00:00,1484217605972021258,THREAD: Smugglers aren’t deterred by the existing penalties for trafficking fentanyl into the United States. No longer can we shrug off this criminal activity that is responsible for killing hundreds of thousands of Americans. (1/3),RepTimBurchett
60,2022-01-19 22:52:46+00:00,1483935492617998342,"Many Second District constituents have contacted my office about delayed mail delivery at Maryville’s @USPS facility. Management at this facility needs to fix this issue, immediately resume mail delivery, and explain to East Tennesseans how it will avoid future service failures.",RepTimBurchett
61,2022-01-19 20:18:26+00:00,1483896654486982663,"John Rice Irwin opened the @MuseumofApp to tell the stories of our historic Appalachian community, and I proudly display some artifacts from his museum in my Washington office. John passed away a few days ago and I celebrated his life on the House floor. https://t.co/xPaV3IKR3K",RepTimBurchett
62,2022-01-19 16:40:03+00:00,1483841696479784961,"I am proud to receive an A+ from @SBAList's pro-life scorecard, which tracks my record of standing up to pro-abortion Democrats. I will always vote to protect our sweet little babies from the horrors of abortion. https://t.co/RaRo4Qra8I https://t.co/y9BH5YNdJu",RepTimBurchett
63,2022-01-17 13:00:02+00:00,1483061552005722113,Today we honor the life of Dr. Martin Luther King Jr. and the legacy he left behind. https://t.co/kjRAuibgS5,RepTimBurchett
64,2022-01-14 20:27:26+00:00,1482086980552904705,Humanitarian aid to Afghanistan will finance Taliban terrorists if it is incompetently distributed. The Biden administration needs to lay out what steps it is taking to prevent this from happening and adding more pain to last summer’s embarrassing withdrawal from the country. https://t.co/G82Ky0qgy9,RepTimBurchett
65,2022-01-13 22:47:10+00:00,1481759755530125317,The U.S. Supreme Court just confirmed what most Americans already knew: The Biden administration has no right to force private employers to fire workers based on their vaccine status. https://t.co/aWN09I9UvL,RepTimBurchett
66,2022-01-13 21:20:48+00:00,1481738022630707206,https://t.co/mBE4WMQklt,RepTimBurchett
67,2022-01-12 20:27:55+00:00,1481362326280458246,"On the first episode of Tennessee Talks, I discuss rising inflation in the American economy and its impacts on businesses with @deroyal CEO Pete DeBusk. Listen on Apple Podcasts and Spotify, or by visiting the show's official website! https://t.co/MkfQd9sHsR",RepTimBurchett
68,2022-01-12 20:27:55+00:00,1481362323856142338,"My new podcast, Tennessee Talks, is now live! I’m excited to share my views, as well feature voices from throughout our community and country, on the show. I encourage Second District constituents to tune in and hear directly from me about where I stand on important issues. https://t.co/YjiTI3cQbm",RepTimBurchett
69,2022-01-12 16:34:37+00:00,1481303613175701504,"Thanks to one year of disastrous economic policies from the Biden administration and a Congress controlled by Democrats, Americans are paying 7% more for essential goods and services. https://t.co/a4GqgnQBZ2",RepTimBurchett
70,2022-01-11 22:00:27+00:00,1481023223059951616,"The University of Georgia named a residence hall after my friend Dr. Harold Black. He was the first black student to graduate from the university's Terry College of Business, and he led an accomplished career in finance and education. This recognition is well-deserved! https://t.co/TMNqtidxRB",RepTimBurchett
71,2022-01-11 20:15:28+00:00,1480996803852267520,"Tennessee's Second District's Veteran of the Month is Petty Officer Second Class Chris Albrecht, who served in the U.S. Navy until 1974. He was just elected President of the United Veterans Council of East Tennessee’s Board of Directors, and I wish him the best in his new job! https://t.co/uf0O7DOjks",RepTimBurchett
72,2022-01-11 18:31:17+00:00,1480970585157034000,"Human traffickers enrich themselves every year by enslaving thousands of American men, women, and children. We need to recover the victims of human trafficking and prosecute every single thug in this industry to the fullest extent of the law. https://t.co/h2dF4rF7lS",RepTimBurchett
73,2022-01-01 13:00:01+00:00,1477263340732780546,https://t.co/cqYxQCYNBJ,RepTimBurchett
74,2021-12-31 19:00:00+00:00,1476991547996454912,"I’m proud of what we accomplished in DC this year, but there’s more to do. I’ll continue to fight for East Tennesseans and our conservative values. https://t.co/gBbUggrCL8",RepTimBurchett
