,Datetime,Tweet Id,Text,Username
0,2022-02-23 18:22:18+00:00,1496551002140467201,"Too often, illicit fentanyl is made in China ➡️ smuggled across the southern border ➡️ trafficked into U.S. communities.

With a lethal dose of just 2mg., fentanyl is a deadly threat. We must secure the border &amp; get tough on cartels that are preying on Americans. https://t.co/Eq1FYmeY7H",RepWalorski
1,2022-02-22 23:07:18+00:00,1496260339054350345,"Putin was wrong to invade Ukraine, and America must follow warnings with strong sanctions. Putin should never doubt that we stand with the freedom-loving people of Ukraine.
 
It's time to end Biden's war on American-made energy &amp; make our nation stronger with energy independence. https://t.co/oCTo0mg1UQ",RepWalorski
2,2022-02-22 13:47:37+00:00,1496119490005901317,"Fentanyl-laced drugs pose a deadly threat. With illicit fentanyl pouring across the southern border, every town in Michiana is a border town. We must secure the border &amp; get tough on cartels that are preying on Americans. Read more in @ElkhartTruth: https://t.co/RJzUBwDcOd",RepWalorski
3,2022-02-21 14:03:30+00:00,1495761098942914567,"From George Washington to Abraham Lincoln and beyond, our nation has been blessed by some outstanding leaders. Happy Presidents’ Day!",RepWalorski
4,2022-02-18 15:33:47+00:00,1494696655194624004,"Hoosier farmers and ag producers are the backbone of our community &amp; economy. This week, I led the Indiana GOP delegation in calling on U.S. Trade Representative Tai to prioritize solutions that ease burdens for our farmers and ag community. Read more: https://t.co/3MkSUR44mk",RepWalorski
5,2022-02-17 21:25:02+00:00,1494422662562652168,"Congratulations to Hoosier students, teachers, and families on the end of mask mandates in our schools. This is a HUGE win for our kids. https://t.co/oYTEtmdMHq",RepWalorski
6,2022-02-16 13:30:00+00:00,1493940728510222348,It was a privilege to celebrate the opening of the new Hoosier VA Clinic in Peru. This modern facility will serve thousands of veterans &amp; expand access to quality health care in our community. https://t.co/qdhoOoXNeu,RepWalorski
7,2022-02-15 19:37:47+00:00,1493670897508564994,It's unacceptable that Hoosiers &amp; Americans across the country are stuck in the massive backlog at the IRS - with no end in sight. I'm urging the IRS Taxpayer Advocate to expedite the agency's essential work to process refunds and serve taxpayers in a timely manner. https://t.co/0KCu9t8FAG,RepWalorski
8,2022-02-13 20:00:23+00:00,1492951808364494849,"This year, your Super Bowl party is going to cost more than ever. Thanks to #Bidenflation, prices for almost everything are on the rise – from the gas in your car to the wings and nachos for the game. https://t.co/W4iWgZ7YmH",RepWalorski
9,2022-02-12 19:16:30+00:00,1492578377911476232,We can't allow illicit fentanyl – often originating in China and then trafficked across the southern border – to keep killing Hoosiers. I'm calling on President Biden to get tough on the violent cartels and drug traffickers that are preying on Americans. https://t.co/mtfwHRL5Li,RepWalorski
10,2022-02-11 21:33:15+00:00,1492250404335329282,"American women deserve to know the truth about abortion pills. Too many women who take chemical abortion drugs are ending up in the ER – or worse. This week, I introduced the Safeguarding Women’s and Children’s Health Act to expose the risks and save lives.",RepWalorski
11,2022-02-11 18:18:51+00:00,1492201481537208322,Always great to see my friends from the Indiana Special Olympics. I am proud to support our Hoosier athletes and the amazing mission of the Special Olympics. https://t.co/0ydk4tMghK,RepWalorski
12,2022-02-10 19:49:22+00:00,1491861870818598920,"Inflation just hit a 40-year high. Thanks to Democrats’ reckless big-government spending, Hoosiers are paying more for groceries, gas, heat &amp; everyday necessities. Despite his empty promises, President Biden has failed to stop inflation from reaching record-breaking highs.",RepWalorski
