,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:44:17+00:00,1496586736515878913,"Democrats’ agenda is hurting American families. The radical left is destroying this country.

I put together a plan to Rescue America. You can read it at https://t.co/CwdJI67Y0H

Are you ready to take our country back? 
https://t.co/dwGMTZr840",ScottforFlorida
1,2022-02-23 17:58:33+00:00,1496545026289115137,"Great to be in Palm Beach today discussing my Rescue America plan! 

Floridians know it’s time for action to get our country heading back in the right direction. 

Learn more at https://t.co/CwdJI67Y0H! https://t.co/3rMujhsA1z",ScottforFlorida
2,2022-02-23 14:46:10+00:00,1496496611568062471,"The change we need to make is to require those who are able-bodied but won’t work to pay a small amount so that we’re all in this together. This may be a big scary statement in Washington, but out in the real world, it’s just common sense.",ScottforFlorida
3,2022-02-23 14:45:47+00:00,1496496516701331460,".@chuckschumer and the Democrats’ fake outrage about my plan further illustrates just how out of touch they are with the American public. Americans want everyone to pay their fair share. Working Americans all pay taxes on their income, and retirees already paid plenty.",ScottforFlorida
4,2022-02-23 14:26:58+00:00,1496491778882555912,"Great nations don’t automatically last forever and it is time to take our country back from the radical, woke Left that is destroying America as we know it.

That’s why I released my 11-point plan to Rescue America.

Check it out at https://t.co/CwdJI67Y0H!",ScottforFlorida
5,2022-02-23 11:17:43+00:00,1496444155362426895,"Starting the day bright and early with @hughhewitt at 6:30 to talk about my plan to Rescue America and the situation in Ukraine. 

Read my plan at https://t.co/CwdJI67Y0H and tune in to listen live! 

https://t.co/vaFTfSk7oa",ScottforFlorida
6,2022-02-23 03:29:44+00:00,1496326380631511049,"I have successfully triggered @chuckschumer and @JoeBiden today. They are spitting mad and not making any sense, lashing out with crazy talk. Meanwhile the shelves are empty, gas has more than doubled, the border is being invaded and crime is everywhere. https://t.co/l6zmZuZL1W",ScottforFlorida
7,2022-02-23 01:03:13+00:00,1496289509327216647,"🚨I believe Americans deserve to know what Republicans would do when given the chance to govern and save our country from these radical liberals. That’s why I put out my 11-point plan to Rescue America. 

I’ll be talking to @seanhannity tonight at 9:30PM! https://t.co/toUCX1MBi7",ScottforFlorida
8,2022-02-23 00:40:40+00:00,1496283836489027585,"Chuck is still mad that he spent $65 million lying about me in 2018 and lost.  He’s lying again. 

Democrats know their agenda is failing American families and they’re going to lose again in November. 

Check out my plan for yourself at https://t.co/CwdJI67Y0H. https://t.co/ss5l0Uflbr",ScottforFlorida
9,2022-02-22 22:44:00+00:00,1496254473030746131,We need to get Americans back to work. Making sure every American has skin in the game is a way to do it and the American people agree.,ScottforFlorida
