,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:58:37+00:00,1496590339951448074,"Hear more from Tyrone and other honorees next week during a special, virtual #BlackHistoryMonth event: Resilience in the Face of Adversity. Register here at https://t.co/hJ0dhbxsXC.",SenBobCasey
1,2022-02-23 20:58:36+00:00,1496590336789041158,"Our final honoree for next week's #BlackHistoryMonth celebration is Tyrone Holmes, President of the Lackawanna County NAACP Branch: https://t.co/eOyEG41lgH",SenBobCasey
2,2022-02-23 00:08:00+00:00,1496275612842946560,"I'm working with my colleagues to pass legislation that would ban Members of Congress from stock trading. Senators and representatives are elected to deliver for their constituents, not use confidential information to enrich themselves.",SenBobCasey
3,2022-02-22 22:47:00+00:00,1496255228751986694,I'm looking forward to hosting a discussion with four distinguished Black community leaders in Pennsylvania during next week's #BlackHistoryMonth event: Resilience in the Face of Adversity. Register to join me: https://t.co/kvUqdFHagG,SenBobCasey
4,2022-02-22 21:41:05+00:00,1496238641114398729,Home care workers and caregivers make it possible for seniors and people with disabilities to receive care in their homes. They allow millions of Americans to live independently. The #BetterCareBetterJobs Act invests in their jobs.,SenBobCasey
5,2022-02-22 14:40:47+00:00,1496132868820586500,"Thomas Morris Chester (1834-1892), born in Harrisburg, was a lawyer, civil rights activist, soldier &amp; the only Black war correspondent for a major daily newspaper during the Civil War. In 1870, ​​​​​​​he became the first African American barrister in England. #BlackHistoryMonth https://t.co/bisY9axJrX",SenBobCasey
6,2022-02-21 15:18:00+00:00,1495779846307434503,"This Presidents Day, we remember and celebrate America's Presidents and system of government. Since 1789, Presidents have served the Nation and guided us through both our best and worst times.",SenBobCasey
7,2022-02-20 18:27:00+00:00,1495465021865967620,"My offices in D.C. and Pennsylvania are accepting applications for summer internships. Visit my website to learn more about this full-time, paid ($15 an hour) opportunity⬇️https://t.co/shQY2lkuAy https://t.co/QsSvVGL9Nl",SenBobCasey
8,2022-02-20 14:15:10+00:00,1495401647085916172,"China’s trade abuses are a threat to American workers and our continued economic recovery. We’re in an economic war—whether we want to call it that or not—and we must ensure that any and all trade bills being considered include pro-worker, pro-environment provisions. https://t.co/tVfGzGolYa",SenBobCasey
9,2022-02-19 20:39:00+00:00,1495135852590075904,More than 2/3 of Pennsylvanians are fully vaccinated against COVID-19. Are you? https://t.co/rtkDfm3dKG,SenBobCasey
10,2022-02-19 16:14:00+00:00,1495069163223539716,The #BetterCareBetterJobs Act is more than a transformative investment in the health and independence of our fellow Americans. It's also an investment in our economy and good-paying jobs.,SenBobCasey
11,2022-02-18 23:02:26+00:00,1494809560124727303,"America will continue to stand firm with our NATO and European allies against Putin’s aggression and disinformation. The Kremlin is overtly stoking the flames of war as pretense, from lying to the UN Security Council to the apparent false flag attack in Donbas.",SenBobCasey
12,2022-02-18 22:39:00+00:00,1494803663792992257,"Home-based care allows millions of seniors and people with disabilities to live independent lives in their homes and as full members of their communities.

My #BetterCareBetterJobs Act would help them and the hundreds of thousands on waiting lists to receive home care.",SenBobCasey
13,2022-02-18 20:25:13+00:00,1494769999344545792,"OTD in 1688, the first-ever protest against slavery made by a religious body in the Thirteen Colonies took place in what is now Philadelphia. The Germantown Quaker Petition became the first American document that called for equality regardless of race. #BlackHistoryMonth https://t.co/c3wkUsZWph",SenBobCasey
14,2022-02-18 17:59:56+00:00,1494733433528016901,"Medicare is one of America's greatest success stories, but we need to make sure people can make the most of the benefits they've earned. That's why I'm introducing the bipartisan BENES 2.0 Act to ensure that fewer people miss the deadline to enroll. https://t.co/qYdgYO8xPO",SenBobCasey
15,2022-02-18 16:42:00+00:00,1494713822107639812,ICYMI: Each household in the United States is eligible for four free at-home COVID-19 tests. Order yours here: https://t.co/uqzmK8KQJ1,SenBobCasey
16,2022-02-18 15:24:17+00:00,1494694263174668290,"Home care workers and caregivers perform some of the most important work in the country. Because of them, millions of seniors and people with disabilities are able to live independently in their communities.

They are heroes. #NationalCaregiversDay #thankacaregiver",SenBobCasey
