,Datetime,Tweet Id,Text,Username
0,2022-02-23 19:52:42+00:00,1496573755543461889,Nearly half of Utah’s Navajo Nation does not have running water in their homes. Appreciate @SecDebHaaland's work in implementing funds provided from our bipartisan infrastructure bill to fulfill critical water needs for tribal communities in Utah.https://t.co/f5FFUCfF87,SenatorRomney
1,2022-02-23 15:15:33+00:00,1496504006855868421,"Thanks to our responsible state and local leaders, Utah remains one of the best-managed states in the country–a quality I strive to emulate in Washington. Honored to speak with the Utah legislature on our efforts to support the unique needs of our state here at home and in D.C. https://t.co/wkAYs8tbep",SenatorRomney
2,2022-02-18 17:37:09+00:00,1494727702007496705,"Americans who rely on federal programs, like Medicare and Social Security, could be cut off from their benefits if our federal trust funds go bankrupt. In order to save these programs, we must solve our imbalances. The TRUST Act is the right place to start. https://t.co/c4UnMgdtb3",SenatorRomney
3,2022-02-18 16:34:58+00:00,1494712054317473800,"Our bipartisan infrastructure bill includes clear provisions for upgraded and expanded surface transportation systems, which are critical to growing states like Utah. The Administration must implement our bill faithfully to the legislative text. https://t.co/MvyVpMqChK",SenatorRomney
4,2022-02-18 14:57:35+00:00,1494687547703934989,"Federal trust funds, which finance some of our most important federal programs, are on the brink of insolvency. For America to remain strong, we must salvage our fiscal health. Our debt must not overwhelm our nation's capacity to provide for itself and remain a global leader. https://t.co/ZaNd0jkbBv",SenatorRomney
5,2022-02-18 14:07:42+00:00,1494674992520482820,"Throughout history, a leading characteristic of failed nations has been spending excessive amounts of borrowed money. China is on track to surpass the U.S. economically, militarily, and geopolitically. To keep America strong for years to come, we must address our debt crisis. https://t.co/3YmhHX2AyD",SenatorRomney
6,2022-02-18 00:45:15+00:00,1494473050254888961,Debt and insolvency are major threats to our nation’s security and economic wellbeing. I introduced the bipartisan TRUST Act to help us change course—establishing rescue committees to examine each of our endangered federal trust funds and develop saving solutions. https://t.co/m8F8vMQwsD,SenatorRomney
7,2022-02-17 23:16:32+00:00,1494450722842284034,"Americans are struggling with high inflation. The Administration should never have spent massive amounts of COVID relief dollars when states were already flush with funds. That, coupled with the Federal Reserve’s inaction on rates, has only worsened our nation’s fiscal crisis. https://t.co/peOVodZmz3",SenatorRomney
8,2022-02-17 22:33:51+00:00,1494439981326209026,Congratulations to Salt Lake’s @BrittanyBowe on her bronze medal. She is a true embodiment of what it means to be a @TeamUSA Olympic athlete and a leader—and we could not be more proud 🇺🇸 https://t.co/4GufTWYvhJ,SenatorRomney
9,2022-02-17 19:44:51+00:00,1494397451188514823,"Vaccinated people are far less likely to be hospitalized or die from COVID-19, but breakthrough cases are still possible. It’s imperative that the Administration support the development of next-generation vaccines, particularly as new variants emerge.https://t.co/yQwu6KPI0y",SenatorRomney
10,2022-02-17 16:34:19+00:00,1494349499594158081,The CCP’s atrocities against its minorities—particularly the Uyghur people—include genocide and crimes against humanity. Met with @EnesFreedom to discuss China’s human rights abuses and our shared gratitude to live in a country that honors freedom of expression. https://t.co/9HbH3phVEc,SenatorRomney
11,2022-02-17 14:18:26+00:00,1494315306445160449,"From Garland, Utah, to the skies over Berlin, ‘Candy Bomber’ Colonel Gail S. Halvorsen epitomized the defining characteristics of the Greatest Generation. May he ever remind us that hope always exists, even in our darkest hour. Rest in peace to one of the world’s finest men. https://t.co/0VZiZduzbe",SenatorRomney
12,2022-02-16 22:37:44+00:00,1494078571966517248,Keeping these @HAFB Airmen in our prayers as they deploy to Germany. Thank you for your service and commitment to protecting our democratic values abroad. https://t.co/OwMdu4YBN0,SenatorRomney
13,2022-02-16 22:00:18+00:00,1494069149794017284,The Uinta Basin Railway will be key to the region’s economic future. Met with Duchesne County Commissioner Greg Todd and County Recorder &amp; @uac29 President Shelly Brennan for an update on the railway project. Grateful for their efforts to foster further economic development. https://t.co/C5X2xhI1Au,SenatorRomney
14,2022-02-16 17:14:45+00:00,1493997287818907652,"He’s unstoppable! Salt Lake City resident @NickGoepper has earned his way onto the podium in every Olympics he’s competed in. Congratulations on earning silver, Nick! https://t.co/Yt5NP2LCb0",SenatorRomney
15,2022-02-16 16:12:01+00:00,1493981502979325954,"Park City resident and @UUTah student Alex Hall could not be beaten. Alex, congratulations on an incredible run and well-deserved gold medal. You make us proud! https://t.co/Ch5ovV7Z9R",SenatorRomney
16,2022-02-16 14:57:42+00:00,1493962800007364610,Utahns are dominating the podium in Beijing. Congratulations to Utah freestyle skiers Alex Hall and @NickGoepper on your 1-2 finish in slopestyle! https://t.co/XCrtANVgll,SenatorRomney
17,2022-02-15 23:15:31+00:00,1493725691103305728,"Because China's geopolitical power is growing at an alarming rate, we must be united with allies like Australia to maintain global order &amp; promote our values abroad. Met with @AmbCKennedy, Amb. to Australia nominee, to discuss efforts to push back against the CCP's malign regime. https://t.co/JHeCrisEpS",SenatorRomney
18,2022-02-15 19:55:21+00:00,1493675319282343943,"Park City’s Casey Dawson found his way to the podium with a bronze medal, following a whirlwind of delays in getting to Beijing. Congratulations to Casey and the entire team! https://t.co/tUrYREZm3S",SenatorRomney
