,Datetime,Tweet Id,Text,Username
0,2022-02-23 21:29:38+00:00,1496598146654171136,"Stopped by Columbia Falls City Hall to discuss key infrastructure projects, supporting our first responders, and ensuring the CFAC Plant gets a proper cleanup. https://t.co/jnAi2utDP6",SenatorTester
1,2022-02-23 19:38:26+00:00,1496570164069998600,"KALISPELL: $14.5 million is coming to Glacier Park International Airport from my bipartisan infrastructure law.

We’re going to grow our economy and create jobs by making critical transportation upgrades, which will drive down prices and keep Montanans connected. https://t.co/vW7XQSRyNV",SenatorTester
2,2022-02-23 17:02:31+00:00,1496530927446544387,"Talked housing, workforce, high-speed internet, and more with the Flathead Area Young Professionals. These young leaders are putting the work in to improve their communities, and their input is crucial as we fight to address the needs of Montana families. https://t.co/rtmzLmIYKd",SenatorTester
3,2022-02-23 15:55:33+00:00,1496514073776861189,"Spent some time this morning touring the Kalispell Veterans Center and hearing about the local needs of our vets. Grateful for the folks working hard to get our fighting men and women good care, and I’ll keep working in Washington to get them the resources they need. https://t.co/aKyNgde27i",SenatorTester
4,2022-02-23 14:49:58+00:00,1496497568335171587,No better way to start a day in Kalispell than talking with John and Robin at @KGEZ1! https://t.co/rt91x17t2z,SenatorTester
5,2022-02-22 23:58:36+00:00,1496273248207933441,".@Montana_FFA not only keeps one of our proudest traditions strong, but also helps young Montanans develop into our state's next generation of ag leaders. Such an honor to visit with these Missoula kids and hear all about the work they're doing with the meat processing program. https://t.co/iMZrMwEgJB",SenatorTester
6,2022-02-22 22:07:04+00:00,1496245180617441280,Putin’s reckless actions are unnecessarily threatening millions of people and making the world less safe. I stand with our allies and the free people of Ukraine against Russia’s military aggression and illegal provocations.,SenatorTester
7,2022-02-22 18:03:08+00:00,1496183792276578311,"Sub-zero temps couldn’t keep me from celebrating the dedication of MSO’s new terminal.

This expansion will create good-paying jobs, help Montana families stay connected, and boost our outdoor economy. I’m proud to have helped secure the resources to move this project forward. https://t.co/hy4tNbO327",SenatorTester
8,2022-02-22 14:55:42+00:00,1496136625130283019,Kicked off a brisk day in Missoula with NBC Montana's @HeidiNBCMT and Mike Powers of @kpaxnews. https://t.co/QGXSNsStHa,SenatorTester
9,2022-02-21 16:30:55+00:00,1495798196966199306,"It's #PublicSchoolsWeek! As a former public school teacher, I'm proud to have led my colleagues in celebrating our teachers, admins, parents, and students with this designation.

I'll keep fighting to strengthen our public education system to ensure every student can succeed. https://t.co/FQxzMDiJYA",SenatorTester
10,2022-02-20 20:07:52+00:00,1495490405814751236,"Talked right to repair, cattle price transparency, and investing in rural infrastructure on the latest Open Mic podcast from @agripulse.

Check it out ▶ https://t.co/afyIrltNwZ",SenatorTester
11,2022-02-20 16:38:08+00:00,1495437623992725508,We have got to get our China competition bill signed into law ASAP. The bottom line is that our national security depends on ensuring America remains the world leader in scientific and technological innovation to counter growing threats from our adversaries.,SenatorTester
12,2022-02-19 19:34:06+00:00,1495119520238911491,"It just doesn't add up. Families are paying record prices for beef, yet our ranchers can barely make ends meet.

So where's all that money going? To just four big packers who've consolidated the industry and driven out competition. We've got to stop this.
https://t.co/IKkMTJ5xDX",SenatorTester
13,2022-02-19 15:51:31+00:00,1495063507238363142,"We're getting infrastructure investments out the door as efficiently and effectively as possible. Here's a rundown on the latest:

—$225 million for MT bridges
—1st $11.5 million for MT public transit
—1st $28.5 million for MT airports
—1st $2.5 million for the Milk River Project",SenatorTester
14,2022-02-18 21:10:54+00:00,1494781494644068352,The Violence Against Women Act expired in 2019. It's long overdue that we get its lifesaving programs back up and running.,SenatorTester
15,2022-02-18 18:52:12+00:00,1494746589486850048,We can't let four major corporations jack up the price of beef to force family ranchers like the Charters out of business. Let's pass my bill to put some teeth into the Packers and Stockyard Act and crack down on their anti-competitive practices once and for all. https://t.co/gXShDuiJ1f,SenatorTester
16,2022-02-18 16:24:27+00:00,1494709408491790338,"A victory for Montana, for our outdoor economy and heritage, and for every American that cares about what happens to our nation's greatest treasures: our public lands and wildlife.

Congratulations @USFWS Director Martha Williams! https://t.co/JmBXjzOtAS",SenatorTester
17,2022-02-17 22:59:20+00:00,1494446394601582592,"Grateful to Dylan, Kasha, and Lucy for stepping up to serve their fellow Montanans as interns in my DC office this spring. If Congress worked half as hard as these three, we'd all be better for it! https://t.co/CSZ8sTLalg",SenatorTester
18,2022-02-17 21:37:02+00:00,1494425684269281282,Enjoyed meeting with Montana's Primary Care Association and hearing from those running community health centers all across the state. These folks are truly doing the Lord's work in keeping Montanans healthy. https://t.co/dlFLp6QtiZ,SenatorTester
19,2022-02-17 20:30:16+00:00,1494408882386608130,"So good to see you back in the saddle, @SenatorLujan. Wishing you strength and good health through the rest of your recovery, my friend. https://t.co/qGcaBO3dJQ",SenatorTester
20,2022-02-17 19:15:23+00:00,1494390034031648771,"It's always a good day when the @MTFarmBureau is in town! Discussed important ag issues facing Big Sky Country with Nicole from Miles City and Wes from Circle.

Montana farmers and ranchers work hard to produce the food that feeds this nation, and I'll always have their backs. https://t.co/CdEAUyOwqI",SenatorTester
21,2022-02-17 18:44:50+00:00,1494382346342129665,"Today, @JerryMoran and I met with the DOD IG’s team to discuss the importance of supporting our servicemembers as they make the transition from military to civilian life, by providing them the mental health care and screenings they need and earned. https://t.co/5jEyOXUSdE",SenatorTester
22,2022-02-16 22:47:27+00:00,1494081013940641793,"The VA Office of Inspector General plays an absolute critical role in making sure the Department best serves our veterans and taxpayers. Today, I met with VA Inspector General Mike Missal to make sure VA OIG has the tools it needs to keep doing just that. https://t.co/UdTjGUm9CA",SenatorTester
23,2022-02-16 20:20:34+00:00,1494044049409462276,"Great to see Joe Briggs, Chairman of the Cascade County Commission in Washington today! As we discussed, it's critical we get our defense funding bill across the finish line so our servicemembers at Malmstrom Air Force Base and throughout Great Falls have the resources they need. https://t.co/KM8yAogp1P",SenatorTester
24,2022-02-16 19:00:18+00:00,1494023849897340935,"BREAKING: My Health Care for Burn Pit Veterans Act just unanimously passed the Senate.

We're one big step closer to connecting an entire generation of toxic-exposed veterans with the VA care they need and cannot wait for any longer.",SenatorTester
25,2022-02-16 18:15:43+00:00,1494012633787387907,"Had a productive lunch with @MitchLandrieu46 and the bipartisan group I worked with to write the infrastructure package. As we continue to implement this law, we're going to create a ton more jobs and drastically improve our nation's economic standing in the world.",SenatorTester
26,2022-02-16 17:09:48+00:00,1493996042261512195,"Taking care of our toxic-exposed vets is the continuing cost of war, plain and simple. Had a good meeting today with @WWP CEO Mike Linnington where we discussed the path forward on addressing toxic exposure in a comprehensive way veterans deserve. https://t.co/yAoBNW5V4H",SenatorTester
27,2022-02-15 22:49:26+00:00,1493719126870736897,"Every farmer knows that equipment doesn't always cooperate—and often craps out before you get the job done.

But time is money on the farm, so it's got to be fixed quick. My bill requires manufacturers to make it easier for farmers to do their own repairs.
https://t.co/mYicJFeV7c",SenatorTester
28,2022-02-15 21:26:49+00:00,1493698336330821632,"At a pivotal moment for our economic recovery, Mitch McConnell and his followers are blocking Powell’s confirmation and kneecapping the Fed’s ability to combat inflation and lower costs.

Make no mistake: hardworking American families will pay the price for these political games. https://t.co/poREXivvKy",SenatorTester
29,2022-02-15 20:11:54+00:00,1493679484037435399,"This is unacceptable. It's also a result of Louis DeJoy's effort to run the Postal Service into the ground.

My Postal Reform Act will ensure reliable mail service by putting the @USPS on firm financial ground, guaranteeing delivery 6-days a week, and requiring more transparency. https://t.co/d8F3KL5usu",SenatorTester
30,2022-02-15 18:55:59+00:00,1493660377334390787,"Dwayne and Rick are Postmasters from my hometown of Big Sandy. They work hard to provide the essential mail services that our rural communities depend on.

The @USPS is critical to Montana's economy and our rural way of life, which is why we need to pass the Postal Reform Act. https://t.co/vNAKJyTDUA",SenatorTester
31,2022-02-15 16:54:22+00:00,1493629771640713227,"As a former public school teacher and school board member, I know how critical a high-quality public education is to creating a brighter future for our kids.

Every child deserves a high-quality education—no matter who they are or where they live.",SenatorTester
32,2022-02-15 16:54:22+00:00,1493629770613112834,"Public school teachers and administrators play a central role in shaping the leaders of tomorrow. Their service to our students and communities cannot be overstated.

Today, @SenatorCollins and I introduced a bipartisan resolution to designate next week as Public Schools Week.",SenatorTester
33,2022-02-14 20:22:25+00:00,1493319741234204672,"Montana is rooting for you, @maggie_voisin! Good luck in the finals—show 'em how we do things in Big Sky Country! #MontanaProud https://t.co/ottfl5Nhvf",SenatorTester
34,2022-02-14 19:37:38+00:00,1493308470728220676,"Ensuring VA has a top-notch workforce is critically important. As @SVACDems Chairman, it was great to meet with AFGE Montana today and discuss the importance of strengthening Montana VA's workforce to make sure it has the staff in place to best serve Montana veterans. https://t.co/2ngMta5F45",SenatorTester
35,2022-02-14 18:41:37+00:00,1493294374515527680,Sat down with Missoula's County Commissioners this morning to talk about the many infrastructure investments heading their way—including a much-needed expansion of public transit. https://t.co/vahspxOpTf,SenatorTester
36,2022-02-14 17:32:08+00:00,1493276888986537986,Happy Valentine’s Day to Sharla. Sparks always fly when I’m with you. https://t.co/5th6vYyjKf,SenatorTester
37,2022-02-13 18:39:12+00:00,1492931377473458177,"The Super Bowl's got nothing on the Brawl of the Wild, but I'm wishing luck to @MontanaGrizFB alum Colt Anderson in tonight's big game. Give 'em hell, coach!
https://t.co/EFcb90I4sw",SenatorTester
38,2022-02-13 15:59:19+00:00,1492891141464862726,"The current cost of food is just not sustainable—but we can bring these costs down by tackling ag consolidation.

Instead of pointing fingers and playing games, Congress needs to bring my bipartisan bills to a vote and get the American people some relief.",SenatorTester
39,2022-02-12 22:04:48+00:00,1492620729984196614,"Montana has a rich history of hardrock mining, but too often irresponsible mining companies leave harmful metals and chemicals behind that hurt our environment.

Our infrastructure law addresses this—creating jobs and keeping our outdoor economy strong.
https://t.co/RaDSdAjFoD",SenatorTester
40,2022-02-12 16:11:25+00:00,1492531799137865735,"The right to repair issue is a consolidation issue. When we allow big equipment manufacturers to monopolize the repair industry, it hurts the farmers in need of timely repairs, the independent mechanics in need of work, and the American people in need of a dependable food supply. https://t.co/XDsnyrufV2",SenatorTester
41,2022-02-11 22:22:51+00:00,1492262887225806850,"The Land and Water Conservation Fund is the single best conservation tool we have, and we've got a lot of work to do to avoid losing sensitive lands and waters.

That's why I'm leading a bipartisan, bicameral group of lawmakers in pushing for more critical funding for the LWCF. https://t.co/Sac03NlPMh",SenatorTester
42,2022-02-11 21:32:26+00:00,1492250196201385990,"Members of Congress who put their own interests before the public trust must be held accountable.

It's time to ban stock trading in Congress.",SenatorTester
43,2022-02-11 20:27:58+00:00,1492233975024263175,"The Violence Against Women Act saves lives, plain and simple. It has crucial resources to support survivors of domestic violence and vital tools to address the Missing and Murdered Indigenous Peoples crisis. It's long past time to renew #VAWA—so let's get it done.",SenatorTester
44,2022-02-11 18:56:21+00:00,1492210918826070019,"A powerful addition to the largest and most capable Navy in the world. The USS Montana is a force to be reckoned with. #MontanaProud
https://t.co/ZF4w6nkYpn",SenatorTester
45,2022-02-11 17:07:39+00:00,1492183563730624514,"A producer's bottom line is narrow to begin with, and small repairs shouldn't break the bank. We need the right to repair our own equipment—and I've got a bill that'll secure this right. https://t.co/JBB1NXvpXX",SenatorTester
46,2022-02-10 22:27:33+00:00,1491901681277231106,"The folks at @Habitat_org do life-changing work, and increasing our affordable housing supply couldn't be more important. When it comes to lowering costs for families and building stronger communities, more affordable housing is the answer. https://t.co/l359NZ7bFs",SenatorTester
47,2022-02-10 19:55:45+00:00,1491863480546344960,"Great meeting today with Dennis Stoner, President of the Enlisted Association of the National Guard of Montana. We've got to live up to the promises made to our men and women in uniform, which is why I'm laser-focused on getting them the care and benefits they've earned. https://t.co/W2wcohYUcX",SenatorTester
48,2022-02-10 18:50:30+00:00,1491847056075464713,"Had a good conversation with @davidaxelrod about where our country is today and what we need to do to move forward. (Hint: we can't leave rural America behind)

Give it a listen 🔊
https://t.co/bN30UNhMfL",SenatorTester
49,2022-02-10 15:39:53+00:00,1491799088718700547,"Thanks to @ruralhealth for inviting me to speak this morning. Whether you live in Manhattan, NY or Manhattan, MT, access to high-quality health care is critical. That's why I'll keep fighting to get our rural health providers the resources and policies they need to do their jobs. https://t.co/E33dCT1fcT",SenatorTester
50,2022-02-10 01:13:44+00:00,1491581114107973637,"So impressed by the hard work and resiliency of Montana's @SpecialOlympics athletes and advocates. These programs are incredibly valuable to our communities, and I'll always fight to make sure they have the resources they need to succeed. https://t.co/eY1ncYsL36",SenatorTester
51,2022-02-10 00:46:26+00:00,1491574245717164034,"Had a great meeting today with @IAVA, where we discussed the importance of paying the cost of war and delivering for our toxic-exposed veterans. We started this fight this Congress, and together, we’re going to finish it. https://t.co/I72xzJYIm6",SenatorTester
52,2022-02-10 00:32:51+00:00,1491570825664905218,"Glad to meet with folks from the Montana Small Business Development Center today. This pandemic put Main Street Montana through the wringer, but we're helping small businesses stay afloat with the American Rescue Plan. https://t.co/E8DZQdLwRw",SenatorTester
53,2022-02-09 21:25:09+00:00,1491523590558261252,"Grateful for the important work of Montana's rural health advocates. During and beyond this pandemic, we can't leave rural America behind when it comes to providing high-quality health care that everyone can afford. https://t.co/57UlKzuD1X",SenatorTester
54,2022-02-09 20:41:23+00:00,1491512576903102466,"I don’t know what ‘wordle’ is, but my staff told me we should post this:

“Not wordle, just big packers’ profits during the pandemic.”

⬜️⬜️⬜️⬜️⬜️⬜️⬜️🥩
⬜️⬜️⬜️⬜️🥩⬜️🥩⬜️
⬜️⬜️⬜️🥩⬜️🥩⬜️⬜️
⬜️⬜️🥩⬜️⬜️⬜️⬜️⬜️
⬜️🥩⬜️⬜️⬜️⬜️⬜️⬜️
🥩⬜️⬜️⬜️⬜️⬜️⬜️⬜️",SenatorTester
55,2022-02-09 20:01:27+00:00,1491502526851690497,We can lower costs for consumers AND get farmers and ranchers a fair shake at the farm gate. It’s a win for everybody—except the big packers.,SenatorTester
56,2022-02-09 20:01:27+00:00,1491502525563953154,"Congress needs to pick up the pace in addressing consolidation in the ag industry.

High costs at the supermarket are top of mind for many Americans, and I’ve got 4 *bipartisan* bills to help address it ready to go right now.

Let’s get it done.",SenatorTester
57,2022-02-09 18:17:02+00:00,1491476246953398273,"The @USPS is vital to our communities, especially in rural America. This essential service has long needed reform—and never has that been clearer than under Louis DeJoy's control.

Last night, the House passed crucial Postal Service reforms. Now, the Senate needs to take action.",SenatorTester
58,2022-02-08 22:55:39+00:00,1491183975934865409,"Want to wish a huge congratulations to Ms. Schmidt out of Whitefish and Ms. Pavlovich out of Livingston for earning this high praise.

These two top-notch teachers show just how big a part Montana educators play in shaping the next generation.
https://t.co/vXz0nqNU86",SenatorTester
59,2022-02-08 22:06:21+00:00,1491171569892458497,"Make no mistake about it—we'll miss Martha Williams's leadership in Montana, but I'm looking forward to seeing her effective management skills as Director of the @USFWS.

This role is crucial for the stewardship of our lands and water, and I'm urging my colleagues to confirm her. https://t.co/P1IUSYY4TY",SenatorTester
60,2022-02-08 20:59:43+00:00,1491154802524700672,"Montana's colleges are pioneers of education and innovation in the Last Best Place. Today, I met with @CarrollCollege President John Cech, @fvccmt President Jane Karas, and FVCC Board Chair Pete Akey to discuss how we can further support our higher ed institutions and students. https://t.co/jGZJ138BKt",SenatorTester
61,2022-02-08 18:55:53+00:00,1491123638757904384,"🚨 New infrastructure investment announced for Montana: $11.5 million for public transit!

As the Treasure State continues to grow, it's critical that we have safe, affordable public transportation options in every corner of the state. It'll create jobs and keep folks connected.",SenatorTester
62,2022-02-08 16:49:46+00:00,1491091897326391298,"High-speed internet is coming to an underserved area near you! Using American Rescue Plan funds, Montana is expanding broadband throughout the state.

Whether it's remote work, telehealth, or distance learning, access to high-speed internet is essential.
https://t.co/I04KgGLMHx",SenatorTester
63,2022-02-08 15:22:06+00:00,1491069838739251203,"This is ridiculous. Corporations are using the pandemic as an excuse to jack up costs on American consumers when they can least afford it.

I won’t stop fighting to hold them accountable and make sure they are treating ranchers and consumers fairly.
https://t.co/gckhmEZr0S",SenatorTester
64,2022-02-07 23:10:46+00:00,1490825393959538697,"Great to see Montana's own Buzz Mattelin representing the National Barley Growers Association in Washington today. Production ag is the backbone of Montana's economy, and I'll never stop fighting for our farmers and ranchers. https://t.co/dgUlH4IkD7",SenatorTester
65,2022-02-07 21:59:39+00:00,1490807494406553601,"It’s an honor to receive @FRAHQ’s Pinnacle Award, and to fight alongside them on behalf of all our men and women who protect our country at sea.

We’ll keep working together to deliver for our veterans and servicemembers—including those exposed to toxic substances. https://t.co/7xkNqahCPW",SenatorTester
66,2022-02-07 20:42:41+00:00,1490788126834446339,"Members of Congress shouldn't be actively buying or selling individual stocks, period. We're elected to serve the American people—not to use our position to line our own pockets.

The Ban Conflicted Trading Act will help keep Congress accountable, and I'm proud to support it.",SenatorTester
67,2022-02-07 19:52:21+00:00,1490775459700879366,"Good. This is the kind of garbage that drives me crazy. The IRS has absolutely no business requiring facial recognition software on anything—but especially not when it comes to allowing Montana taxpayers to access services.
https://t.co/BUndjgTEaz",SenatorTester
68,2022-02-07 15:49:22+00:00,1490714310812786692,These two Montanans out of Gallatin High have some bright futures ahead of them. Congrats again to Chase and Melaina for being chosen to participate in the Senate Youth Program! https://t.co/NSmtJ60yr3,SenatorTester
69,2022-02-06 21:43:28+00:00,1490441035780177921,"Since taking the gavel on @SVACDems, my top priority has been addressing toxic exposure.

This bipartisan bill is a great start—but it's only our first step. We'll keep working to deliver for all generations of veterans suffering from toxic exposure.
https://t.co/M3fIUBG3cH",SenatorTester
70,2022-02-06 16:10:06+00:00,1490357139176574976,"The rising cost of meat at the grocery store is a direct result of consolidation in the ag industry. Without competition, big packers are fixing prices and hurting both producers and consumers.

My Cattle Price Discovery and Transparency Act will help end this. Let's get it done.",SenatorTester
71,2022-02-05 20:17:29+00:00,1490057007302426632,"This week, my colleagues and I introduced this bipartisan bill to cut red tape and protect Good Samaritans who are willing to step in and clean up.

This is good for our environment, for creating jobs, and for keeping our outdoor economy strong.
https://t.co/96CyShPqO7",SenatorTester
72,2022-02-05 15:52:13+00:00,1489990253888868355,Farmers need the right to repair what they own so they can do their jobs and feed this nation. It's that simple.,SenatorTester
73,2022-02-04 20:12:56+00:00,1489693476342145030,"The Poverello Center does incredible work helping Montana vets find reliable housing across the state, and I’m proud to have led the effort in Congress to cut red tape on funding to help them further their mission in Missoula with this new space.
https://t.co/zFc1dQvuJE",SenatorTester
74,2022-02-04 18:44:25+00:00,1489671198803959809,"We're delivering the economic growth we need to recover from this pandemic.

▶️ 467,000 jobs created just last month.
▶️ 6.6 MILLION jobs created in the first year.

The American Rescue Plan is getting folks safely back to work. Proud to stand with Montanans to get this done.",SenatorTester
75,2022-02-04 18:07:41+00:00,1489661954008436739,"I'm closely following this ongoing elevator fire in Belgrade and want to extend my sympathies to those affected. As always, I'm grateful for the quick work of Montana's first responders who continue to assess the damage and fight to keep everybody safe. https://t.co/sVdeIwhNzQ",SenatorTester
76,2022-02-04 16:21:06+00:00,1489635134303318020,"Started and ended my week taking questions from Montana students, because meeting with our state's next generation of leaders is truly the best part of my job.

A big thanks to Mr. Sigl at Red Lodge High School for letting me crash the classroom! https://t.co/SSAmEODnqu",SenatorTester
