,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:00:41+00:00,1496575764212461570,"Inflation is the highest it’s been in 40 years — American families are spending more on gas, food, and utilities.
 
With signs suggesting prices will likely keep rising, it’s clear what we don’t need right now is more government spending. #BuildBackBroker
https://t.co/VnsBxtwKOG",SenatorTimScott
1,2022-02-23 19:00:21+00:00,1496560579397525505,"High blood pressure is often called the silent killer. It’s a leading risk factor for heart disease and stroke. Regularly monitoring your blood pressure can help lower risks and saves lives.
#HeartMonth https://t.co/uLpHib7n3z",SenatorTimScott
2,2022-02-23 16:05:03+00:00,1496516463988989958,"Superintendent Joseph Pye has been serving the students and families of the Summerville area for 50 years. As he prepares to retire, we owe him a great debt of gratitude for shaping the minds of generations to come. https://t.co/rDPxK4WX8k",SenatorTimScott
3,2022-02-23 14:40:54+00:00,1496495285433999367,"2021 was an outstanding year for international trade in South Carolina. Our state saw more than $29.7 billion in export sales, proving once again that South Carolina is a national leader in global trade. https://t.co/xj8MeKEFSl",SenatorTimScott
4,2022-02-22 23:07:00+00:00,1496260261883179008,Law enforcement officers in America choosing to protect and serve as their mission shouldn’t be taken for granted — we ought to be thankful for their remarkable courage. https://t.co/8DQtd6Alq8,SenatorTimScott
5,2022-02-22 22:08:59+00:00,1496245663524401156,"As our dealerships continue to struggle with inflation and inventory shortages, I led a group of my colleagues in asking Treasury to help our nation's automobile industry. We must do more to get our supply chains flowing again.
https://t.co/LcyyIkuM4t",SenatorTimScott
6,2022-02-22 19:42:15+00:00,1496208735362035716,"Russia’s heightened aggression against the territorial integrity of Ukraine is a clear violation of international law.

Unfortunately, for the second time in less than a year, the Biden administration’s weakness on the world stage has emboldened our adversaries. https://t.co/AQAkllCAoO",SenatorTimScott
7,2022-02-22 16:25:00+00:00,1496159095224606721,"Opportunity Zones help provide high-poverty and low-income areas in America with the spark they need to make a change for the better.
 
I recently had the opportunity to discuss the impact of OZs with faith leaders in Rock Hill, S.C. https://t.co/UdDMkXlqxz",SenatorTimScott
8,2022-02-22 14:38:19+00:00,1496132246809591810,"Larry Doby was an American hero.
 
✅Served his country during WWII
✅1st Black American to play 🏀 in ABL (pre-NBA)
✅Led his team to a 1946 Negro League World Series victory
✅2nd Black American to play ⚾️ in MLB
✅2nd Black American to manage a MLB club

#BlackHistoryMonth https://t.co/itsP5c9YdV",SenatorTimScott
9,2022-02-21 14:45:04+00:00,1495771558127845381,"Happy Presidents’ Day!
 
Wishing everyone a safe and restful holiday as we honor the Americans who have led our country. https://t.co/tl1kqasgVI",SenatorTimScott
10,2022-02-20 14:00:21+00:00,1495397918311911426,Looking forward to joining @MariaBartiromo on @FoxNews this morning — tune in at 10:30 AM EST!,SenatorTimScott
11,2022-02-18 23:55:56+00:00,1494823025748975620,"Millions of seniors and individuals with disabilities rely on Medicare Advantage plans every day.
 
I led a bipartisan group of my fellow senators urging the administration to continue support for the program.
https://t.co/XExGzj9cDB",SenatorTimScott
12,2022-02-18 21:13:00+00:00,1494782021255630850,Inflation is a tax on hard-working Americans — it's that simple. https://t.co/DhalkxWzlq,SenatorTimScott
13,2022-02-18 20:22:00+00:00,1494769186744070145,It doesn’t take an economics degree to know that rampant inflation has left us worse off than we were a year ago. https://t.co/GagKNBJN8v,SenatorTimScott
14,2022-02-18 18:17:00+00:00,1494737729506131969,"Thurgood Marshall argued 32 cases in front of the Supreme Court before becoming the first African American Supreme Court Justice — today, we honor his legacy. #BlackHistoryMonth. https://t.co/TosJFzWqKM",SenatorTimScott
15,2022-02-18 17:20:02+00:00,1494723395778498570,I will always remain committed to ensuring every child and student has access to a quality education that best fits their needs. https://t.co/fnFtjG8O1p,SenatorTimScott
16,2022-02-18 16:34:59+00:00,1494712056758550535,"As the Democrats work to pour more fuel on the fire with even more spending, let’s not forget how we got to where we are today. https://t.co/Alw5TqKAe0",SenatorTimScott
17,2022-02-18 14:09:21+00:00,1494675408465371145,"From famous leaders like Frederick Douglass &amp; Thurgood Marshall to the millions of everyday moms &amp; dads, Black Americans have helped shape our nation’s history.
 
This month we celebrate their contributions &amp; look forward to a bright future together.
https://t.co/OIj1GduuZF",SenatorTimScott
18,2022-02-18 00:16:35+00:00,1494465836337225729,Looking forward to having @SenatorLujan back in the Senate! Here’s to good health and a quick recovery. https://t.co/s3HJB3KVNh,SenatorTimScott
19,2022-02-17 22:25:00+00:00,1494437752691208200,"You've got to love the #Upstate — I recently brought together a group of faith leaders from Rock Hill, S.C. for my latest listening session. We discussed the educational &amp; economic strides that have been made in America and what can be done to keep forging ahead. https://t.co/82zs0KDP0j",SenatorTimScott
