,Datetime,Tweet Id,Text,Username
0,2022-02-23 18:15:16+00:00,1496549231984889859,"My top priority is our Southern Border. 

The border that actually borders the state where my constituents live.",SheriffTNehls
1,2022-02-23 13:22:22+00:00,1496475522364329989,"🚨REMINDER🚨

The polls are open for early voting in Texas.

Let’s continue the fight!",SheriffTNehls
2,2022-02-22 23:08:26+00:00,1496260622958444546,"American and Canadian truckers are fighting for freedom.

What is wrong with that?",SheriffTNehls
3,2022-02-22 17:50:54+00:00,1496180713711886338,Trudeau must go.,SheriffTNehls
4,2022-02-22 14:19:01+00:00,1496127390178844676,This did not age well. https://t.co/HVx0rkm2IO,SheriffTNehls
5,2022-02-22 13:41:18+00:00,1496117901631361026,"January 6th should never have happened.

They had the intelligence and they refused to act on it.",SheriffTNehls
6,2022-02-21 15:58:13+00:00,1495789969293594627,"They spied on a sitting President and a sitting Congressman.

Where does it end?",SheriffTNehls
7,2022-02-20 00:42:25+00:00,1495197112002220034,"Thank you for having me @CollinsforTX!

We need more America first patriots like Christian in Congress! https://t.co/Q9DJVhM4Dk",SheriffTNehls
8,2022-02-18 23:55:06+00:00,1494822814788034561,Canada deserves better.,SheriffTNehls
9,2022-02-18 03:07:09+00:00,1494508757317046276,Fake news is real.,SheriffTNehls
10,2022-02-18 01:26:36+00:00,1494483456885239811,Big Tech is at war with truth. https://t.co/yKGfPFrFnS,SheriffTNehls
11,2022-02-17 00:42:33+00:00,1494109983025291264,"Thank you President Trump!

I am proud to announce that I have received an endorsement from one of America’s greatest patriots and presidents! https://t.co/GGFN66En88",SheriffTNehls
12,2022-02-16 21:49:44+00:00,1494066490395484167,This is unconscionable. https://t.co/5KbqqpnMs1,SheriffTNehls
13,2022-02-16 16:06:00+00:00,1493979987489210369,.@Twitter is at war with truth.,SheriffTNehls
14,2022-02-16 03:13:44+00:00,1493785639661322241,👀 https://t.co/Me5agKgTTD,SheriffTNehls
15,2022-02-15 20:03:52+00:00,1493677460717768715,"Thank you @TulsiGabbard. 

We need more of this! https://t.co/THUSmfHkVA",SheriffTNehls
