,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:33:07+00:00,1496583923241033729,We must bring accountability and transparency to the meatpacking industry. It's time to pass my bill to return fairness to the cattle markets &amp; support Montana ranchers.,SteveDaines
1,2022-02-23 20:33:05+00:00,1496583917566054408,"Ranchers are barely breaking even selling their cows, and shoppers are breaking the bank buying beef in grocery stores.

Hear from Maggie, a 4th generation MT rancher, about the impacts of market manipulation in the cattle markets. https://t.co/cIbf3kzIFO",SteveDaines
2,2022-02-23 16:45:57+00:00,1496526754441306122,".@JoeBiden should’ve never given the green light to Putin’s pipeline in the first place especially while killing the Keystone XL pipeline at home. 

Biden killed American jobs &amp; energy while supporting and empowering Russia. His actions have consequences.
https://t.co/qhiLOXZgdU",SteveDaines
3,2022-02-23 16:10:51+00:00,1496517924705771526,"What’s happening in Russia &amp; Europe will put the impacts of @JoeBiden and the Democrats’ obsession with radical green energy policies and their war on Made in America energy on center stage. 

Sadly, American families and the free world will suffer the consequences.",SteveDaines
4,2022-02-23 00:59:50+00:00,1496288656893648899,Glad to welcome @IsraelinSF Shlomi Kofman to Montana today and meet with him and Rabbi Bruk of Bozeman to talk about the importance of maintaining a strong relationship between the United States and Israel. 🇺🇸🇮🇱 https://t.co/kXRdgTJYP8,SteveDaines
5,2022-02-22 18:22:16+00:00,1496188606049927173,"With the passage of my Senate resolution, this week is officially National #FFAWeek!

I’m glad to recognize the important work that FFA does to support young Montanans and prepare them for their future jobs in ag!",SteveDaines
6,2022-02-22 14:53:00+00:00,1496135944201715712,"While @JoeBiden has done everything he can to continue his war on Made in America energy at home, he was the one who gave the green light for Russia to move forward with the Nord Stream 2 pipeline. 

Biden should have never given the OK in the first place. https://t.co/bbC4wRnRaT",SteveDaines
7,2022-02-21 16:00:24+00:00,1495790515597500416,"Today we celebrate the great presidents who chose to serve our nation.

On this #PresidentsDay let us recognize the many leaders who came before us and honor them by always protecting freedom, liberty &amp; justice for all.🇺🇸",SteveDaines
8,2022-02-20 16:03:00+00:00,1495428783083560967,Always enjoy meeting with Montanans in DC. https://t.co/kt8kPtJssg,SteveDaines
9,2022-02-19 17:31:00+00:00,1495088541017075713,Biological men should not be competing in women’s sports.,SteveDaines
10,2022-02-18 23:52:00+00:00,1494822034957864961,"A big congratulations to the Bozeman High School speech &amp; debate team for winning the state championship for the second year in a row!

As a former member of the Bozeman High team myself, I’m so glad to see these young Montanans take home the title! https://t.co/krsp1cqey4",SteveDaines
11,2022-02-18 22:33:05+00:00,1494802177868525570,"Twice in the past 24 hours @JoeBiden's admin has proposed woke climate policies that'll hurt Montana’s growth.

Politicizing pipeline approvals isn't in the best interest of jobs or the climate, and this “environmental justice” funding screen will be a barrier to MT investments. https://t.co/vifjghUijQ",SteveDaines
12,2022-02-18 20:15:36+00:00,1494767576471117826,"The Biden admin has failed the American people yet again—this time by falling short of its vetting promises of Afghans which has created a serious public safety risk for our communities.

Another result of @JoeBiden's disastrous withdrawal from Afghanistan.https://t.co/DvaLunVxMg",SteveDaines
13,2022-02-18 19:35:26+00:00,1494757467863109638,End the mandates! https://t.co/4rqRIKd3A7,SteveDaines
14,2022-02-18 16:10:19+00:00,1494705848416886786,"Last night the U.S. Senate passed my bipartisan resolution to recognize the 150th anniversary of @YellowstoneNPS! 

If you haven’t had the chance to visit Yellowstone, you’re missing out. It is one of America’s crown jewels! https://t.co/7QdqyP4uAW",SteveDaines
15,2022-02-17 23:28:56+00:00,1494453841819013121,Glad to give my colleagues a taste of Montana and show off what our great state has to offer! https://t.co/YH25f3W5uL,SteveDaines
16,2022-02-17 21:43:55+00:00,1494427416634314763,Ag is Montana's number one economic driver but it’s also part of our way of life. Always great to have members of the @MTFarmBureau in D.C. to discuss how to continue supporting our Montana farmers and ranchers. https://t.co/yA0ktDxghO,SteveDaines
17,2022-02-17 18:28:46+00:00,1494378301854466056,Great news for the Pro-Life movement! This is just the beginning. The Supreme Court has the opportunity to restore the Constitution and defend our most fundamental right—the right to life. https://t.co/JiuayIe6sK,SteveDaines
18,2022-02-16 23:47:46+00:00,1494096194867507200,"Glad to have @EnesFreedom standing tall for human rights, free speech &amp; liberty.

There's a reason he changed his name to Freedom! https://t.co/SVCgTMY6Th",SteveDaines
19,2022-02-16 22:24:30+00:00,1494075240401588233,"MT is lucky to have dedicated, passionate leaders serving as County Commissioners.

Enjoyed hearing from Missoula County Commissioners Juanita Vero and Dave Strohmaier and Cascade County Commissioner Joe Briggs about issues important to our MT communities. https://t.co/A1FkMRQykS",SteveDaines
20,2022-02-16 18:46:16+00:00,1494020320092635147,Stand for freedom—end the mandates! https://t.co/f9uw6mudP2,SteveDaines
21,2022-02-16 16:02:33+00:00,1493979117527646217,Democrats have played politics with our schools &amp; children for too long. Time to end all mask and vaccine mandates. https://t.co/FKyYTdKNQq,SteveDaines
22,2022-02-16 01:24:42+00:00,1493758200939700224,"Since @YellowstoneNPS was established, it has inspired folks from across the world to come see the great outdoors and what Montana &amp; the West have to offer. 

Glad to join my colleagues on a Senate resolution celebrating Yellowstone’s 150th anniversary!",SteveDaines
23,2022-02-15 19:33:03+00:00,1493669703549661185,"The Biden admin is dragging its feet on releasing a report detailing the thousands of American jobs lost when @JoeBiden killed the Keystone XL pipeline.

@JoeBiden—you must take responsibility.
https://t.co/aScIA8qoMj",SteveDaines
24,2022-02-15 14:44:46+00:00,1493597157634490371,"How does @JoeBiden expect Montana families to keep up with these rising prices? They can’t.

https://t.co/0mDP0osExX",SteveDaines
25,2022-02-15 00:34:31+00:00,1493383183173312512,The bombshell stories of election interference from the Clinton campaign against Trump are jaw-dropping. Clinton’s people need to be held accountable.,SteveDaines
26,2022-02-14 23:35:59+00:00,1493368454996500483,Today I led a letter with @RepRosendale and our colleagues urging the Biden administration to resolve challenges stemming from the disastrous Cottonwood decision which threatens Montana forest management project. We must manage our forests before they manage us!,SteveDaines
27,2022-02-14 23:31:07+00:00,1493367230943436800,"In order to protect Montana communities and families from wildfires, we must increase active forest management and prevent extreme environmentalists from using frivolous litigation to block important forestry projects. https://t.co/SOWnferFKe",SteveDaines
28,2022-02-14 17:32:38+00:00,1493277015079796740,It’s almost as if @JoeBiden’s administration is afraid to confirm how many jobs they killed on Day One in office by cancelling the Keystone XL pipeline. https://t.co/yoTt8aTfdS,SteveDaines
29,2022-02-14 16:59:41+00:00,1493268723083497475,Thankful to always have my sweet wife Cindy by my side. Happy Valentine’s Day! https://t.co/DWsLHthqB6,SteveDaines
30,2022-02-13 21:03:00+00:00,1492967565672337410,Grateful for the folks at @WDSfire and the work they do to protect Montana communities from wildfires. https://t.co/xOBSDvUgCN,SteveDaines
31,2022-02-13 15:49:34+00:00,1492888686484197376,Montana farmers and ranchers don’t need the federal government regulating their puddles and ditches. https://t.co/s9dOwoMCCL,SteveDaines
32,2022-02-12 16:36:33+00:00,1492538124681023491,"Always a good time talking public lands and national parks with my friend from across the aisle, @SenAngusKing. https://t.co/0vONLhGkL0",SteveDaines
33,2022-02-11 20:03:54+00:00,1492227916196950021,"As Montana communities are being devastated by drugs and crime fueled by the southern border crisis, it’s outrageous that the Biden administration would even think about using taxpayer money to fund and distribute crack pipes. Crazy. https://t.co/5UQQNjmsyi",SteveDaines
