,Datetime,Tweet Id,Text,Username
0,2022-02-23 20:32:07+00:00,1496583673415716865,"Many families are juggling work, school and caregiving. Missing work to stay home with a sick child or an ailing parent shouldn't put families under water. 
 
We need to invest in America's care infrastructure because #CareCantWait!  #TimeForAction https://t.co/TmuKjkZT1G",USRepKCastor
1,2022-02-23 20:12:33+00:00,1496578748971458561,"Our bill will measure air pollution at the block level - and start addressing disproportionate impacts on communities of color and low-income communities.

Here's how we're fighting air pollution across every community. 👇

https://t.co/sK8ZQ9jrj9",USRepKCastor
2,2022-02-23 20:12:33+00:00,1496578747457323019,"That’s why I introduced the Environmental Justice Air Quality Monitoring Act last week with @SenMarkey, @RepLBR, and @RepRitchie.

We're working to give communities the tools they need to protect their health, stop harmful air pollution and advance clean energy.",USRepKCastor
3,2022-02-23 20:12:32+00:00,1496578745720885255,"The same thing is happening around Florida's sugarcane fields, where families struggle to breathe because of ""black snow"" from burning fields.

Families across America deserve to breathe clean air. And we’re fighting to give them the tools to fight back.

https://t.co/xkKR6Ah5kx",USRepKCastor
4,2022-02-23 20:12:32+00:00,1496578744093483010,"In communities of color like Institute, West Virginia, polluters claim the air is safe - despite elevated cancer levels.

And in far too many cases, these communities lack the tools needed to measure deadly pollution. We can't stop what we don't measure.

https://t.co/4f8CG6oQ3F",USRepKCastor
5,2022-02-23 20:12:31+00:00,1496578742046625793,"Last week, Tampa families were asked to limit outdoor activities due to toxic lead in the air from #Gopher.

They're not alone. 

Across the US, polluters are poisoning communities of color and low-income communities - and escaping accountability.🧵

https://t.co/4dwpIEzLiq",USRepKCastor
6,2022-02-23 00:58:53+00:00,1496288419705769989,ICYMI: First Lady Visits Moffitt Cancer Center Following #CancerMoonshot Relaunch ⁦@FLOTUS⁩ ⁦@theNCI⁩  https://t.co/NoCyc3bhjU,USRepKCastor
7,2022-02-22 21:56:52+00:00,1496242614596681741,STARTING SOON! Dial in now: https://t.co/UGc0ExaRfb,USRepKCastor
8,2022-02-22 14:47:15+00:00,1496134494952251406,"As Co-Chair of the Congressional Soccer Caucus, I am pleased to see this long overdue action to advance equality for female athletes. Let this just be a start. #EqualPay @USWNT @ussoccer",USRepKCastor
9,2022-02-22 14:47:14+00:00,1496134492825821186,America’s female soccer champions have inspired a younger generation of girls and young women to stand up for equity and #equalpay. I trust this will prove to be a landmark day for equity for women in sports. @USWNT https://t.co/dPcTZUx0dC,USRepKCastor
10,2022-02-21 19:10:08+00:00,1495838265332674566,So sorry to learn of the loss of Dr. Paul Farmer @PIH. He inspired the world to tackle many of the toughest diseases and public health challenges. I’m grateful for his life and work. https://t.co/fAzFqTzuSY,USRepKCastor
11,2022-02-20 15:56:01+00:00,1495427027645644802,"It will help identify block-level hotspots for multiple pollutants, empowering &amp; informing neighborhoods re pollution &amp; poor air quality + recommend a course of action to reduce pollution in identified hotspots.

@EPA @EPAMichaelRegan @EPAair @EPAJustice @EPAEnvJustice @CDCgov",USRepKCastor
12,2022-02-20 15:42:39+00:00,1495423664648511490,"Why are polluting plants like #Gopher almost always located in communities of color and overburdened neighborhoods?

On the same day that @EPCHC issued warning, I introduced the Environmental Justice Air Quality Monitoring Act to help address pollution in overburdened communities https://t.co/pzeXpT5PJy",USRepKCastor
13,2022-02-20 01:02:19+00:00,1495202120047415300,First lady Jill Biden visits #MoffittCancerCenter in #Tampa #Fl14 #BeatCancer https://t.co/EcsFFYzwfg,USRepKCastor
14,2022-02-19 14:29:09+00:00,1495042776232501254,"My friend Chloe Coney has been a force for good &amp; change agent in #Tampa for many years. From her work on #TeamCastor to her work with @CDCofTampa_, our lives &amp; community are better for her service. The Chloe Coney Legacy Wall will inspire all of us for years to come ❤ https://t.co/BQdyaxsJXX",USRepKCastor
15,2022-02-18 20:12:30+00:00,1494766796129382407,"It is inspiring to listen to #cancer researchers and patients. They said that the #CancerMoonshot gives them hope. Me too.

@MoffittNews @FLOTUS @theNCI https://t.co/2RpaRBHxCL",USRepKCastor
16,2022-02-18 19:08:49+00:00,1494750768892723205,"I'm proud to stand with @SenMarkey, @RepLBR, and @RepRitchie to make sure communities have the information they need to address air pollution at the local level.

Learn more about our Environmental Justice Air Quality Monitoring Act 👇
https://t.co/sK8ZQ9jrj9",USRepKCastor
17,2022-02-18 19:08:00+00:00,1494750565854810118,"The health of American families shouldn't be determined by what block they live on.
 
Today, I'm introducing legislation to address pollution in environmental justice communities by expanding access to local air quality data. https://t.co/VfsNAk83Is",USRepKCastor
18,2022-02-18 17:51:09+00:00,1494731225956814858,"🙋🏽‍♀️🙋🏻‍♂️🙋🏾 Moffitt Cancer Center is where the cutting edge cancer treatment and cures are happening!  So excited for @FLOTUS Jill Biden and @NCIDirector to see it in action.

Welcome back to #Tampa and to @MoffittNews @MoffittResearch

 #CancerMoonshot https://t.co/AFCMDWOAxc",USRepKCastor
19,2022-02-17 21:35:41+00:00,1494425343301726210,We are co💲t busting for our Tampa neighbors – join my telephone hall series where I’ll be joined with experts and share tips and tools on putting money back in your wallet &amp; the latest federal action to lower costs for families. 👇 https://t.co/F7WIpOddjT,USRepKCastor
20,2022-02-17 20:50:54+00:00,1494414070916820994,"NEWS: #Tampa area residents &amp; others who were defrauded by DeVry University, ITT Tech can have their student loans canceled thanks to @Potus and @usedgov. This debt relief will help repair harm done by unscrupulous recruiters and marketers. https://t.co/96JeAyERTW",USRepKCastor
21,2022-02-17 19:16:12+00:00,1494390239888035845,"Online risks to kids make it imperative that Congress pass my #KidsPRIVCY Act to strengthen privacy protections, provide parents peace of mind and ultimately keep our kids safe while using devices and apps.
https://t.co/Nyc0mwKnE0",USRepKCastor
22,2022-02-17 19:16:11+00:00,1494390236327071746,"Because online virtual reality affects children’s brains differently, I’m asking @FTC with @SenMarkey @RepLoriTrahan to protect children from harm &amp; privacy invasions in new tech like the metaverse. https://t.co/EqqxtjFCJq",USRepKCastor
23,2022-02-16 21:50:01+00:00,1494066563300872199,"The entrepreneurial spirit is alive and well in #TampaBay 👉 #Tampa was named one of the best for startups –  a great place to grow a business &amp; a family!
https://t.co/3BGANSDNmP",USRepKCastor
24,2022-02-16 21:02:54+00:00,1494054704803983365,"LIVE NOW: How we aim to #ElectrifyAmericasFuture with @MartinHeinrich, @RepPaulTonko, and @SenTinaSmith so that we can:

💵 Save families hundreds on their bills
🌎 Help solve the climate crisis
👩‍🏭 Create good-paying jobs

Watch live here 👇
https://t.co/fEFbv5hXeQ",USRepKCastor
25,2022-02-16 19:50:53+00:00,1494036582101360643,"Americans are paying the price for climate inaction — and we can't wait any longer.

It's time for #CleanEnergy action to lower the costs of climate disasters, create new jobs, and save families money.
https://t.co/Jqzv6ljDkc",USRepKCastor
26,2022-02-16 17:33:20+00:00,1494001967584186372,"First Black woman - Dr. Mary McLeod Bethune - gets close to Capitol placement @bethunecookman #BlackHistoryMonth #florida
https://t.co/bO8hmajFQ2",USRepKCastor
27,2022-02-16 01:51:49+00:00,1493765026867556353,ICYMI: ⛴ Cross-Bay Ferry lands $4.9 million U.S. grant https://t.co/IpXoCQFihC,USRepKCastor
28,2022-02-16 00:36:05+00:00,1493745968247984129,"@KellyRingFox13 Kelly, thank you for telling the stories of our hometown with grace and kindness. You’ve made the Tampa Bay area a better place 🥰💐🌴🌅",USRepKCastor
29,2022-02-14 22:16:19+00:00,1493348406592524290,@SecretaryPete @USDOT,USRepKCastor
30,2022-02-14 22:15:35+00:00,1493348221372051458,You can find more info on this federal grant on my website: https://t.co/ahCuSSWxS1,USRepKCastor
31,2022-02-14 22:15:35+00:00,1493348219505496076,"DOT HARTs ❤️ Tampa this #ValentinesDay!

What a fitting love note to our community - $4.9 million to expand @GoHART Cross Bay Ferry service. This grant will reduce congestion, create local jobs, support small businesses &amp; increase connectivity in the Tampa Bay region. https://t.co/ucpiUq4bLM",USRepKCastor
32,2022-02-14 21:54:08+00:00,1493342823252381701,Our inclusive community is a place where kids with disabilities and special needs + everyone can play and belong thanks to @CouncilmanViera  @JaneCastor @tampaparksrec and @POTUS through the #AmericanRescuePlan - ❤️ on #Valentine’sDay https://t.co/sZ8XXUno5t,USRepKCastor
33,2022-02-14 21:54:05+00:00,1493342810124304384,All #Tampa kids deserve the chance to play and just be kids. The New Tampa All Abilities Playground will give them that chance. https://t.co/zUNzjWejX4,USRepKCastor
34,2022-02-14 19:37:54+00:00,1493308538936082432,@HillsboroughSch @CouncilmanViera @BlueStarFamily @MaryBryantElem,USRepKCastor
35,2022-02-14 19:37:53+00:00,1493308533697388545,Your cards put a smile on the faces of our neighbors at @TampaVA when I dropped the #ValentinesForVeterans off today. Thank you to all of our neighbors who sent their love and appreciation to #Tampa veterans this Valentine’s Day! https://t.co/bO379CvN5V,USRepKCastor
36,2022-02-14 19:34:08+00:00,1493307591467978759,Some of the beautiful valentines shared with Tampa veterans today ❤️: https://t.co/M3h0aCful0,USRepKCastor
37,2022-02-14 18:00:53+00:00,1493284121409429507,@mfoltampa @mfolflorida @AMarch4OurLives,USRepKCastor
38,2022-02-14 18:00:52+00:00,1493284119308120069,"Thinking of the lives we lost in #Parkland 4 years ago and grateful to all who have stepped up to #HonorThemWithAction. It is overdue for the U.S. Senate to join the House, student leaders &amp; all Americans in taking action to end gun violence.
https://t.co/dSawlXQDrf",USRepKCastor
