,Datetime,Tweet Id,Text,Username
0,2022-02-23 21:20:00+00:00,1496595722161979393,"America’s workers can’t do their jobs until they know their loved ones who are sick or have a disability are taken care of. 

The care economy is critical to our country's economic success, and it’s time we treat it that way. 

#CareCantWait",JimLangevin
1,2022-02-23 20:30:00+00:00,1496583141569404930,"Nearly 30 million Americans will develop an eating disorder in their lifetime. 

This Eating Disorder Awareness Week, please know that if you are struggling, you are not alone. 

Help is available: (888)-375-7767. https://t.co/HUhbHk8jAk",JimLangevin
2,2022-02-23 19:15:33+00:00,1496564403138924546,"As @POTUS rightfully imposes harsh sanctions on Russia, we must be prepared for Russian cyber retaliation.

Throughout government and private business, folks should back up data, install multi-factor authentication, and patch known vulnerabilities.

https://t.co/TY4EmAQoNx",JimLangevin
3,2022-02-23 18:33:41+00:00,1496553867953250304,"The rising cost of childcare disproportionately harms Black mothers. 

Investments in affordable child care will help families get the care they need without fear of the price tag.  

Because no parent should have to compromise on safe, quality care for their child. #JECxCBC https://t.co/07So0P97nI",JimLangevin
4,2022-02-23 16:14:23+00:00,1496518811964563460,"And if Russia lashes out against the U.S. or our NATO partners with a serious cyber attack, our collective Article 5 responsibilities may be at stake.",JimLangevin
5,2022-02-23 16:14:22+00:00,1496518810228166657,"As Russia invades Ukraine, we must protect our Ukrainian and NATO allies from Putin's cyber thugs.

Any supplemental funding bill considered by Congress MUST include $$$ for increased cybersecurity.

https://t.co/KLW8RIS52L",JimLangevin
6,2022-02-22 21:28:00+00:00,1496235347579219968,"Happy Future Farmers of America Week! 

This week, we celebrate access to agricultural education and the next generation of young people who are preparing to feed, fuel, and clothe our world. 

Learn more about our local FFA chapter ⬇️ https://t.co/tNpcrdlOAB https://t.co/e2Rii12VOW",JimLangevin
7,2022-02-22 20:49:00+00:00,1496225533050425357,"""It is wholly consistent with American values for government to collaborate with the private sector to mitigate risk and better serve public interests."" 

Excellent op-ed by @ncdinglis on the need to evolve public-private partnerships for the digital age.

https://t.co/paxPydQrnA",JimLangevin
8,2022-02-22 19:10:00+00:00,1496200618784047112,"In 2021 alone, Rhode Island added more than 3,000 manufacturing jobs to our economy. 

The #AmericaCOMPETES Act is going to help us build on that progress, making high-paying union jobs available to more Rhode Islanders and helping to secure our supply chains.",JimLangevin
9,2022-02-22 17:54:07+00:00,1496181523132866566,"Putin isn't sending ""peacekeepers"" into Ukraine. They are invaders, and I condemn this dangerous escalation in the harshest possible terms.

I have full faith that @POTUS - in concert with our int'l allies - will impose crushing sanctions on Russia's economy and Putin's cronies.",JimLangevin
10,2022-02-22 17:05:00+00:00,1496169161894072331,".@POTUS has united the free world against Vladimir Putin’s reckless aggression. 

Ending the Nord Stream 2 pipeline is a great first step towards holding Russia accountable for their destabilizing actions. https://t.co/xeot2zvzHR",JimLangevin
11,2022-02-22 15:52:29+00:00,1496150911932063750,"Thank you, @MichelleSMNews, for the chance to talk about my career in Congress, what I’ll be focused on in this last year, and the legacy I hope to leave. 

Our full interview is available here ⬇️
https://t.co/wDrVAu7pJ8 https://t.co/VzsFJijzHr",JimLangevin
12,2022-02-22 13:41:40+00:00,1496117992811380743,"Students in every district across America deserve access to well-funded public schools. 
 
During #PublicSchoolsWeek and every week, I am committed to investing in America’s students, teachers, and communities. https://t.co/qtvivQUonv",JimLangevin
13,2022-02-21 22:49:02+00:00,1495893354634227716,"Democrats and Republicans are standing united with Ukraine against a Russian invasion. 

We pledge to work together to support our NATO allies, the people of Ukraine, and freedom and safety around the world. https://t.co/ykWLVC8xI0",JimLangevin
14,2022-02-21 13:44:50+00:00,1495756399128760328,"Today, I’m grateful for all of the Commanders in Chief who inspired this nation to be more.
 
Happy Presidents Day, America. https://t.co/iTe2eOOgMu",JimLangevin
15,2022-02-20 20:00:54+00:00,1495488654936002573,"Nineteen years ago today, 100 lives were lost and hundreds more were injured in the tragic Station Fire.

My heart goes out to all those who lost family and friends on that awful day. 

We must never forget them.",JimLangevin
16,2022-02-19 18:54:35+00:00,1495109575841923087,"In these precarious times, my CODEL colleagues and I stand with President @Zelenskyyua and the Ukrainian people against reckless Russian aggression. 

The U.S. and our European allies will not stand idly by as Putin readies to invade its neighbor. https://t.co/mGfWM3w92v",JimLangevin
17,2022-02-19 17:29:16+00:00,1495088105539448841,"Great to hear from Vice President Harris at #MSC2022 on the critical security issues facing the US and our allies. 

Thank you for your leadership, @VP. https://t.co/1yOImQSwaW",JimLangevin
