,Datetime,Tweet Id,Text,Username
0,2022-02-17 15:34:34+00:00,1494334466034057222,"PRISON REFORM: Today @SenatorBraun and I formed the Bipartisan Prison Policy Working Group.

The Working Group will investigate abuse and corruption in America’s prisons and develop solutions.

https://t.co/4XykW6KgC6",ossoff
1,2022-02-17 15:06:05+00:00,1494327297746214919,"CIVIL RIGHTS: Today I introduced bipartisan legislation with Sen. @TedCruz to solve civil rights cold cases.

Victims of lynchings and other unsolved civil rights crimes still deserve justice and so do their families.",ossoff
2,2022-02-13 01:48:25+00:00,1492677005883711490,"It's working.
https://t.co/hTaVhIwP0V",ossoff
3,2022-02-12 18:33:29+00:00,1492567551305519107,GEORGIA: This week I introduced the Tybee Island Storm Risk Management Act w/ @SenatorWarnock to reinforce beautiful Tybee against tropical storms and coastal flooding. https://t.co/bm46YCurmZ,ossoff
4,2022-02-11 20:17:18+00:00,1492231291781136385,"Data brokers shouldn't be allowed to collect and resell our personal info without our consent.

That's why @SenBillCassidy (R-LA) and I just introduced the DELETE Act — so Americans can easily join a Do Not Track list and protect our privacy.

Do you agree?",ossoff
5,2022-02-11 13:16:53+00:00,1492125488449560577,Good morning!,ossoff
6,2022-02-10 23:25:41+00:00,1491916308665049088,"PRIVACY: Today @SenBillCassidy and I introduced the bipartisan DELETE Act, requiring data brokers to delete and stop collecting and selling data on Americans who join a Do Not Track list.",ossoff
7,2022-02-10 21:25:54+00:00,1491886164751626252,https://t.co/b5xtCr3S0J https://t.co/GE4s6plG3v,ossoff
8,2022-02-10 18:37:56+00:00,1491843897340923913,GEORGIA: Today I introduced the Chattahoochee River Act to protect and preserve this precious natural resource.,ossoff
9,2022-02-09 18:05:16+00:00,1491473285523062784,Keep pushing! https://t.co/KNNsCWGdFj,ossoff
10,2022-02-09 13:39:03+00:00,1491406293369720832,Big! Keep pushing! https://t.co/b5xtCqMgC9 https://t.co/SuZUReWecz,ossoff
11,2022-02-08 22:51:33+00:00,1491182944740061184,It's working. https://t.co/dz6u03NNfz,ossoff
12,2022-02-06 21:37:22+00:00,1490439500719435777,It's working. Keep pushing. https://t.co/eExkWoxGeo,ossoff
13,2022-01-28 23:41:20+00:00,1487209207531290627,Details: https://t.co/eSBijlUpCM,ossoff
14,2022-01-28 23:37:57+00:00,1487208355630305282,"BREAKING: This left, right, center coalition just called for passage of my Ban Congressional Stock Trading Act:

@Public_Citizen
@CampaignLegal
@CREWcrew
@FixTheCourt
@IssueOneReform
@NTU
@BoldProgressive
@POGOwatchdog
@taxpayers
@transparencyUSA
@FreedomWorks
@GovAcctProj
@NC4HR",ossoff
15,2022-01-28 22:02:46+00:00,1487184402639687680,Infrastructure! https://t.co/6LIbj1qpYz,ossoff
16,2022-01-28 17:21:52+00:00,1487113711294849034,"I’m on the road across Georgia:

1. Briefing leaders on infrastructure investments coming soon

2. Listening to constituents about priority projects in our communities

Henry County, Albany, and Macon today! https://t.co/kz8HT59jzY",ossoff
17,2022-01-27 15:30:02+00:00,1486723177577209863,"Simple: Sign the petition to ban Members of Congress from trading stocks at https://t.co/b5xtCqMgC9

3/4 of Americans agree!

(this petition doesn’t ask you for money)",ossoff
18,2022-01-27 03:40:37+00:00,1486544649804300288,"This petition doesn’t ask you for money after you sign it.

https://t.co/vgPwOzcVSj",ossoff
19,2022-01-27 00:59:44+00:00,1486504158769389571,"Sign the petition to ban stock trading by Members of Congress (and our spouses).

3/4 of Americans agree!

Keep building momentum:

https://t.co/vgPwOzcVSj",ossoff
20,2022-01-21 23:04:59+00:00,1484663342853763079,"One year since I was sworn in, some highlights from inside the U.S. Senate: https://t.co/FBwZxPqcrJ",ossoff
21,2022-01-20 23:00:50+00:00,1484299912657309698,.@SenMarkKelly and I just this minute introduced the Ban Corporate PACs Act. 🚀 https://t.co/FeYICJmv8G,ossoff
22,2022-01-20 22:15:15+00:00,1484288438912303110,Ban corporate PACs.,ossoff
23,2022-01-18 14:16:37+00:00,1483443213193129991,Clearing the trail together — an afternoon of service with the Westside Atlanta Watershed Alliance. #MLKday https://t.co/heKcIhRpti,ossoff
24,2022-01-18 01:26:06+00:00,1483249305343467520,https://t.co/m7EyYnSDKJ,ossoff
25,2022-01-18 00:06:53+00:00,1483229367794810881,Service builds community. #MLKDay https://t.co/jei8CsTPp7,ossoff
26,2022-01-17 23:12:04+00:00,1483215574582927362,"Thanks to all who gave back to the community on MLK Day with Hosea Helps, distributing donated food to Georgia families who need a hand. 🙏 https://t.co/MWZBkrqGVv",ossoff
27,2022-01-13 00:13:28+00:00,1481419087716786182,"Tonight I introduced legislation to ban Members of Congress (and our spouses) from trading stocks. 

3/4 of Americans agree!",ossoff
28,2022-01-11 05:18:14+00:00,1480771010324541440,Congratulations UGA! Dawgs on top! #GoDawgs https://t.co/CFm16VIyDp,ossoff
29,2022-01-06 00:37:45+00:00,1478888482441412610,"A year ago today Georgians made history.

In ‘22, we’ll do it again.

Tonight I officially endorsed the extraordinary @staceyabrams to be our next Governor.

My request for you is simple: chip in $5 right now to help Stacey start strong 💪 

https://t.co/1N3KCJd4nn",ossoff
30,2022-01-05 15:30:56+00:00,1478750873815814145,"Join @StaceyAbrams and me tonight! 
https://t.co/dWHUSN4zxH https://t.co/YgTasD6A6l",ossoff
31,2022-01-05 13:29:59+00:00,1478720432823885824,"A year ago today we made history. 

Huge thanks to the team led by @EllenEFoster that made it possible and above all to the people of Georgia, who entrusted me and @ReverendWarnock to represent our state.

It is an honor to serve you. 🙏",ossoff
32,2022-01-05 13:19:44+00:00,1478717853830459392,https://t.co/OAFtKawy9Y,ossoff
33,2021-12-25 15:40:09+00:00,1474766924504514563,"Merry Christmas to all — from our family to you and yours, may this day and season be joyous, peaceful, and full of love! 🎄✨",ossoff
34,2021-12-22 18:24:30+00:00,1473721123015639043,"FOR YOUR FINANCIAL PLANNING: 

The federal student loan repayment moratorium has been extended through May 1.

No interest will accrue and debt collection will be suspended until May 1.",ossoff
35,2021-12-20 15:59:32+00:00,1472959862636261376,"Alisha and I are overjoyed and totally in love with Eva Beth Ossoff, our first child, who arrived Friday evening. 

Alisha and Baby Eva are both doing well.

We appreciate everyone’s well wishes! 💕",ossoff
36,2021-12-14 00:12:48+00:00,1470547281762000898,Infrastructure! https://t.co/ha6D1wWTLN,ossoff
37,2021-12-12 00:25:23+00:00,1469825673745342471,Yes we can https://t.co/ZSSQLQUQb5,ossoff
38,2021-12-09 02:22:51+00:00,1468768073788313602,"BREAKING: My Rural Opioid Abuse Prevention Act just passed the U.S. Senate. 

Thanks @ChuckGrassley for the teamwork.",ossoff
39,2021-12-05 23:10:13+00:00,1467632430265909265,🕯🕯🕯🕯🕯🕯🕯🕯,ossoff
40,2021-12-04 23:27:46+00:00,1467274461762179075,🔘🕯🕯🕯🕯🕯🕯🕯,ossoff
41,2021-12-04 04:23:39+00:00,1466986533102174212,🔘🔘🕯🕯🕯🕯🕯🕯,ossoff
42,2021-12-03 02:47:47+00:00,1466600020887552003,🔘🔘🔘🕯🕯🕯🕯🕯,ossoff
43,2021-12-02 00:10:00+00:00,1466197923457241093,🔘🔘🔘🔘🕯🕯🕯🕯,ossoff
44,2021-12-01 02:10:54+00:00,1465865962163515392,🔘🔘🔘🔘🔘🕯🕯🕯,ossoff
45,2021-11-29 23:40:37+00:00,1465465752199307264,🔘🔘🔘🔘🔘🔘🕯🕯,ossoff
46,2021-11-28 22:56:28+00:00,1465092256407461893,🔘🔘🔘🔘🔘🔘🔘🕯,ossoff
47,2021-11-23 23:36:50+00:00,1463290476946243588,"It’s a typical Tuesday night, except Mayor Davis and I are discussing all the infrastructure upgrades coming soon to Augusta, Ga. https://t.co/bWJtmQX1O0",ossoff
48,2021-11-23 22:13:28+00:00,1463269494474870788,Be kind to each other. https://t.co/IQC7YN1lID,ossoff
49,2021-11-23 18:42:31+00:00,1463216408121298947,"Thank you to the transit workers who keep Americans moving every day.

This morning in Columbus, Ga. https://t.co/aW3Ii0814b",ossoff
50,2021-11-23 16:57:16+00:00,1463189921296957445,Just met with transit workers at METRA in Columbus about opportunities to expand routes and service via the bipartisan infrastructure bill. https://t.co/3t7NBJsv3U,ossoff
51,2021-11-23 16:52:55+00:00,1463188826155794434,"More transit
More parks
More electric vehicles",ossoff
52,2021-11-23 13:18:48+00:00,1463134941550628875,"On the road today in Columbus, Macon, and Augusta to brief constituents on the bipartisan infrastructure bill Congress has passed and to hear local priorities for transportation, water, broadband, school, and energy upgrades that will be available soon.",ossoff
53,2021-11-23 02:26:20+00:00,1462970742707044357,Briefing HBCU leaders and students today on my bill to expand cybersecurity training opportunities at HBCUs — it has passed the Homeland Security Committee. https://t.co/MEyCblkoZv,ossoff
54,2021-11-18 21:32:39+00:00,1461447282730147842,"Special thanks to all the U.S. servicemembers who supported my visit and protect the United States daily alongside our Korean allies.

저의 방문을 지지해주고 우리의 동맹인 한국과 미합중국을 지키고 있는 모든 미국 군인들께 특별히 감사드립니다. https://t.co/nQEAaASEA8",ossoff
55,2021-11-17 22:33:24+00:00,1461100185552105474,"Thanking a fellow Georgian for her service during my inspection of Camp Humphreys in South Korea. 11/11/21

2021년 11월 11일, 한국에 주둔한 험프리스 미국 육군 기지를 순시하던 중 조지아출신 병사를 만나 그녀의 복무에 감사를 전했습니다. https://t.co/gOeN2dfIYV",ossoff
56,2021-11-17 22:32:04+00:00,1461099847629647878,"Hiking with young Koreans in Seoul. It was special learning about their view of the world. 11/12/21

2021년 11월 12일, 서울에 있는 한국의 젊은이들과 하이킹을 했습니다. 최연소 미 연방 상원의원으로서 한국 젊은이들의 세계관을 알아볼 수 있었던 특별한 만남이었습니다. https://t.co/9eMdInQJYN",ossoff
57,2021-11-17 22:28:50+00:00,1461099033410387974,"Inspecting U.S. and South Korean troops along the border between North and South Korea, also known as the demilitarized zone, or DMZ. 11/10/21

2021년 11월 10일, DMZ 즉 비무장지대로 알려져 있는 북한과 남한 경계지역에 배치된 미군 및 한국 군부대를 순시했습니다. https://t.co/e86vgUszNf",ossoff
58,2021-11-16 01:05:20+00:00,1460413643078742024,"At the WH today with my wonderful friend @lucymcbath. 

This historic bipartisan infrastructure investment is huge for Georgia and for the United States. https://t.co/rwXNf2Ume1",ossoff
59,2021-11-15 23:37:19+00:00,1460391493429080069,@Jake_Best_ feat. @SenatorHick,ossoff
60,2021-11-08 11:05:20+00:00,1457665535097950209,"—한국에서 미 연방상원의원 존 오소프가 🇺🇸🇰🇷

—Senator Jon Ossoff in South Korea 🇺🇸🇰🇷",ossoff
61,2021-11-08 11:04:12+00:00,1457665252443754497,"대한민국은 제가 대표하고 있는 조지아 주의 중요한 파트너입니다. 조지아 주에는 규모가 큰 한인 사회가 형성되어 있으며 대한민국과의 교역관계 또한 중요합니다.

S. Korea is an important partner for Georgia, which has a large Korean community &amp; important trade relationship with S. Korea",ossoff
62,2021-11-08 11:01:38+00:00,1457664603484270592,"미국의 최연소 연방 상원의원으로서 한국의 젊은이들을 만나고 그들과 세계관을 나누어 볼 특별한 기회가 있기를 고대하고 있습니다.

As the youngest U.S. Senator, I am especially looking forward to meeting young Koreans and learning about their view of the world.",ossoff
63,2021-11-08 10:58:42+00:00,1457663864913502210,"저는 한국민들과 미국민들 사이의 존경 및 우호와 동맹을 강화하기 위해 한국에 왔습니다. 🇺🇸🇰🇷

I am in South Korea to strengthen the love, friendship, and alliance between Koreans and Americans. 🇺🇸🇰🇷",ossoff
64,2021-11-06 19:55:49+00:00,1457074262397833217,"Human flourishing requires a healthy and livable habitat. #COP26

https://t.co/X4cumlXleS",ossoff
65,2021-11-03 03:39:39+00:00,1455741434477387777,BRAVES WIN,ossoff
66,2021-10-29 00:33:45+00:00,1453882714197831681,☀️ Solar power,ossoff
67,2021-10-29 00:30:14+00:00,1453881830189543427,https://t.co/EoyS2E0W2t,ossoff
68,2021-10-28 22:16:59+00:00,1453848294162149393,"“Sing, Freetown” was one of the final projects I oversaw before joining the Senate.

It’s a beautiful feature-length dive into Sierra Leone — distinct from the hard-hitting, often dark investigative journalism we typically produced. 

Proud of @clivepatterson, @sorious, &amp; team. https://t.co/YNpa5taVk1",ossoff
69,2021-10-26 19:38:58+00:00,1453083753740386308,.⁦@SenatorWarnock⁩ and I are fighting for Medicaid expansion and the hundreds of thousands of Georgians caught in the gap who lack health care. https://t.co/1s3fWPTPeG,ossoff
70,2021-10-22 01:54:10+00:00,1451366234344263686,🍑 Clean energy https://t.co/YKkqmkbjXf,ossoff
71,2021-10-20 23:26:06+00:00,1450966584558854146,"BREAKING: The Senate just passed my Prison Camera Reform Act to reduce violence, crime, and civil rights abuses in American prisons.",ossoff
72,2021-10-20 16:32:33+00:00,1450862513277575172,I’m fighting for America’s combat-disabled veterans to receive the disability benefits and retirement pay they’ve earned. https://t.co/Fe34kmxHQP,ossoff
73,2021-10-19 22:17:23+00:00,1450586906224467969,"Georgia: I work for you. My team secured this wheelchair through the VA for Army veteran Earnest Mason of Gainesville. We are here to serve you, too. Just call my office! https://t.co/G8gWi19DBz",ossoff
74,2021-10-19 01:32:03+00:00,1450273508374814727,"This morning I briefed Georgia faith leaders on the Right to Vote Act, my bill empowering Americans to challenge laws that make it harder to vote. Here with Bishop Ruth Smith. https://t.co/vLG7xnRZpV",ossoff
75,2021-10-17 02:51:02+00:00,1449568608355602438,GO BRAVES! https://t.co/GnElwcQSxZ,ossoff
76,2021-10-09 00:04:02+00:00,1446627477015629824,The latest biofuel technology https://t.co/T1MNDKLi41,ossoff
77,2021-10-08 21:06:18+00:00,1446582748563623949,W/ Energy Secretary @SecGranholm &amp; Savannah @MayorJohnsonSAV,ossoff
78,2021-10-08 21:02:45+00:00,1446581857970163718,Solar power ☀️ https://t.co/RyMLQzQrvT,ossoff
79,2021-10-08 13:55:12+00:00,1446474261229670405,@SecGranholm @SenOssoff See you soon!,ossoff
80,2021-10-04 19:45:34+00:00,1445112880370790414,Voting rights: Today I introduced the Election Worker and Polling Place Protection Act to strengthen federal laws protecting election officials and polling places from violent threats and acts of violence. https://t.co/GD7RuRIjMm,ossoff
81,2021-09-30 13:53:24+00:00,1443574703554121730,"Federal prisons must be cleaned up and held to the highest standards. 

No more “lost footage.”

Thanks to Sens. @ChuckGrassley and @DickDurbin for cosponsoring my Prison Camera Reform Act.

https://t.co/KznDPuJtLL",ossoff
82,2021-09-29 15:49:04+00:00,1443241424816836615,"I’m serious about prison reform and I thank Sens. @DickDurbin and @ChuckGrassley for cosponsoring my Prison Camera Reform Act.

https://t.co/KznDPv15al",ossoff
83,2021-09-29 01:21:00+00:00,1443022968418979845,"This morning we built even more support for my bill to supercharge American solar power and accelerate the transition to renewables. ☀️ 

https://t.co/yibBMy1zqx",ossoff
84,2021-09-27 18:54:46+00:00,1442563381899169800,We hosted Housing &amp; Urban Development ⁦@SecFudge⁩ in SW Atlanta this AM to brief her on Georgia’s urgent need for more affordable housing. W/ ⁦@RepNikema⁩ https://t.co/bdsdXGJpty,ossoff
85,2021-09-24 02:56:48+00:00,1441235136993902592,.@SenatorWarnock and I have teamed up to fight for Medicaid expansion in reconciliation. Here’s why: https://t.co/kWHMFC9NUx,ossoff
86,2021-09-23 14:59:50+00:00,1441054708911722500,"Georgia’s GOP leaders refuse to expand Medicaid, so @SenatorWarnock and I are working to do it without them. https://t.co/LwXjZqwSi7",ossoff
87,2021-09-22 14:49:10+00:00,1440689637236756496,"I’ve lost friends to opioids, like millions who have lost loved ones to addictive drugs pushed by corrupt drug companies.

Now I’m teaming up with Senator @ChuckGrassley to address opioid addiction and overdoses in rural communities nationwide.

https://t.co/fsU4OOwWSO",ossoff
88,2021-09-22 01:54:52+00:00,1440494775065407491,"NEW POLL: 67% of Americans support my bill to supercharge American-made solar power.

https://t.co/LJIQui4ga4",ossoff
89,2021-09-21 20:41:13+00:00,1440415844043931655,"The Senate Parliamentarian’s initial ruling is not the end of this effort. 

Millions of hardworking immigrants in communities across America deserve the dignity and protection of citizenship.

It is vital that we establish a pathway to citizenship.",ossoff
90,2021-09-17 15:58:12+00:00,1438895070472716293,"""Yom Kippur being a day for reflection, and reckoning, and atonement, and recommitment, it's fitting to take stock today of the threats to pluralism, to tolerance, to democracy, to peaceful coexistence in our society and around the world,"" Ossoff said. https://t.co/ADb1VtHNmN",ossoff
91,2021-09-11 14:07:19+00:00,1436692837588942853,Georgia remembers. https://t.co/VUmQoF58Cg,ossoff
